Fecha,Reserva (hm3)
08/03/2016,80.47
09/03/2016,80.36
10/03/2016,80.26
11/03/2016,80.17
12/03/2016,80.05
13/03/2016,79.95
14/03/2016,79.85
15/03/2016,79.75
16/03/2016,79.65
17/03/2016,79.54
18/03/2016,79.43
19/03/2016,79.33
20/03/2016,79.31
21/03/2016,79.24
22/03/2016,79.22
23/03/2016,79.15
24/03/2016,79.06
25/03/2016,79.01
26/03/2016,78.91
27/03/2016,78.81
28/03/2016,78.7
29/03/2016,78.55
30/03/2016,78.57
31/03/2016,78.46
01/04/2016,78.34
02/04/2016,78.2
03/04/2016,78.07
04/04/2016,78
05/04/2016,78
06/04/2016,77.95
07/04/2016,77.9
08/04/2016,77.86
09/04/2016,77.75
10/04/2016,77.64
11/04/2016,77.54
12/04/2016,77.43
13/04/2016,77.36
14/04/2016,77.25
15/04/2016,77.14
16/04/2016,77.01
17/04/2016,76.9
18/04/2016,76.79
19/04/2016,76.68
20/04/2016,76.65
21/04/2016,76.76
22/04/2016,76.73
23/04/2016,76.65
24/04/2016,76.57
25/04/2016,76.51
26/04/2016,76.4
27/04/2016,76.29
28/04/2016,76.19
29/04/2016,76.11
30/04/2016,75.99
01/05/2016,75.91
02/05/2016,75.81
03/05/2016,75.69
04/05/2016,75.6
05/05/2016,75.46
06/05/2016,75.38
07/05/2016,75.31
08/05/2016,75.25
09/05/2016,75.28
10/05/2016,75.38
11/05/2016,75.67
12/05/2016,76.02
13/05/2016,76.58
14/05/2016,76.86
15/05/2016,76.97
16/05/2016,77.04
17/05/2016,77.07
18/05/2016,77.07
19/05/2016,77.07
20/05/2016,77.04
21/05/2016,77.01
22/05/2016,76.93
23/05/2016,76.9
24/05/2016,76.82
25/05/2016,76.73
26/05/2016,76.65
27/05/2016,76.54
28/05/2016,76.44
29/05/2016,76.34
30/05/2016,76.23
31/05/2016,76.13
01/06/2016,76.02
02/06/2016,75.91
03/06/2016,75.78
04/06/2016,75.66
05/06/2016,75.51
06/06/2016,75.38
07/06/2016,75.28
08/06/2016,75.11
09/06/2016,75
10/06/2016,74.87
11/06/2016,74.69
12/06/2016,74.55
13/06/2016,74.42
14/06/2016,74.26
15/06/2016,74.06
16/06/2016,73.86
17/06/2016,73.68
18/06/2016,73.54
19/06/2016,73.4
20/06/2016,73.28
21/06/2016,73.1
22/06/2016,72.93
23/06/2016,72.76
24/06/2016,72.63
25/06/2016,72.45
26/06/2016,72.32
27/06/2016,72.19
28/06/2016,72.02
29/06/2016,71.87
30/06/2016,71.73
01/07/2016,71.57
02/07/2016,71.4
03/07/2016,71.27
04/07/2016,71.13
05/07/2016,70.97
06/07/2016,70.8
07/07/2016,70.63
08/07/2016,70.48
09/07/2016,70.29
10/07/2016,70.14
11/07/2016,70
12/07/2016,69.83
13/07/2016,69.63
14/07/2016,69.46
15/07/2016,69.34
16/07/2016,69.17
17/07/2016,69
18/07/2016,68.85
19/07/2016,68.7
20/07/2016,68.54
21/07/2016,68.38
22/07/2016,68.22
23/07/2016,68.03
24/07/2016,67.87
25/07/2016,67.7
26/07/2016,67.53
27/07/2016,67.37
28/07/2016,67.21
29/07/2016,67.03
30/07/2016,66.86
31/07/2016,66.69
01/08/2016,66.54
02/08/2016,66.37
03/08/2016,66.21
04/08/2016,66.05
05/08/2016,65.86
06/08/2016,65.7
07/08/2016,65.51
08/08/2016,65.35
09/08/2016,65.19
10/08/2016,65.01
11/08/2016,64.84
12/08/2016,64.68
13/08/2016,64.52
14/08/2016,64.34
15/08/2016,64.18
16/08/2016,64.05
17/08/2016,63.9
18/08/2016,63.71
19/08/2016,63.53
20/08/2016,63.37
21/08/2016,63.18
22/08/2016,63.03
