Fecha,Reserva
01/01/2014,4.37
02/01/2014,4.37
03/01/2014,4.44
05/01/2014,4.7
07/01/2014,4.79
09/01/2014,4.82
11/01/2014,4.83
13/01/2014,4.82
14/01/2014,4.84
17/01/2014,5.13
18/01/2014,5.2
20/01/2014,5.43
22/01/2014,5.63
24/01/2014,6.19
26/01/2014,6.4
28/01/2014,6.4
29/01/2014,6.42
31/01/2014,6.4
02/02/2014,6.42
04/02/2014,6.4
06/02/2014,6.43
08/02/2014,6.41
10/02/2014,6.47
11/02/2014,6.42
13/02/2014,6.44
14/02/2014,6.44
16/02/2014,6.41
18/02/2014,6.4
20/02/2014,6.4
22/02/2014,6.4
24/02/2014,6.4
25/02/2014,6.4
27/02/2014,6.4
02/03/2014,6.4
03/03/2014,6.53
05/03/2014,6.42
06/03/2014,6.41
08/03/2014,6.41
10/03/2014,6.4
13/03/2014,6.4
14/03/2014,6.39
16/03/2014,6.39
17/03/2014,6.39
19/03/2014,6.39
21/03/2014,6.39
23/03/2014,6.39
25/03/2014,6.39
27/03/2014,6.39
29/03/2014,6.38
30/03/2014,6.39
02/04/2014,6.38
03/04/2014,6.43
06/04/2014,6.4
07/04/2014,6.4
09/04/2014,6.4
10/04/2014,6.39
13/04/2014,6.39
14/04/2014,6.38
16/04/2014,6.38
18/04/2014,6.38
20/04/2014,6.38
22/04/2014,6.39
23/04/2014,6.38
25/04/2014,6.38
28/04/2014,6.38
29/04/2014,6.37
01/05/2014,6.37
02/05/2014,6.37
05/05/2014,6.33
06/05/2014,6.33
08/05/2014,6.3
10/05/2014,6.28
11/05/2014,6.27
14/05/2014,6.21
16/05/2014,6.18
17/05/2014,6.16
19/05/2014,6.12
21/05/2014,6.08
23/05/2014,6.06
24/05/2014,6.04
26/05/2014,6.02
29/05/2014,5.96
30/05/2014,5.95
01/06/2014,5.91
03/06/2014,5.87
05/06/2014,5.83
07/06/2014,5.79
09/06/2014,5.75
10/06/2014,5.72
12/06/2014,5.68
13/06/2014,5.65
16/06/2014,5.56
17/06/2014,5.55
20/06/2014,5.48
21/06/2014,5.45
23/06/2014,5.41
24/06/2014,5.38
27/06/2014,5.32
28/06/2014,5.31
01/07/2014,5.23
02/07/2014,5.21
04/07/2014,5.16
06/07/2014,5.12
07/07/2014,5.09
09/07/2014,5.07
11/07/2014,5.0
13/07/2014,4.94
14/07/2014,4.92
16/07/2014,4.86
18/07/2014,4.82
21/07/2014,4.73
22/07/2014,4.71
23/07/2014,4.69
26/07/2014,4.61
28/07/2014,4.57
29/07/2014,4.54
31/07/2014,4.49
02/08/2014,4.48
04/08/2014,4.48
06/08/2014,4.46
08/08/2014,4.46
09/08/2014,4.45
12/08/2014,4.44
13/08/2014,4.43
14/08/2014,4.43
17/08/2014,4.41
18/08/2014,4.41
21/08/2014,4.39
22/08/2014,4.39
24/08/2014,4.38
25/08/2014,4.37
28/08/2014,4.36
29/08/2014,4.35
01/09/2014,4.34
02/09/2014,4.33
03/09/2014,4.33
05/09/2014,4.31
07/09/2014,4.29
09/09/2014,4.27
12/09/2014,4.24
13/09/2014,4.24
15/09/2014,4.23
17/09/2014,4.21
19/09/2014,4.21
20/09/2014,4.2
23/09/2014,4.19
24/09/2014,4.18
25/09/2014,4.18
28/09/2014,4.16
29/09/2014,4.16
02/10/2014,4.14
03/10/2014,4.14
05/10/2014,4.11
06/10/2014,4.09
09/10/2014,4.07
11/10/2014,4.06
12/10/2014,4.06
14/10/2014,4.06
16/10/2014,4.06
17/10/2014,4.05
20/10/2014,4.04
21/10/2014,4.03
23/10/2014,4.02
25/10/2014,4.02
27/10/2014,4.01
28/10/2014,4.01
30/10/2014,3.99
01/11/2014,3.98
03/11/2014,3.97
05/11/2014,3.99
07/11/2014,3.99
09/11/2014,4.02
11/11/2014,4.04
13/11/2014,4.14
14/11/2014,4.14
16/11/2014,4.22
17/11/2014,4.24
20/11/2014,4.27
22/11/2014,4.28
24/11/2014,4.28
25/11/2014,4.28
27/11/2014,4.3
29/11/2014,4.32
01/12/2014,4.37
02/12/2014,4.39
05/12/2014,4.41
06/12/2014,4.41
08/12/2014,4.41
10/12/2014,4.39
12/12/2014,4.37
14/12/2014,4.35
15/12/2014,4.36
17/12/2014,4.46
19/12/2014,4.49
20/12/2014,4.49
22/12/2014,4.48
24/12/2014,4.46
26/12/2014,4.44
28/12/2014,4.42
30/12/2014,4.4
