Fecha,Reserva
01/01/2021,1.36
02/01/2021,1.36
03/01/2021,1.35
06/01/2021,1.34
08/01/2021,1.42
09/01/2021,1.57
11/01/2021,1.63
13/01/2021,1.64
15/01/2021,1.64
17/01/2021,1.65
19/01/2021,1.64
21/01/2021,1.67
23/01/2021,1.76
25/01/2021,1.81
26/01/2021,1.83
28/01/2021,1.86
30/01/2021,1.88
01/02/2021,1.9
02/02/2021,1.92
05/02/2021,1.94
07/02/2021,1.98
09/02/2021,2.42
10/02/2021,2.48
12/02/2021,2.54
14/02/2021,2.57
16/02/2021,2.58
17/02/2021,2.59
20/02/2021,2.59
22/02/2021,2.61
24/02/2021,2.61
25/02/2021,2.61
28/02/2021,2.63
01/03/2021,2.64
03/03/2021,2.71
05/03/2021,2.73
07/03/2021,5.23
09/03/2021,4.57
10/03/2021,4.64
13/03/2021,4.73
15/03/2021,4.78
17/03/2021,4.8
18/03/2021,4.78
20/03/2021,4.57
21/03/2021,4.5
23/03/2021,4.52
26/03/2021,4.53
27/03/2021,4.54
29/03/2021,4.54
31/03/2021,4.56
03/04/2021,4.56
04/04/2021,4.57
06/04/2021,4.57
08/04/2021,4.58
09/04/2021,4.58
11/04/2021,4.58
14/04/2021,4.58
15/04/2021,4.59
17/04/2021,4.59
19/04/2021,4.6
20/04/2021,4.6
22/04/2021,4.6
25/04/2021,4.6
26/04/2021,4.61
28/04/2021,4.65
30/04/2021,4.66
02/05/2021,4.66
04/05/2021,4.66
06/05/2021,4.66
07/05/2021,4.66
09/05/2021,4.66
11/05/2021,4.66
14/05/2021,4.66
15/05/2021,4.65
18/05/2021,4.65
19/05/2021,4.64
21/05/2021,4.64
22/05/2021,4.62
25/05/2021,4.59
26/05/2021,4.57
28/05/2021,4.54
30/05/2021,4.52
01/06/2021,4.48
04/06/2021,4.45
05/06/2021,4.43
06/06/2021,4.42
09/06/2021,4.36
10/06/2021,4.35
13/06/2021,4.3
15/06/2021,4.28
16/06/2021,4.26
18/06/2021,4.24
20/06/2021,4.23
22/06/2021,4.22
24/06/2021,4.17
26/06/2021,4.13
28/06/2021,4.11
30/06/2021,4.07
02/07/2021,4.03
03/07/2021,4.02
05/07/2021,3.97
07/07/2021,3.94
08/07/2021,3.93
11/07/2021,3.87
13/07/2021,3.84
15/07/2021,3.82
17/07/2021,3.8
19/07/2021,3.78
20/07/2021,3.77
22/07/2021,3.73
23/07/2021,3.7
25/07/2021,3.66
28/07/2021,3.6
30/07/2021,3.57
31/07/2021,3.54
02/08/2021,3.5
05/08/2021,3.47
06/08/2021,3.45
07/08/2021,3.43
09/08/2021,3.37
11/08/2021,3.35
14/08/2021,3.29
16/08/2021,3.27
18/08/2021,3.25
19/08/2021,3.24
21/08/2021,3.22
23/08/2021,3.2
25/08/2021,3.15
27/08/2021,3.11
29/08/2021,3.07
31/08/2021,3.04
02/09/2021,3.62
03/09/2021,2.99
06/09/2021,2.96
07/09/2021,2.94
08/09/2021,2.94
10/09/2021,2.92
13/09/2021,2.9
15/09/2021,2.9
16/09/2021,2.9
18/09/2021,2.89
20/09/2021,2.87
22/09/2021,2.86
24/09/2021,2.84
25/09/2021,2.84
27/09/2021,2.82
30/09/2021,2.81
02/10/2021,2.79
03/10/2021,2.79
05/10/2021,2.78
07/10/2021,2.76
09/10/2021,2.74
10/10/2021,2.74
13/10/2021,2.71
14/10/2021,2.71
17/10/2021,2.68
18/10/2021,2.68
21/10/2021,2.66
22/10/2021,2.66
22/10/2021,2.66
24/10/2021,2.64
25/10/2021,2.64
27/10/2021,2.62
29/10/2021,2.61
31/10/2021,2.61
02/11/2021,2.6
02/11/2021,2.6
03/11/2021,2.61
04/11/2021,2.6
07/11/2021,2.59
08/11/2021,2.58
10/11/2021,2.57
12/11/2021,2.57
15/11/2021,2.55
16/11/2021,2.55
18/11/2021,2.54
20/11/2021,2.53
21/11/2021,2.54
23/11/2021,2.53
26/11/2021,2.53
27/11/2021,2.52
29/11/2021,2.52
02/12/2021,2.5
03/12/2021,2.5
04/12/2021,2.5
05/12/2021,2.49
06/12/2021,2.49
07/12/2021,2.49
08/12/2021,2.48
09/12/2021,2.48
11/12/2021,2.48
12/12/2021,2.47
14/12/2021,2.46
16/12/2021,2.46
17/12/2021,2.45
19/12/2021,2.45
22/12/2021,2.44
23/12/2021,2.44
26/12/2021,2.53
28/12/2021,2.55
30/12/2021,2.55
