Fecha,Reserva
01/01/2013,455.21
02/01/2013,455.24
03/01/2013,455.24
05/01/2013,455.24
07/01/2013,455.24
09/01/2013,455.24
11/01/2013,455.24
12/01/2013,455.33
15/01/2013,455.41
17/01/2013,455.53
19/01/2013,455.81
20/01/2013,456.1
22/01/2013,457.24
24/01/2013,458.1
26/01/2013,461.25
28/01/2013,462.96
30/01/2013,463.82
01/02/2013,464.11
02/02/2013,464.08
04/02/2013,464.19
06/02/2013,464.28
08/02/2013,464.31
09/02/2013,464.28
12/02/2013,464.19
13/02/2013,464.11
14/02/2013,464.08
17/02/2013,463.99
19/02/2013,464.31
20/02/2013,464.97
22/02/2013,465.54
24/02/2013,466.68
26/02/2013,467.54
27/02/2013,467.54
01/03/2013,467.83
04/03/2013,468.11
05/03/2013,476.72
06/03/2013,487.56
09/03/2013,502.7
11/03/2013,507.09
13/03/2013,515.26
14/03/2013,517.14
16/03/2013,518.71
17/03/2013,519.03
20/03/2013,520.6
21/03/2013,529.07
23/03/2013,531.9
25/03/2013,538.11
27/03/2013,540.08
28/03/2013,541.38
31/03/2013,544.0
02/04/2013,553.48
04/04/2013,556.42
05/04/2013,557.41
07/04/2013,558.39
09/04/2013,559.04
10/04/2013,559.04
12/04/2013,559.69
14/04/2013,559.86
16/04/2013,559.79
18/04/2013,559.69
19/04/2013,559.63
22/04/2013,559.43
23/04/2013,559.37
26/04/2013,559.17
27/04/2013,558.94
29/04/2013,558.68
30/04/2013,558.06
02/05/2013,558.52
04/05/2013,558.16
06/05/2013,557.77
08/05/2013,557.31
09/05/2013,557.24
11/05/2013,557.21
13/05/2013,557.08
15/05/2013,556.92
17/05/2013,555.77
19/05/2013,555.54
21/05/2013,555.35
23/05/2013,554.92
24/05/2013,554.79
27/05/2013,554.59
28/05/2013,554.14
30/05/2013,553.94
01/06/2013,553.55
03/06/2013,553.02
04/06/2013,553.16
07/06/2013,552.4
08/06/2013,551.95
10/06/2013,551.68
11/06/2013,551.59
14/06/2013,551.19
15/06/2013,550.87
18/06/2013,550.38
19/06/2013,550.21
21/06/2013,549.69
23/06/2013,549.43
25/06/2013,549.1
26/06/2013,549.23
28/06/2013,548.9
30/06/2013,547.69
02/07/2013,547.27
03/07/2013,547.14
06/07/2013,546.84
08/07/2013,546.62
09/07/2013,546.29
11/07/2013,545.96
13/07/2013,545.83
15/07/2013,544.98
17/07/2013,544.65
19/07/2013,544.0
20/07/2013,543.87
22/07/2013,543.67
24/07/2013,543.02
26/07/2013,542.69
28/07/2013,542.04
30/07/2013,541.38
01/08/2013,542.17
02/08/2013,540.4
03/08/2013,541.71
05/08/2013,541.25
07/08/2013,539.09
09/08/2013,539.93
12/08/2013,538.93
13/08/2013,538.11
14/08/2013,538.37
16/08/2013,537.79
19/08/2013,536.84
21/08/2013,536.15
23/08/2013,535.82
24/08/2013,534.94
26/08/2013,534.52
28/08/2013,534.29
30/08/2013,534.03
31/08/2013,533.67
02/09/2013,533.27
04/09/2013,532.88
06/09/2013,533.53
07/09/2013,532.26
09/09/2013,531.93
11/09/2013,531.4
13/09/2013,530.96
15/09/2013,530.64
17/09/2013,531.27
18/09/2013,531.27
20/09/2013,530.96
23/09/2013,530.64
24/09/2013,530.58
26/09/2013,530.39
27/09/2013,530.02
29/09/2013,530.08
02/10/2013,530.02
03/10/2013,530.02
05/10/2013,529.73
07/10/2013,529.54
09/10/2013,529.29
11/10/2013,528.98
13/10/2013,528.89
14/10/2013,528.89
16/10/2013,528.45
17/10/2013,528.32
19/10/2013,528.16
22/10/2013,528.01
23/10/2013,531.59
25/10/2013,532.23
27/10/2013,544.98
28/10/2013,551.19
31/10/2013,550.93
01/11/2013,550.93
03/11/2013,550.87
05/11/2013,550.8
06/11/2013,550.77
08/11/2013,550.51
10/11/2013,550.34
12/11/2013,550.21
15/11/2013,549.88
16/11/2013,549.88
18/11/2013,549.56
20/11/2013,549.49
21/11/2013,549.39
24/11/2013,549.2
25/11/2013,549.13
27/11/2013,549.0
29/11/2013,548.77
30/11/2013,548.71
03/12/2013,548.51
05/12/2013,547.92
06/12/2013,548.41
08/12/2013,548.35
10/12/2013,548.28
12/12/2013,547.27
14/12/2013,547.99
16/12/2013,547.92
18/12/2013,547.27
19/12/2013,547.82
21/12/2013,547.76
23/12/2013,547.69
25/12/2013,547.63
26/12/2013,549.23
28/12/2013,549.66
30/12/2013,549.88
