Fecha,Reserva
01/01/2018,77.1
02/01/2018,77.1
04/01/2018,76.83
05/01/2018,76.69
07/01/2018,76.76
10/01/2018,76.69
11/01/2018,76.63
13/01/2018,76.36
15/01/2018,76.36
16/01/2018,76.22
19/01/2018,75.82
20/01/2018,75.69
22/01/2018,75.56
23/01/2018,75.49
26/01/2018,75.09
27/01/2018,74.89
29/01/2018,74.76
31/01/2018,74.5
02/02/2018,74.2
03/02/2018,74.03
05/02/2018,73.9
07/02/2018,73.64
10/02/2018,73.12
12/02/2018,72.99
13/02/2018,72.86
14/02/2018,72.73
17/02/2018,72.21
19/02/2018,72.1
21/02/2018,71.96
22/02/2018,71.89
24/02/2018,71.83
26/02/2018,71.64
28/02/2018,71.83
02/03/2018,82.0
03/03/2018,84.85
05/03/2018,91.15
06/03/2018,92.45
09/03/2018,95.86
11/03/2018,110.38
13/03/2018,113.08
15/03/2018,121.26
16/03/2018,121.44
17/03/2018,119.98
19/03/2018,119.52
22/03/2018,119.8
23/03/2018,120.16
26/03/2018,121.54
27/03/2018,121.91
28/03/2018,122.27
30/03/2018,122.74
02/04/2018,123.2
04/04/2018,123.85
06/04/2018,123.94
07/04/2018,124.13
09/04/2018,124.32
10/04/2018,124.32
13/04/2018,125.91
14/04/2018,125.82
16/04/2018,125.91
18/04/2018,125.82
20/04/2018,125.72
21/04/2018,125.72
23/04/2018,126.57
26/04/2018,126.66
27/04/2018,126.85
29/04/2018,126.95
30/04/2018,127.04
02/05/2018,127.14
04/05/2018,127.14
06/05/2018,127.23
08/05/2018,127.52
09/05/2018,127.52
12/05/2018,127.33
14/05/2018,127.04
16/05/2018,126.95
18/05/2018,127.04
19/05/2018,127.61
20/05/2018,127.33
22/05/2018,127.52
24/05/2018,127.52
27/05/2018,127.8
28/05/2018,127.8
30/05/2018,127.8
01/06/2018,127.8
02/06/2018,127.71
05/06/2018,127.71
07/06/2018,127.52
08/06/2018,127.52
10/06/2018,127.42
12/06/2018,127.23
13/06/2018,127.23
15/06/2018,127.14
18/06/2018,126.85
20/06/2018,126.76
21/06/2018,126.66
23/06/2018,126.48
25/06/2018,126.29
26/06/2018,126.14
28/06/2018,125.92
30/06/2018,125.72
02/07/2018,125.53
04/07/2018,125.35
06/07/2018,125.16
08/07/2018,125.07
10/07/2018,124.88
11/07/2018,124.69
13/07/2018,124.5
15/07/2018,124.32
17/07/2018,124.22
18/07/2018,124.04
21/07/2018,123.11
22/07/2018,122.92
23/07/2018,122.83
25/07/2018,122.27
28/07/2018,121.35
30/07/2018,121.08
01/08/2018,120.44
02/08/2018,120.25
03/08/2018,119.92
06/08/2018,119.43
08/08/2018,118.89
10/08/2018,118.17
11/08/2018,117.89
13/08/2018,117.71
15/08/2018,117.08
16/08/2018,116.99
18/08/2018,116.45
21/08/2018,116.01
23/08/2018,115.49
24/08/2018,115.38
26/08/2018,115.2
27/08/2018,115.11
29/08/2018,114.49
01/09/2018,113.61
02/09/2018,113.52
03/09/2018,113.43
05/09/2018,112.38
08/09/2018,111.42
10/09/2018,111.25
11/09/2018,110.99
13/09/2018,110.33
15/09/2018,109.86
17/09/2018,109.69
18/09/2018,109.52
20/09/2018,108.92
22/09/2018,108.32
24/09/2018,108.15
25/09/2018,107.86
27/09/2018,107.21
29/09/2018,106.54
01/10/2018,106.37
04/10/2018,105.5
05/10/2018,105.19
06/10/2018,104.86
08/10/2018,104.61
11/10/2018,103.71
13/10/2018,103.2
14/10/2018,103.36
16/10/2018,103.03
18/10/2018,102.62
19/10/2018,102.78
22/10/2018,102.62
24/10/2018,102.05
25/10/2018,101.8
27/10/2018,101.39
28/10/2018,101.31
30/10/2018,101.39
01/11/2018,101.14
04/11/2018,100.9
05/11/2018,100.98
07/11/2018,100.74
09/11/2018,100.74
10/11/2018,100.66
12/11/2018,100.66
14/11/2018,100.49
16/11/2018,100.33
18/11/2018,100.17
19/11/2018,100.49
21/11/2018,100.41
24/11/2018,100.17
25/11/2018,100.25
27/11/2018,100.66
29/11/2018,100.49
01/12/2018,100.33
03/12/2018,100.33
05/12/2018,100.09
06/12/2018,100.17
08/12/2018,100.01
09/12/2018,100.01
11/12/2018,99.85
14/12/2018,99.44
16/12/2018,99.28
17/12/2018,99.28
19/12/2018,99.04
21/12/2018,98.8
23/12/2018,98.64
25/12/2018,98.56
26/12/2018,98.5
29/12/2018,98.16
30/12/2018,98.08
