Fecha,Reserva
01/01/2018,12.87
02/01/2018,12.85
04/01/2018,12.76
05/01/2018,12.76
07/01/2018,12.82
09/01/2018,12.85
11/01/2018,12.85
13/01/2018,12.85
15/01/2018,12.82
17/01/2018,12.82
19/01/2018,12.79
20/01/2018,12.79
22/01/2018,12.79
24/01/2018,12.73
25/01/2018,12.76
28/01/2018,12.76
29/01/2018,12.73
31/01/2018,12.73
02/02/2018,12.7
04/02/2018,12.68
06/02/2018,12.59
08/02/2018,12.54
09/02/2018,12.45
11/02/2018,12.62
13/02/2018,12.62
15/02/2018,12.62
16/02/2018,12.54
19/02/2018,12.54
21/02/2018,12.48
22/02/2018,12.48
24/02/2018,12.37
25/02/2018,12.34
28/02/2018,12.34
02/03/2018,12.56
03/03/2018,12.96
05/03/2018,13.21
06/03/2018,13.38
08/03/2018,13.58
10/03/2018,13.13
12/03/2018,13.83
14/03/2018,13.52
16/03/2018,13.81
18/03/2018,14.03
20/03/2018,12.99
22/03/2018,13.04
24/03/2018,13.15
25/03/2018,12.96
27/03/2018,13.41
28/03/2018,12.87
31/03/2018,12.93
02/04/2018,12.79
03/04/2018,13.15
05/04/2018,12.73
07/04/2018,13.15
09/04/2018,12.99
10/04/2018,12.99
13/04/2018,13.27
14/04/2018,13.35
16/04/2018,13.24
18/04/2018,13.27
19/04/2018,13.44
21/04/2018,13.49
24/04/2018,13.49
26/04/2018,13.32
27/04/2018,13.48
29/04/2018,13.47
30/04/2018,13.44
03/05/2018,13.44
04/05/2018,13.41
07/05/2018,13.69
08/05/2018,13.69
10/05/2018,13.64
12/05/2018,13.64
13/05/2018,13.64
16/05/2018,13.52
17/05/2018,13.55
19/05/2018,13.61
20/05/2018,13.58
22/05/2018,13.58
25/05/2018,13.58
26/05/2018,13.64
28/05/2018,13.64
30/05/2018,13.44
01/06/2018,13.35
02/06/2018,13.35
05/06/2018,13.49
07/06/2018,13.38
08/06/2018,13.35
10/06/2018,13.38
12/06/2018,13.27
13/06/2018,13.21
15/06/2018,13.38
18/06/2018,13.35
19/06/2018,13.32
21/06/2018,13.32
22/06/2018,13.35
25/06/2018,13.35
27/06/2018,13.3
29/06/2018,13.41
30/06/2018,13.44
02/07/2018,13.44
03/07/2018,13.38
05/07/2018,13.27
07/07/2018,13.47
09/07/2018,13.58
11/07/2018,13.58
12/07/2018,13.55
14/07/2018,13.55
16/07/2018,13.49
19/07/2018,13.55
20/07/2018,13.49
22/07/2018,13.44
24/07/2018,13.41
25/07/2018,13.49
27/07/2018,13.58
29/07/2018,13.47
31/07/2018,13.38
02/08/2018,13.44
04/08/2018,13.47
06/08/2018,13.47
08/08/2018,13.49
09/08/2018,13.60
11/08/2018,13.72
13/08/2018,13.72
14/08/2018,13.78
17/08/2018,13.81
19/08/2018,13.92
20/08/2018,13.98
22/08/2018,13.69
24/08/2018,13.72
25/08/2018,13.72
27/08/2018,13.66
30/08/2018,13.58
01/09/2018,13.64
02/09/2018,13.44
03/09/2018,13.61
06/09/2018,13.69
08/09/2018,13.58
10/09/2018,13.52
11/09/2018,13.55
13/09/2018,13.64
15/09/2018,13.69
17/09/2018,13.66
19/09/2018,13.44
21/09/2018,13.44
22/09/2018,13.47
24/09/2018,13.44
26/09/2018,13.35
28/09/2018,13.44
30/09/2018,13.47
01/10/2018,13.47
03/10/2018,13.3
05/10/2018,13.41
07/10/2018,13.49
08/10/2018,13.55
10/10/2018,13.41
13/10/2018,13.32
14/10/2018,13.3
16/10/2018,13.24
18/10/2018,13.38
20/10/2018,13.38
22/10/2018,13.49
23/10/2018,13.49
25/10/2018,13.49
27/10/2018,13.49
29/10/2018,13.44
30/10/2018,13.41
01/11/2018,13.75
04/11/2018,13.75
05/11/2018,13.78
07/11/2018,13.78
08/11/2018,13.78
11/11/2018,13.69
12/11/2018,13.69
14/11/2018,13.69
16/11/2018,13.69
18/11/2018,13.66
19/11/2018,13.66
21/11/2018,13.75
24/11/2018,13.86
26/11/2018,13.72
27/11/2018,13.75
28/11/2018,13.69
30/11/2018,13.32
03/12/2018,13.3
05/12/2018,13.38
07/12/2018,13.38
08/12/2018,13.35
10/12/2018,13.32
12/12/2018,13.41
13/12/2018,13.32
15/12/2018,13.35
17/12/2018,13.35
19/12/2018,13.35
20/12/2018,13.35
23/12/2018,13.35
25/12/2018,13.32
27/12/2018,13.32
28/12/2018,13.35
30/12/2018,13.38
