Fecha,Reserva
01/01/2019,62.24
02/01/2019,62.24
04/01/2019,62.24
06/01/2019,62.27
07/01/2019,62.24
09/01/2019,62.27
11/01/2019,62.27
12/01/2019,62.27
14/01/2019,62.27
16/01/2019,62.27
19/01/2019,62.27
20/01/2019,62.31
22/01/2019,62.31
23/01/2019,62.31
26/01/2019,62.31
28/01/2019,62.34
30/01/2019,62.34
31/01/2019,62.34
02/02/2019,62.59
03/02/2019,62.69
06/02/2019,62.8
08/02/2019,62.83
09/02/2019,62.87
11/02/2019,62.87
13/02/2019,62.94
15/02/2019,62.94
17/02/2019,62.97
18/02/2019,62.97
20/02/2019,62.97
22/02/2019,62.97
24/02/2019,62.97
25/02/2019,63.01
28/02/2019,62.97
01/03/2019,63.0
03/03/2019,63.01
05/03/2019,63.0
06/03/2019,63.01
09/03/2019,63.08
10/03/2019,63.08
13/03/2019,63.08
15/03/2019,63.12
16/03/2019,63.08
18/03/2019,63.08
20/03/2019,63.04
21/03/2019,63.04
24/03/2019,63.04
26/03/2019,62.97
27/03/2019,62.97
29/03/2019,62.92
31/03/2019,63.04
01/04/2019,62.89
04/04/2019,63.04
05/04/2019,62.88
07/04/2019,63.04
08/04/2019,62.92
10/04/2019,63.05
12/04/2019,63.04
14/04/2019,63.04
17/04/2019,63.04
18/04/2019,63.01
20/04/2019,63.08
22/04/2019,63.08
24/04/2019,63.15
26/04/2019,63.47
28/04/2019,63.08
29/04/2019,63.72
01/05/2019,63.72
02/05/2019,63.79
05/05/2019,63.75
06/05/2019,63.78
08/05/2019,63.75
10/05/2019,63.73
12/05/2019,63.72
13/05/2019,63.72
15/05/2019,63.68
17/05/2019,63.63
19/05/2019,63.54
20/05/2019,63.53
23/05/2019,63.47
25/05/2019,63.4
27/05/2019,63.36
28/05/2019,63.33
30/05/2019,63.1
31/05/2019,63.08
03/06/2019,62.98
05/06/2019,62.94
07/06/2019,62.88
08/06/2019,62.83
10/06/2019,62.78
12/06/2019,62.72
13/06/2019,62.66
16/06/2019,62.55
18/06/2019,62.54
20/06/2019,62.45
21/06/2019,62.44
23/06/2019,62.38
25/06/2019,62.34
26/06/2019,62.27
28/06/2019,62.24
01/07/2019,62.13
02/07/2019,62.1
03/07/2019,61.17
05/07/2019,58.52
07/07/2019,55.83
09/07/2019,53.17
11/07/2019,50.55
13/07/2019,47.87
15/07/2019,45.28
16/07/2019,43.93
19/07/2019,39.99
20/07/2019,39.44
22/07/2019,39.4
23/07/2019,39.37
26/07/2019,39.3
28/07/2019,39.22
29/07/2019,39.23
01/08/2019,39.15
02/08/2019,39.13
03/08/2019,39.07
05/08/2019,39.05
07/08/2019,39.0
10/08/2019,38.9
12/08/2019,38.87
13/08/2019,38.84
15/08/2019,38.78
16/08/2019,38.77
18/08/2019,38.7
20/08/2019,38.67
22/08/2019,38.58
24/08/2019,38.56
25/08/2019,38.51
27/08/2019,38.48
29/08/2019,38.44
01/09/2019,38.36
02/09/2019,38.34
04/09/2019,38.29
05/09/2019,38.29
08/09/2019,38.22
09/09/2019,38.22
11/09/2019,38.18
13/09/2019,38.15
14/09/2019,38.12
16/09/2019,38.16
19/09/2019,38.13
21/09/2019,38.1
23/09/2019,38.1
24/09/2019,38.09
25/09/2019,38.06
28/09/2019,38.0
29/09/2019,38.0
02/10/2019,37.95
04/10/2019,37.93
05/10/2019,37.9
07/10/2019,37.85
08/10/2019,37.85
10/10/2019,37.81
12/10/2019,37.78
15/10/2019,37.76
16/10/2019,37.73
18/10/2019,37.71
19/10/2019,37.69
21/10/2019,37.7
23/10/2019,37.69
25/10/2019,37.69
27/10/2019,37.69
29/10/2019,37.66
31/10/2019,37.52
01/11/2019,37.49
04/11/2019,37.49
05/11/2019,37.48
06/11/2019,37.47
09/11/2019,37.45
11/11/2019,37.46
13/11/2019,37.42
15/11/2019,37.42
16/11/2019,37.4
18/11/2019,37.45
20/11/2019,37.44
22/11/2019,37.45
23/11/2019,38.02
25/11/2019,38.17
27/11/2019,38.19
28/11/2019,38.22
01/12/2019,38.24
03/12/2019,38.44
04/12/2019,38.51
07/12/2019,38.58
08/12/2019,38.58
10/12/2019,38.61
12/12/2019,38.61
13/12/2019,38.63
16/12/2019,38.63
17/12/2019,38.63
19/12/2019,38.68
21/12/2019,51.09
22/12/2019,54.54
24/12/2019,56.35
26/12/2019,56.99
28/12/2019,57.35
30/12/2019,57.56
