Fecha,Reserva
01/01/2020,93.46
02/01/2020,93.46
03/01/2020,93.46
06/01/2020,93.46
08/01/2020,93.91
09/01/2020,93.31
12/01/2020,93.0
13/01/2020,93.0
14/01/2020,92.85
16/01/2020,92.69
18/01/2020,92.69
20/01/2020,92.69
23/01/2020,92.69
24/01/2020,93.16
26/01/2020,97.25
27/01/2020,97.88
29/01/2020,97.88
01/02/2020,98.2
02/02/2020,98.2
04/02/2020,98.2
05/02/2020,98.2
07/02/2020,98.2
09/02/2020,98.2
11/02/2020,98.2
13/02/2020,98.2
15/02/2020,98.2
16/02/2020,98.2
18/02/2020,98.2
21/02/2020,98.2
22/02/2020,98.04
24/02/2020,98.04
26/02/2020,97.88
27/02/2020,97.88
01/03/2020,97.88
02/03/2020,97.88
05/03/2020,97.56
06/03/2020,97.56
08/03/2020,97.41
09/03/2020,97.41
11/03/2020,97.09
13/03/2020,96.77
16/03/2020,96.29
17/03/2020,96.29
19/03/2020,96.61
20/03/2020,96.61
23/03/2020,96.61
25/03/2020,96.77
26/03/2020,96.77
28/03/2020,96.77
30/03/2020,96.77
31/03/2020,96.77
03/04/2020,97.72
04/04/2020,97.72
06/04/2020,97.72
08/04/2020,97.72
10/04/2020,97.72
12/04/2020,97.72
13/04/2020,97.56
15/04/2020,97.56
17/04/2020,97.56
20/04/2020,97.56
21/04/2020,97.41
22/04/2020,97.72
25/04/2020,97.72
27/04/2020,98.04
28/04/2020,98.04
30/04/2020,98.04
02/05/2020,98.04
04/05/2020,98.04
06/05/2020,97.72
08/05/2020,97.25
09/05/2020,97.25
11/05/2020,96.93
13/05/2020,96.93
15/05/2020,97.25
17/05/2020,97.56
18/05/2020,97.56
21/05/2020,97.56
22/05/2020,97.56
24/05/2020,97.41
26/05/2020,97.41
27/05/2020,97.09
29/05/2020,96.77
01/06/2020,95.66
02/06/2020,95.5
04/06/2020,94.87
06/06/2020,93.78
07/06/2020,93.62
09/06/2020,92.85
11/06/2020,92.23
14/06/2020,91.3
15/06/2020,91.0
16/06/2020,90.54
19/06/2020,89.62
21/06/2020,89.17
23/06/2020,88.56
24/06/2020,87.96
26/06/2020,87.06
27/06/2020,86.61
29/06/2020,86.02
01/07/2020,84.98
03/07/2020,83.95
06/07/2020,82.79
07/07/2020,82.06
09/07/2020,80.91
10/07/2020,80.34
13/07/2020,79.2
14/07/2020,78.35
16/07/2020,77.51
18/07/2020,76.12
19/07/2020,75.56
22/07/2020,74.19
23/07/2020,73.92
25/07/2020,73.1
27/07/2020,72.02
29/07/2020,71.35
30/07/2020,71.08
01/08/2020,70.02
03/08/2020,69.22
06/08/2020,68.44
07/08/2020,67.65
09/08/2020,66.75
11/08/2020,65.84
12/08/2020,65.59
15/08/2020,64.57
17/08/2020,63.94
18/08/2020,63.89
20/08/2020,63.06
22/08/2020,62.31
24/08/2020,61.44
26/08/2020,60.7
28/08/2020,60.09
30/08/2020,59.36
31/08/2020,59.12
01/09/2020,58.76
04/09/2020,58.03
05/09/2020,57.67
07/09/2020,56.61
09/09/2020,56.13
11/09/2020,55.55
13/09/2020,55.85
14/09/2020,54.38
17/09/2020,53.69
18/09/2020,53.46
20/09/2020,53.12
22/09/2020,52.89
23/09/2020,52.76
26/09/2020,52.09
27/09/2020,51.87
29/09/2020,51.64
02/10/2020,50.85
03/10/2020,50.74
04/10/2020,50.52
07/10/2020,50.19
08/10/2020,50.08
10/10/2020,49.74
13/10/2020,48.75
14/10/2020,48.65
16/10/2020,48.43
17/10/2020,48.43
20/10/2020,48.1
22/10/2020,48.32
23/10/2020,48.32
25/10/2020,48.54
26/10/2020,48.65
28/10/2020,48.54
31/10/2020,48.54
02/11/2020,48.32
03/11/2020,48.21
05/11/2020,48.32
06/11/2020,48.32
08/11/2020,48.32
10/11/2020,48.32
12/11/2020,48.32
14/11/2020,48.32
16/11/2020,48.32
18/11/2020,48.32
19/11/2020,48.32
21/11/2020,48.1
23/11/2020,47.99
25/11/2020,47.99
27/11/2020,48.1
29/11/2020,48.54
30/11/2020,48.65
02/12/2020,48.65
04/12/2020,48.65
06/12/2020,48.65
08/12/2020,48.65
10/12/2020,48.65
12/12/2020,48.86
14/12/2020,49.19
15/12/2020,49.63
17/12/2020,50.41
19/12/2020,50.52
20/12/2020,50.63
22/12/2020,50.63
24/12/2020,50.74
26/12/2020,50.74
28/12/2020,50.74
30/12/2020,50.74
