Fecha,Reserva
01/01/2017,189.84
02/01/2017,189.93
03/01/2017,190.01
06/01/2017,189.77
08/01/2017,190.18
09/01/2017,190.37
11/01/2017,190.12
13/01/2017,190.14
14/01/2017,190.27
16/01/2017,189.97
18/01/2017,189.27
21/01/2017,189.17
22/01/2017,189.09
24/01/2017,189.22
26/01/2017,189.24
27/01/2017,189.26
29/01/2017,189.56
31/01/2017,189.56
02/02/2017,189.66
04/02/2017,189.87
05/02/2017,189.97
08/02/2017,189.94
09/02/2017,190.07
12/02/2017,190.17
13/02/2017,191.6
14/02/2017,196.31
16/02/2017,199.44
18/02/2017,200.8
20/02/2017,201.69
23/02/2017,202.7
24/02/2017,202.88
25/02/2017,203.02
27/02/2017,203.34
02/03/2017,203.66
04/03/2017,203.88
05/03/2017,204.73
07/03/2017,206.45
09/03/2017,207.42
10/03/2017,207.73
12/03/2017,208.17
14/03/2017,208.39
16/03/2017,208.71
18/03/2017,208.93
20/03/2017,209.04
22/03/2017,209.15
23/03/2017,208.64
25/03/2017,208.39
27/03/2017,209.14
29/03/2017,210.37
30/03/2017,210.77
01/04/2017,211.22
03/04/2017,211.44
06/04/2017,211.13
07/04/2017,210.67
08/04/2017,210.35
11/04/2017,209.58
12/04/2017,209.47
15/04/2017,209.47
17/04/2017,208.82
18/04/2017,208.61
19/04/2017,208.28
21/04/2017,207.53
23/04/2017,206.67
26/04/2017,205.55
27/04/2017,205.16
29/04/2017,205.8
01/05/2017,206.98
03/05/2017,207.42
05/05/2017,207.42
07/05/2017,207.63
08/05/2017,207.64
10/05/2017,207.59
11/05/2017,207.64
14/05/2017,207.95
15/05/2017,208.06
18/05/2017,208.06
19/05/2017,207.95
21/05/2017,207.73
23/05/2017,207.45
25/05/2017,207.09
26/05/2017,206.86
28/05/2017,206.45
30/05/2017,206.02
31/05/2017,205.8
03/06/2017,205.06
05/06/2017,204.33
07/06/2017,203.44
09/06/2017,202.64
10/06/2017,202.29
12/06/2017,201.54
13/06/2017,201.23
16/06/2017,200.17
18/06/2017,199.23
19/06/2017,198.84
21/06/2017,197.98
23/06/2017,196.94
24/06/2017,196.62
27/06/2017,195.12
28/06/2017,194.64
30/06/2017,193.33
02/07/2017,192.72
03/07/2017,192.3
06/07/2017,191.09
08/07/2017,190.57
10/07/2017,189.97
11/07/2017,189.46
12/07/2017,189.26
14/07/2017,188.23
16/07/2017,187.26
19/07/2017,186.05
21/07/2017,185.13
22/07/2017,184.46
24/07/2017,183.9
26/07/2017,182.5
27/07/2017,182.67
29/07/2017,181.85
31/07/2017,181.3
02/08/2017,180.38
03/08/2017,179.61
06/08/2017,177.77
07/08/2017,177.08
10/08/2017,175.15
12/08/2017,173.96
13/08/2017,173.31
14/08/2017,172.97
16/08/2017,171.73
18/08/2017,170.7
21/08/2017,168.78
22/08/2017,168.59
24/08/2017,167.11
25/08/2017,166.65
27/08/2017,165.57
29/08/2017,164.38
31/08/2017,163.47
02/09/2017,162.57
03/09/2017,161.97
06/09/2017,160.63
07/09/2017,160.01
10/09/2017,158.69
11/09/2017,158.67
13/09/2017,156.46
15/09/2017,154.44
16/09/2017,153.16
19/09/2017,150.57
20/09/2017,149.25
23/09/2017,147.72
24/09/2017,147.44
25/09/2017,147.43
28/09/2017,146.62
30/09/2017,145.6
01/10/2017,145.56
03/10/2017,145.05
05/10/2017,144.07
07/10/2017,143.09
09/10/2017,143.01
11/10/2017,141.99
13/10/2017,141.03
14/10/2017,140.63
16/10/2017,140.58
18/10/2017,139.72
19/10/2017,140.48
21/10/2017,140.33
23/10/2017,140.29
25/10/2017,140.26
27/10/2017,140.22
29/10/2017,139.86
30/10/2017,140.16
02/11/2017,139.91
04/11/2017,139.19
05/11/2017,139.33
07/11/2017,139.57
08/11/2017,136.94
10/11/2017,136.9
13/11/2017,136.81
14/11/2017,136.72
16/11/2017,136.72
17/11/2017,136.71
20/11/2017,136.59
22/11/2017,136.52
24/11/2017,135.66
25/11/2017,135.44
27/11/2017,135.45
29/11/2017,135.51
30/11/2017,135.5
02/12/2017,135.41
04/12/2017,135.44
07/12/2017,135.34
08/12/2017,135.28
10/12/2017,135.29
11/12/2017,135.52
14/12/2017,135.42
15/12/2017,135.48
18/12/2017,135.46
19/12/2017,135.39
21/12/2017,135.47
22/12/2017,134.5
24/12/2017,134.5
27/12/2017,134.49
29/12/2017,134.48
30/12/2017,134.46
