Fecha,Reserva
01/01/2019,14.11
02/01/2019,14.14
03/01/2019,14.14
06/01/2019,14.21
08/01/2019,14.23
10/01/2019,14.27
11/01/2019,14.27
13/01/2019,14.29
15/01/2019,14.31
16/01/2019,14.31
19/01/2019,14.34
20/01/2019,14.35
22/01/2019,14.4
24/01/2019,14.43
25/01/2019,14.43
27/01/2019,14.43
30/01/2019,14.43
31/01/2019,14.48
02/02/2019,14.54
04/02/2019,14.55
06/02/2019,14.55
07/02/2019,14.56
09/02/2019,14.56
11/02/2019,14.55
13/02/2019,14.53
15/02/2019,14.54
16/02/2019,14.54
18/02/2019,14.55
21/02/2019,14.48
22/02/2019,14.48
24/02/2019,14.48
25/02/2019,14.48
28/02/2019,14.43
01/03/2019,14.39
03/03/2019,14.33
05/03/2019,14.28
07/03/2019,14.22
09/03/2019,14.17
10/03/2019,14.16
12/03/2019,14.09
14/03/2019,14.03
16/03/2019,13.99
18/03/2019,13.91
20/03/2019,13.87
22/03/2019,13.83
24/03/2019,13.7
26/03/2019,13.65
27/03/2019,13.61
29/03/2019,13.55
31/03/2019,13.46
02/04/2019,13.43
04/04/2019,13.37
05/04/2019,13.36
07/04/2019,13.36
09/04/2019,13.32
11/04/2019,13.29
12/04/2019,13.26
14/04/2019,13.2
16/04/2019,13.14
18/04/2019,13.08
19/04/2019,13.19
22/04/2019,13.29
23/04/2019,13.3
25/04/2019,13.35
28/04/2019,13.4
29/04/2019,13.41
01/05/2019,13.43
03/05/2019,13.41
05/05/2019,13.37
07/05/2019,13.31
08/05/2019,13.27
10/05/2019,13.25
12/05/2019,13.2
14/05/2019,13.11
16/05/2019,12.99
17/05/2019,12.94
19/05/2019,12.82
20/05/2019,12.79
22/05/2019,12.69
24/05/2019,12.6
27/05/2019,12.52
28/05/2019,12.47
30/05/2019,12.37
31/05/2019,12.34
03/06/2019,12.23
04/06/2019,12.18
06/06/2019,12.1
09/06/2019,12.0
10/06/2019,11.96
11/06/2019,11.91
14/06/2019,11.83
15/06/2019,11.79
17/06/2019,11.75
19/06/2019,11.69
21/06/2019,11.62
22/06/2019,11.59
25/06/2019,11.5
27/06/2019,11.42
28/06/2019,11.35
01/07/2019,11.26
02/07/2019,11.22
04/07/2019,11.17
05/07/2019,11.14
08/07/2019,11.05
09/07/2019,11.03
11/07/2019,10.97
13/07/2019,10.9
15/07/2019,10.87
16/07/2019,10.84
19/07/2019,10.77
20/07/2019,10.74
22/07/2019,10.68
23/07/2019,10.66
25/07/2019,10.6
27/07/2019,10.56
30/07/2019,10.45
31/07/2019,10.44
02/08/2019,10.43
04/08/2019,10.39
06/08/2019,10.08
08/08/2019,10.01
10/08/2019,9.98
11/08/2019,9.94
13/08/2019,9.95
14/08/2019,9.94
16/08/2019,9.86
19/08/2019,9.82
20/08/2019,9.81
23/08/2019,9.8
24/08/2019,9.78
26/08/2019,9.78
27/08/2019,9.77
29/08/2019,9.69
31/08/2019,9.65
02/09/2019,9.61
04/09/2019,9.38
06/09/2019,9.32
07/09/2019,9.3
10/09/2019,9.3
12/09/2019,9.23
13/09/2019,9.21
15/09/2019,9.15
16/09/2019,9.12
19/09/2019,9.11
21/09/2019,9.08
22/09/2019,9.06
24/09/2019,9.02
26/09/2019,8.99
27/09/2019,8.97
30/09/2019,8.88
02/10/2019,8.69
03/10/2019,8.65
05/10/2019,8.61
07/10/2019,8.55
08/10/2019,8.52
10/10/2019,8.48
13/10/2019,8.4
14/10/2019,8.36
16/10/2019,8.32
17/10/2019,8.3
20/10/2019,8.21
21/10/2019,8.2
24/10/2019,8.13
26/10/2019,8.07
27/10/2019,8.03
29/10/2019,7.99
31/10/2019,7.94
01/11/2019,7.9
04/11/2019,7.83
05/11/2019,7.82
07/11/2019,7.78
08/11/2019,7.68
10/11/2019,7.63
12/11/2019,7.59
14/11/2019,7.54
16/11/2019,7.5
18/11/2019,7.44
20/11/2019,7.39
22/11/2019,7.35
23/11/2019,7.49
26/11/2019,7.42
27/11/2019,7.39
29/11/2019,7.34
30/11/2019,7.33
02/12/2019,7.28
04/12/2019,7.29
06/12/2019,7.28
08/12/2019,7.28
10/12/2019,7.27
12/12/2019,7.23
13/12/2019,7.18
15/12/2019,7.32
17/12/2019,7.28
19/12/2019,7.21
20/12/2019,7.19
22/12/2019,7.29
24/12/2019,7.27
26/12/2019,7.19
29/12/2019,7.13
30/12/2019,7.12
