Fecha,Reserva
01/01/2017,85.26
02/01/2017,85.26
03/01/2017,85.26
06/01/2017,85.26
08/01/2017,85.51
09/01/2017,85.64
11/01/2017,85.01
13/01/2017,85.01
14/01/2017,84.89
16/01/2017,84.89
19/01/2017,83.77
20/01/2017,83.65
22/01/2017,83.77
24/01/2017,84.02
25/01/2017,84.52
28/01/2017,84.39
30/01/2017,84.64
31/01/2017,84.76
02/02/2017,84.76
03/02/2017,85.01
06/02/2017,85.01
08/02/2017,85.26
10/02/2017,85.39
11/02/2017,85.77
13/02/2017,86.39
15/02/2017,87.15
17/02/2017,87.41
18/02/2017,87.41
21/02/2017,87.41
23/02/2017,87.53
24/02/2017,87.66
26/02/2017,87.41
28/02/2017,86.9
02/03/2017,86.65
04/03/2017,87.03
05/03/2017,88.17
06/03/2017,88.94
09/03/2017,89.45
11/03/2017,89.33
13/03/2017,89.71
15/03/2017,88.56
16/03/2017,88.68
17/03/2017,88.94
19/03/2017,88.68
22/03/2017,88.81
23/03/2017,88.68
25/03/2017,87.92
27/03/2017,87.41
29/03/2017,87.66
30/03/2017,87.79
02/04/2017,87.03
04/04/2017,86.39
06/04/2017,86.14
07/04/2017,85.39
08/04/2017,85.14
11/04/2017,84.64
12/04/2017,84.52
14/04/2017,84.52
16/04/2017,84.39
18/04/2017,84.52
19/04/2017,84.52
22/04/2017,83.65
24/04/2017,83.4
25/04/2017,83.28
27/04/2017,81.08
29/04/2017,80.96
01/05/2017,81.08
03/05/2017,81.44
04/05/2017,81.69
06/05/2017,80.84
08/05/2017,80.12
10/05/2017,79.64
11/05/2017,80.72
13/05/2017,82.54
15/05/2017,83.16
18/05/2017,83.52
19/05/2017,83.16
21/05/2017,82.79
22/05/2017,82.54
24/05/2017,81.32
26/05/2017,80.36
28/05/2017,79.76
30/05/2017,79.04
31/05/2017,77.27
02/06/2017,76.57
05/06/2017,75.87
07/06/2017,74.38
08/06/2017,73.92
10/06/2017,72.68
12/06/2017,71.56
14/06/2017,70.24
15/06/2017,69.91
17/06/2017,68.61
20/06/2017,67.53
21/06/2017,66.9
22/06/2017,66.26
25/06/2017,64.49
27/06/2017,63.67
29/06/2017,62.45
30/06/2017,61.95
02/07/2017,61.15
04/07/2017,60.36
06/07/2017,59.09
08/07/2017,57.93
09/07/2017,57.46
11/07/2017,56.7
13/07/2017,55.49
15/07/2017,54.75
17/07/2017,54.3
19/07/2017,53.12
20/07/2017,52.59
22/07/2017,51.79
23/07/2017,51.17
25/07/2017,50.31
28/07/2017,48.61
30/07/2017,47.85
31/07/2017,47.52
02/08/2017,46.21
04/08/2017,45.17
06/08/2017,44.06
07/08/2017,43.51
10/08/2017,42.13
11/08/2017,41.52
13/08/2017,40.77
14/08/2017,40.48
17/08/2017,39.15
18/08/2017,38.86
20/08/2017,38.07
23/08/2017,36.72
24/08/2017,36.16
25/08/2017,35.46
28/08/2017,34.97
29/08/2017,34.97
31/08/2017,34.35
02/09/2017,34.14
04/09/2017,33.8
05/09/2017,33.6
08/09/2017,32.72
10/09/2017,32.45
11/09/2017,32.52
13/09/2017,32.45
15/09/2017,32.19
16/09/2017,32.52
19/09/2017,32.99
21/09/2017,33.06
23/09/2017,33.4
24/09/2017,33.94
25/09/2017,34.35
28/09/2017,34.56
29/09/2017,33.19
01/10/2017,34.83
03/10/2017,34.56
05/10/2017,33.87
06/10/2017,33.6
09/10/2017,33.06
10/10/2017,32.79
13/10/2017,31.72
14/10/2017,31.52
16/10/2017,31.45
17/10/2017,31.26
19/10/2017,31.79
21/10/2017,32.85
23/10/2017,32.99
26/10/2017,32.72
27/10/2017,32.79
28/10/2017,32.72
31/10/2017,32.72
02/11/2017,32.52
03/11/2017,32.65
05/11/2017,33.4
06/11/2017,33.94
09/11/2017,33.94
11/11/2017,33.6
13/11/2017,33.6
15/11/2017,33.87
16/11/2017,33.8
17/11/2017,34.01
19/11/2017,34.01
21/11/2017,34.35
23/11/2017,34.76
26/11/2017,34.35
27/11/2017,34.35
29/11/2017,34.35
01/12/2017,39.23
02/12/2017,39.74
05/12/2017,39.45
07/12/2017,39.88
08/12/2017,39.88
10/12/2017,39.88
11/12/2017,39.88
13/12/2017,41.67
15/12/2017,41.55
18/12/2017,41.67
19/12/2017,41.22
21/12/2017,41.07
22/12/2017,41.15
25/12/2017,41.6
27/12/2017,41.15
28/12/2017,41.3
30/12/2017,41.37
