Fecha,Reserva
01/01/2016,37.08
02/01/2016,37.04
04/01/2016,36.93
06/01/2016,36.89
08/01/2016,36.82
10/01/2016,36.81
11/01/2016,36.77
13/01/2016,36.71
14/01/2016,36.69
17/01/2016,36.56
18/01/2016,36.53
21/01/2016,36.44
22/01/2016,31.03
24/01/2016,36.29
26/01/2016,36.19
28/01/2016,36.12
29/01/2016,36.1
01/02/2016,35.96
02/02/2016,35.93
04/02/2016,35.84
06/02/2016,35.76
07/02/2016,35.73
10/02/2016,35.61
11/02/2016,35.57
13/02/2016,35.78
15/02/2016,36.16
16/02/2016,36.21
18/02/2016,36.35
20/02/2016,36.43
22/02/2016,36.47
25/02/2016,36.5
26/02/2016,36.52
28/02/2016,36.58
29/02/2016,36.59
02/03/2016,36.6
05/03/2016,36.6
07/03/2016,36.58
08/03/2016,36.56
10/03/2016,36.56
11/03/2016,36.52
14/03/2016,36.48
15/03/2016,36.45
17/03/2016,36.4
19/03/2016,36.39
20/03/2016,36.36
23/03/2016,36.31
25/03/2016,36.24
27/03/2016,36.16
29/03/2016,36.12
30/03/2016,36.08
31/03/2016,36.19
02/04/2016,36.12
04/04/2016,36.06
06/04/2016,36.12
08/04/2016,36.14
10/04/2016,36.1
12/04/2016,36.06
13/04/2016,36.04
16/04/2016,35.95
18/04/2016,35.87
20/04/2016,35.83
21/04/2016,35.89
22/04/2016,35.92
24/04/2016,35.92
26/04/2016,35.92
29/04/2016,35.92
30/04/2016,35.92
02/05/2016,35.88
03/05/2016,35.84
05/05/2016,35.8
08/05/2016,35.79
09/05/2016,35.85
11/05/2016,35.99
13/05/2016,36.19
15/05/2016,36.36
17/05/2016,36.49
19/05/2016,36.56
20/05/2016,36.59
22/05/2016,36.62
24/05/2016,36.62
25/05/2016,36.62
27/05/2016,36.64
29/05/2016,36.64
31/05/2016,36.62
03/06/2016,36.58
04/06/2016,36.56
05/06/2016,36.52
07/06/2016,36.47
10/06/2016,36.36
12/06/2016,36.24
14/06/2016,36.14
15/06/2016,36.08
16/06/2016,35.99
19/06/2016,35.8
20/06/2016,35.76
23/06/2016,35.57
25/06/2016,35.39
26/06/2016,35.35
27/06/2016,35.26
29/06/2016,35.17
01/07/2016,35.0
04/07/2016,34.78
06/07/2016,34.66
07/07/2016,34.58
09/07/2016,34.45
10/07/2016,34.36
12/07/2016,34.23
15/07/2016,34.0
17/07/2016,33.83
18/07/2016,33.77
19/07/2016,33.7
22/07/2016,33.48
23/07/2016,33.39
26/07/2016,33.18
28/07/2016,33.02
29/07/2016,32.95
31/07/2016,32.79
01/08/2016,32.69
03/08/2016,32.54
05/08/2016,32.38
07/08/2016,32.19
09/08/2016,32.03
10/08/2016,31.96
12/08/2016,31.79
15/08/2016,31.59
16/08/2016,31.5
18/08/2016,31.38
20/08/2016,31.21
22/08/2016,31.04
24/08/2016,30.92
25/08/2016,30.84
28/08/2016,30.64
29/08/2016,30.55
31/08/2016,30.44
01/09/2016,30.36
03/09/2016,30.25
06/09/2016,30.05
07/09/2016,29.97
10/09/2016,29.76
11/09/2016,29.66
13/09/2016,29.53
14/09/2016,29.44
16/09/2016,29.29
19/09/2016,29.09
21/09/2016,28.92
22/09/2016,28.87
23/09/2016,28.79
25/09/2016,28.65
27/09/2016,28.55
30/09/2016,28.37
01/10/2016,28.33
03/10/2016,28.22
05/10/2016,28.12
07/10/2016,28.01
09/10/2016,27.93
11/10/2016,27.82
12/10/2016,27.78
14/10/2016,27.82
16/10/2016,27.76
18/10/2016,27.67
19/10/2016,27.64
22/10/2016,27.55
24/10/2016,27.48
25/10/2016,27.46
26/10/2016,27.43
28/10/2016,27.34
31/10/2016,27.22
02/11/2016,27.13
03/11/2016,27.09
05/11/2016,27.01
06/11/2016,26.97
08/11/2016,26.88
10/11/2016,26.76
13/11/2016,26.65
14/11/2016,26.61
16/11/2016,26.76
17/11/2016,26.85
20/11/2016,27.1
21/11/2016,27.19
23/11/2016,27.58
26/11/2016,27.97
27/11/2016,28.22
28/11/2016,28.39
30/11/2016,28.65
03/12/2016,29.08
05/12/2016,29.35
06/12/2016,29.35
08/12/2016,29.35
10/12/2016,29.33
12/12/2016,29.33
14/12/2016,29.3
16/12/2016,29.35
17/12/2016,29.36
19/12/2016,29.45
20/12/2016,29.46
22/12/2016,29.44
25/12/2016,29.43
27/12/2016,29.41
28/12/2016,29.39
30/12/2016,29.37
