Fecha,Reserva
01/01/2012,34.54
02/01/2012,34.39
04/01/2012,34.42
06/01/2012,34.49
07/01/2012,30.38
09/01/2012,31.42
12/01/2012,30.94
13/01/2012,30.56
14/01/2012,30.29
16/01/2012,30.56
18/01/2012,30.38
20/01/2012,30.38
23/01/2012,30.44
24/01/2012,30.44
25/01/2012,30.47
27/01/2012,30.5
30/01/2012,30.5
01/02/2012,30.53
03/02/2012,30.41
04/02/2012,30.29
06/02/2012,30.26
08/02/2012,30.12
09/02/2012,30.03
11/02/2012,29.86
14/02/2012,29.8
15/02/2012,29.65
16/02/2012,29.57
18/02/2012,29.54
21/02/2012,29.23
22/02/2012,29.14
24/02/2012,29.14
26/02/2012,28.91
28/02/2012,28.88
01/03/2012,28.9
02/03/2012,28.8
05/03/2012,28.69
06/03/2012,28.55
08/03/2012,28.55
10/03/2012,28.52
11/03/2012,28.41
13/03/2012,28.41
15/03/2012,28.35
18/03/2012,28.41
19/03/2012,28.41
21/03/2012,28.35
22/03/2012,28.35
24/03/2012,28.24
27/03/2012,28.21
28/03/2012,28.02
30/03/2012,27.99
01/04/2012,27.97
02/04/2012,27.99
04/04/2012,27.45
06/04/2012,26.83
09/04/2012,26.43
10/04/2012,26.06
11/04/2012,25.75
13/04/2012,24.96
16/04/2012,24.31
17/04/2012,23.94
20/04/2012,23.43
21/04/2012,22.89
23/04/2012,22.26
25/04/2012,21.51
26/04/2012,21.17
28/04/2012,20.62
01/05/2012,20.02
02/05/2012,19.94
04/05/2012,20.0
06/05/2012,20.0
07/05/2012,20.0
09/05/2012,20.13
11/05/2012,20.13
13/05/2012,20.13
14/05/2012,20.15
16/05/2012,20.06
18/05/2012,20.04
21/05/2012,20.06
22/05/2012,20.04
24/05/2012,20.0
25/05/2012,20.0
28/05/2012,19.96
30/05/2012,19.9
31/05/2012,19.66
02/06/2012,19.62
04/06/2012,19.62
05/06/2012,19.62
08/06/2012,19.62
10/06/2012,19.6
12/06/2012,19.56
13/06/2012,19.56
15/06/2012,19.52
17/06/2012,19.52
18/06/2012,19.52
20/06/2012,19.43
23/06/2012,19.37
24/06/2012,19.37
26/06/2012,19.35
28/06/2012,19.31
30/06/2012,19.27
02/07/2012,19.25
03/07/2012,19.21
05/07/2012,19.19
07/07/2012,19.15
09/07/2012,19.11
10/07/2012,19.11
12/07/2012,19.06
15/07/2012,19.0
16/07/2012,18.98
18/07/2012,18.96
20/07/2012,18.92
22/07/2012,18.88
23/07/2012,18.86
26/07/2012,18.84
27/07/2012,18.67
29/07/2012,18.62
31/07/2012,18.58
02/08/2012,18.54
04/08/2012,18.5
06/08/2012,18.46
07/08/2012,18.46
09/08/2012,18.44
11/08/2012,18.4
13/08/2012,18.36
14/08/2012,18.34
17/08/2012,18.32
18/08/2012,18.26
20/08/2012,18.2
21/08/2012,18.1
24/08/2012,18.04
25/08/2012,18.04
28/08/2012,18.01
29/08/2012,17.99
31/08/2012,17.95
01/09/2012,17.95
03/09/2012,17.91
06/09/2012,17.87
07/09/2012,17.87
10/09/2012,17.83
11/09/2012,17.83
13/09/2012,17.79
15/09/2012,17.75
17/09/2012,17.73
19/09/2012,17.73
21/09/2012,17.71
22/09/2012,17.39
23/09/2012,17.37
26/09/2012,17.39
28/09/2012,17.43
29/09/2012,17.41
01/10/2012,17.41
03/10/2012,17.37
04/10/2012,17.37
07/10/2012,17.33
09/10/2012,17.31
11/10/2012,17.31
12/10/2012,17.29
14/10/2012,17.29
16/10/2012,17.28
18/10/2012,17.26
19/10/2012,17.39
22/10/2012,17.52
24/10/2012,17.52
25/10/2012,17.56
27/10/2012,18.12
29/10/2012,18.22
30/10/2012,17.41
01/11/2012,18.32
03/11/2012,18.46
05/11/2012,20.36
06/11/2012,20.36
09/11/2012,23.97
10/11/2012,24.76
12/11/2012,25.26
15/11/2012,25.52
16/11/2012,25.57
17/11/2012,26.64
19/11/2012,35.93
21/11/2012,35.93
23/11/2012,36.74
25/11/2012,37.09
27/11/2012,37.36
29/11/2012,37.57
01/12/2012,37.71
02/12/2012,37.74
04/12/2012,37.81
06/12/2012,37.92
08/12/2012,38.09
09/12/2012,38.2
12/12/2012,38.34
14/12/2012,38.44
15/12/2012,38.55
17/12/2012,39.87
19/12/2012,40.38
21/12/2012,40.49
22/12/2012,40.35
25/12/2012,40.16
26/12/2012,40.2
29/12/2012,40.05
30/12/2012,39.98
