Fecha,Reserva
01/01/2014,38.14
02/01/2014,38.15
04/01/2014,38.12
06/01/2014,38.12
08/01/2014,38.1
09/01/2014,38.09
11/01/2014,38.07
12/01/2014,38.04
14/01/2014,38.0
17/01/2014,37.98
18/01/2014,37.98
21/01/2014,38.01
22/01/2014,38.05
23/01/2014,38.11
26/01/2014,38.22
28/01/2014,38.25
29/01/2014,38.28
01/02/2014,38.32
02/02/2014,38.3
04/02/2014,38.28
05/02/2014,38.32
08/02/2014,38.65
09/02/2014,38.82
11/02/2014,39.67
13/02/2014,40.45
15/02/2014,41.43
17/02/2014,42.0
19/02/2014,42.46
21/02/2014,42.81
23/02/2014,43.11
24/02/2014,43.27
25/02/2014,43.45
28/02/2014,43.85
01/03/2014,43.97
04/03/2014,46.57
05/03/2014,47.26
07/03/2014,48.2
09/03/2014,48.91
10/03/2014,49.18
12/03/2014,49.84
15/03/2014,50.49
16/03/2014,50.68
17/03/2014,50.92
19/03/2014,51.29
22/03/2014,51.94
23/03/2014,52.11
25/03/2014,52.5
27/03/2014,52.83
29/03/2014,53.18
30/03/2014,53.34
01/04/2014,53.48
04/04/2014,53.99
06/04/2014,54.34
07/04/2014,54.56
09/04/2014,54.72
10/04/2014,55.14
13/04/2014,56.04
15/04/2014,56.69
16/04/2014,56.99
18/04/2014,57.06
20/04/2014,57.06
21/04/2014,57.06
23/04/2014,59.38
26/04/2014,60.24
28/04/2014,60.74
29/04/2014,61.05
01/05/2014,61.74
03/05/2014,62.44
04/05/2014,62.93
06/05/2014,63.62
08/05/2014,64.55
10/05/2014,65.43
11/05/2014,65.75
13/05/2014,66.69
15/05/2014,67.45
17/05/2014,67.91
19/05/2014,68.54
20/05/2014,68.62
22/05/2014,69.03
24/05/2014,69.17
26/05/2014,69.25
29/05/2014,69.33
30/05/2014,69.4
01/06/2014,69.17
02/06/2014,69.27
05/06/2014,69.17
06/06/2014,69.27
08/06/2014,69.25
10/06/2014,69.27
12/06/2014,69.21
14/06/2014,68.97
16/06/2014,68.59
17/06/2014,68.42
19/06/2014,68.15
21/06/2014,67.82
22/06/2014,67.59
24/06/2014,67.26
27/06/2014,66.7
29/06/2014,66.24
30/06/2014,65.96
02/07/2014,65.6
03/07/2014,65.43
06/07/2014,64.9
08/07/2014,64.65
10/07/2014,64.28
11/07/2014,63.99
12/07/2014,63.66
15/07/2014,62.95
16/07/2014,62.87
18/07/2014,62.35
21/07/2014,62.35
22/07/2014,61.56
23/07/2014,61.0
26/07/2014,60.25
27/07/2014,59.96
29/07/2014,59.4
31/07/2014,58.89
02/08/2014,58.35
04/08/2014,57.79
06/08/2014,57.33
08/08/2014,56.79
10/08/2014,56.21
11/08/2014,55.94
13/08/2014,55.37
14/08/2014,55.07
16/08/2014,54.54
19/08/2014,53.7
20/08/2014,53.43
22/08/2014,53.05
24/08/2014,52.6
26/08/2014,52.22
27/08/2014,51.98
30/08/2014,51.37
01/09/2014,50.86
02/09/2014,50.75
04/09/2014,50.48
06/09/2014,50.06
07/09/2014,49.9
09/09/2014,49.61
12/09/2014,49.26
13/09/2014,49.06
15/09/2014,48.77
16/09/2014,48.69
19/09/2014,48.26
21/09/2014,48.01
22/09/2014,47.87
24/09/2014,47.61
26/09/2014,47.35
28/09/2014,47.15
29/09/2014,47.02
02/10/2014,46.71
04/10/2014,46.56
05/10/2014,46.45
07/10/2014,46.2
09/10/2014,46.01
11/10/2014,45.78
13/10/2014,45.57
14/10/2014,45.48
16/10/2014,45.37
18/10/2014,45.23
20/10/2014,45.01
21/10/2014,44.98
23/10/2014,44.74
25/10/2014,44.47
27/10/2014,44.25
28/10/2014,44.25
30/10/2014,43.92
02/11/2014,43.6
03/11/2014,43.44
05/11/2014,43.34
06/11/2014,43.25
08/11/2014,43.12
11/11/2014,42.96
12/11/2014,43.0
14/11/2014,42.97
16/11/2014,43.06
18/11/2014,43.01
19/11/2014,43.03
22/11/2014,42.92
24/11/2014,42.95
26/11/2014,42.95
27/11/2014,42.92
28/11/2014,42.91
01/12/2014,42.95
03/12/2014,43.05
05/12/2014,43.03
06/12/2014,42.99
08/12/2014,42.96
10/12/2014,42.9
11/12/2014,42.89
14/12/2014,42.77
15/12/2014,42.75
17/12/2014,42.66
19/12/2014,42.6
20/12/2014,42.56
22/12/2014,42.43
24/12/2014,42.35
27/12/2014,42.26
29/12/2014,42.13
30/12/2014,42.08
