Fecha,Reserva
01/01/2020,9.75
02/01/2020,9.75
04/01/2020,9.75
06/01/2020,9.76
07/01/2020,9.74
10/01/2020,9.72
11/01/2020,9.73
13/01/2020,9.72
14/01/2020,9.73
16/01/2020,9.7
19/01/2020,9.68
21/01/2020,9.63
23/01/2020,9.68
24/01/2020,12.73
26/01/2020,17.26
28/01/2020,17.63
29/01/2020,17.19
01/02/2020,17.3
03/02/2020,17.37
04/02/2020,16.32
06/02/2020,14.1
07/02/2020,13.02
09/02/2020,12.88
11/02/2020,12.88
13/02/2020,12.88
15/02/2020,12.88
17/02/2020,12.87
18/02/2020,12.88
20/02/2020,12.88
22/02/2020,12.86
24/02/2020,12.86
26/02/2020,12.84
27/02/2020,12.84
29/02/2020,12.81
02/03/2020,12.8
04/03/2020,12.77
06/03/2020,12.76
08/03/2020,12.73
09/03/2020,12.71
11/03/2020,12.71
14/03/2020,12.68
16/03/2020,12.67
17/03/2020,12.64
19/03/2020,12.64
20/03/2020,12.63
23/03/2020,12.68
25/03/2020,12.85
26/03/2020,13.07
28/03/2020,13.15
30/03/2020,13.18
31/03/2020,13.2
03/04/2020,13.89
04/04/2020,13.99
06/04/2020,14.12
08/04/2020,14.19
10/04/2020,14.24
12/04/2020,14.27
14/04/2020,14.32
16/04/2020,15.67
17/04/2020,15.89
20/04/2020,16.21
21/04/2020,16.23
23/04/2020,16.34
24/04/2020,16.39
26/04/2020,16.44
28/04/2020,16.49
30/04/2020,16.51
02/05/2020,16.47
04/05/2020,16.51
05/05/2020,16.5
08/05/2020,16.5
09/05/2020,16.52
12/05/2020,16.55
13/05/2020,16.63
14/05/2020,16.66
17/05/2020,16.69
18/05/2020,16.71
21/05/2020,16.73
22/05/2020,16.74
24/05/2020,16.73
25/05/2020,16.74
27/05/2020,16.74
29/05/2020,16.71
31/05/2020,16.69
03/06/2020,16.69
04/06/2020,16.68
06/06/2020,16.68
08/06/2020,16.65
09/06/2020,16.66
11/06/2020,16.63
14/06/2020,16.63
15/06/2020,16.62
17/06/2020,16.61
18/06/2020,16.59
20/06/2020,16.56
22/06/2020,16.54
25/06/2020,16.5
26/06/2020,16.46
28/06/2020,16.47
29/06/2020,16.44
02/07/2020,16.4
04/07/2020,16.41
06/07/2020,16.36
07/07/2020,16.37
08/07/2020,16.35
10/07/2020,16.34
13/07/2020,16.3
14/07/2020,16.28
16/07/2020,16.3
18/07/2020,16.27
20/07/2020,16.26
22/07/2020,16.22
24/07/2020,16.2
26/07/2020,16.16
27/07/2020,16.15
29/07/2020,16.1
31/07/2020,16.06
02/08/2020,16.03
04/08/2020,15.99
06/08/2020,15.97
07/08/2020,15.96
09/08/2020,15.92
11/08/2020,15.9
12/08/2020,15.88
15/08/2020,15.88
17/08/2020,15.85
19/08/2020,15.83
20/08/2020,15.81
22/08/2020,15.79
24/08/2020,15.77
26/08/2020,15.76
27/08/2020,15.76
29/08/2020,15.71
31/08/2020,15.67
02/09/2020,15.65
04/09/2020,15.63
06/09/2020,15.6
07/09/2020,15.61
09/09/2020,15.58
11/09/2020,15.56
12/09/2020,15.54
15/09/2020,15.52
17/09/2020,15.53
18/09/2020,15.51
20/09/2020,15.52
22/09/2020,15.52
24/09/2020,15.47
25/09/2020,14.52
27/09/2020,14.49
29/09/2020,14.48
02/10/2020,14.4
03/10/2020,14.38
05/10/2020,14.35
07/10/2020,14.29
09/10/2020,14.25
10/10/2020,14.22
13/10/2020,14.11
14/10/2020,14.08
15/10/2020,14.05
18/10/2020,13.99
19/10/2020,13.98
22/10/2020,13.89
23/10/2020,13.89
25/10/2020,13.85
26/10/2020,13.84
29/10/2020,13.78
30/10/2020,12.65
02/11/2020,12.64
03/11/2020,12.61
05/11/2020,12.58
07/11/2020,12.54
08/11/2020,12.51
11/11/2020,12.46
12/11/2020,12.43
14/11/2020,12.39
16/11/2020,12.34
18/11/2020,12.38
19/11/2020,12.32
21/11/2020,12.27
24/11/2020,12.15
26/11/2020,12.08
27/11/2020,12.09
28/11/2020,12.08
01/12/2020,12.08
03/12/2020,12.1
04/12/2020,12.03
07/12/2020,12.0
08/12/2020,12.0
09/12/2020,11.99
11/12/2020,11.97
13/12/2020,12.03
15/12/2020,12.07
18/12/2020,12.1
19/12/2020,12.09
20/12/2020,12.1
22/12/2020,12.07
25/12/2020,12.05
26/12/2020,12.03
29/12/2020,12.03
30/12/2020,12.02
