Fecha,Reserva
01/01/2020,17.84
02/01/2020,17.84
04/01/2020,17.75
06/01/2020,17.69
08/01/2020,17.72
09/01/2020,17.69
11/01/2020,17.69
13/01/2020,17.65
14/01/2020,17.71
16/01/2020,17.71
18/01/2020,17.71
21/01/2020,17.71
23/01/2020,17.74
24/01/2020,17.84
26/01/2020,18.54
27/01/2020,18.61
29/01/2020,18.68
31/01/2020,18.68
03/02/2020,18.64
04/02/2020,18.34
05/02/2020,18.61
07/02/2020,18.61
09/02/2020,18.61
12/02/2020,18.61
13/02/2020,18.58
15/02/2020,18.58
16/02/2020,18.58
19/02/2020,18.58
21/02/2020,18.54
23/02/2020,18.54
25/02/2020,18.48
26/02/2020,18.48
27/02/2020,18.48
29/02/2020,18.41
02/03/2020,18.38
04/03/2020,18.44
06/03/2020,18.44
08/03/2020,18.38
09/03/2020,18.38
11/03/2020,18.34
14/03/2020,18.24
15/03/2020,18.21
17/03/2020,18.21
19/03/2020,18.27
20/03/2020,18.27
22/03/2020,18.34
25/03/2020,18.48
26/03/2020,18.51
28/03/2020,18.44
30/03/2020,18.44
01/04/2020,18.58
02/04/2020,18.64
04/04/2020,18.64
07/04/2020,18.64
08/04/2020,18.64
10/04/2020,18.61
12/04/2020,18.61
14/04/2020,18.48
16/04/2020,18.51
17/04/2020,18.51
20/04/2020,18.51
21/04/2020,18.58
22/04/2020,18.64
24/04/2020,18.64
26/04/2020,18.64
29/04/2020,18.64
30/04/2020,18.64
02/05/2020,18.51
04/05/2020,18.38
06/05/2020,18.38
07/05/2020,18.31
09/05/2020,18.31
12/05/2020,18.34
13/05/2020,18.38
15/05/2020,18.51
17/05/2020,18.58
18/05/2020,18.88
21/05/2020,18.88
22/05/2020,18.88
24/05/2020,18.81
25/05/2020,18.75
27/05/2020,18.75
29/05/2020,18.64
01/06/2020,18.64
03/06/2020,18.54
04/06/2020,18.44
05/06/2020,18.41
08/06/2020,18.21
10/06/2020,18.21
11/06/2020,18.17
14/06/2020,18.17
15/06/2020,18.14
16/06/2020,18.11
18/06/2020,18.01
20/06/2020,17.87
23/06/2020,17.68
24/06/2020,17.64
26/06/2020,17.54
27/06/2020,17.48
29/06/2020,17.35
01/07/2020,17.15
03/07/2020,17.05
06/07/2020,16.73
07/07/2020,16.66
08/07/2020,16.5
10/07/2020,16.4
12/07/2020,16.18
15/07/2020,15.89
17/07/2020,15.7
18/07/2020,15.58
20/07/2020,15.3
21/07/2020,15.08
23/07/2020,14.89
26/07/2020,14.53
28/07/2020,14.28
29/07/2020,14.1
31/07/2020,13.86
02/08/2020,13.57
03/08/2020,13.42
05/08/2020,13.27
07/08/2020,13.04
09/08/2020,12.89
11/08/2020,12.75
13/08/2020,12.58
15/08/2020,12.43
17/08/2020,12.32
18/08/2020,12.21
20/08/2020,12.04
21/08/2020,11.98
24/08/2020,11.73
25/08/2020,11.68
27/08/2020,11.65
30/08/2020,11.4
31/08/2020,11.35
02/09/2020,11.26
04/09/2020,11.1
05/09/2020,11.05
08/09/2020,10.86
10/09/2020,10.8
11/09/2020,10.7
13/09/2020,10.59
15/09/2020,10.51
16/09/2020,10.51
19/09/2020,10.43
21/09/2020,10.38
22/09/2020,10.3
23/09/2020,10.3
26/09/2020,10.12
28/09/2020,10.07
29/09/2020,10.01
01/10/2020,9.96
03/10/2020,9.86
05/10/2020,9.81
06/10/2020,9.78
09/10/2020,9.63
10/10/2020,9.58
13/10/2020,9.5
14/10/2020,9.5
15/10/2020,9.48
17/10/2020,9.42
19/10/2020,9.37
22/10/2020,9.32
23/10/2020,9.5
25/10/2020,9.45
26/10/2020,9.42
28/10/2020,9.5
30/10/2020,9.48
01/11/2020,9.42
04/11/2020,9.37
05/11/2020,9.37
07/11/2020,9.37
08/11/2020,9.4
10/11/2020,9.4
13/11/2020,9.4
14/11/2020,9.32
16/11/2020,9.32
17/11/2020,9.35
19/11/2020,9.35
21/11/2020,9.32
24/11/2020,9.32
25/11/2020,9.3
27/11/2020,9.42
29/11/2020,9.53
01/12/2020,9.5
03/12/2020,9.58
05/12/2020,9.58
06/12/2020,9.6
08/12/2020,9.6
09/12/2020,9.63
12/12/2020,9.63
13/12/2020,9.63
16/12/2020,9.7
18/12/2020,9.76
19/12/2020,9.78
20/12/2020,9.83
22/12/2020,9.83
25/12/2020,9.83
26/12/2020,9.86
28/12/2020,9.86
30/12/2020,9.88
