Fecha,Reserva
01/01/2013,201.73
02/01/2013,201.39
04/01/2013,201.62
06/01/2013,201.04
08/01/2013,199.89
09/01/2013,200.01
11/01/2013,200.12
12/01/2013,199.89
14/01/2013,198.86
16/01/2013,199.09
19/01/2013,199.09
21/01/2013,199.55
22/01/2013,201.16
24/01/2013,202.42
25/01/2013,203.02
27/01/2013,207.14
30/01/2013,209.81
01/02/2013,210.78
02/02/2013,210.9
04/02/2013,210.05
05/02/2013,210.29
08/02/2013,210.66
09/02/2013,210.53
11/02/2013,209.44
13/02/2013,209.57
15/02/2013,209.81
16/02/2013,209.69
18/02/2013,208.47
21/02/2013,209.08
22/02/2013,209.44
24/02/2013,213.56
25/02/2013,213.93
28/02/2013,215.42
02/03/2013,215.68
04/03/2013,214.66
05/03/2013,215.81
06/03/2013,230.02
09/03/2013,257.72
11/03/2013,268.51
13/03/2013,282.14
14/03/2013,286.6
16/03/2013,290.64
18/03/2013,293.67
20/03/2013,295.01
21/03/2013,308.73
24/03/2013,319.97
25/03/2013,322.95
27/03/2013,325.79
28/03/2013,326.73
30/03/2013,324.84
01/04/2013,326.36
04/04/2013,324.84
05/04/2013,325.03
07/04/2013,325.98
08/04/2013,325.41
11/04/2013,325.6
12/04/2013,326.17
15/04/2013,325.6
17/04/2013,325.41
18/04/2013,324.47
20/04/2013,322.95
22/04/2013,320.33
23/04/2013,319.61
26/04/2013,316.71
27/04/2013,315.44
29/04/2013,312.18
01/05/2013,311.45
03/05/2013,312.45
04/05/2013,310.73
06/05/2013,309.1
08/05/2013,308.55
10/05/2013,308.01
11/05/2013,307.47
13/05/2013,305.65
15/05/2013,305.29
17/05/2013,303.66
19/05/2013,302.25
21/05/2013,301.07
22/05/2013,300.73
24/05/2013,299.72
27/05/2013,297.37
28/05/2013,296.86
30/05/2013,295.85
31/05/2013,295.35
03/06/2013,292.82
04/06/2013,292.15
06/06/2013,291.14
08/06/2013,289.91
10/06/2013,288.11
12/06/2013,286.77
13/06/2013,286.45
15/06/2013,285.1
17/06/2013,283.18
19/06/2013,282.83
21/06/2013,282.14
22/06/2013,281.98
24/06/2013,280.09
27/06/2013,279.62
29/06/2013,278.99
01/07/2013,277.25
02/07/2013,276.78
04/07/2013,276.47
06/07/2013,275.84
08/07/2013,273.91
10/07/2013,273.47
11/07/2013,273.16
13/07/2013,272.52
15/07/2013,270.48
17/07/2013,270.16
19/07/2013,269.71
21/07/2013,268.21
22/07/2013,268.06
23/07/2013,267.31
26/07/2013,266.56
27/07/2013,266.26
30/07/2013,264.01
01/08/2013,264.93
02/08/2013,262.36
03/08/2013,262.78
05/08/2013,260.58
08/08/2013,257.57
09/08/2013,254.88
11/08/2013,254.61
13/08/2013,252.67
15/08/2013,250.9
17/08/2013,248.83
19/08/2013,246.95
20/08/2013,246.21
22/08/2013,244.01
24/08/2013,242.09
26/08/2013,240.27
27/08/2013,239.38
29/08/2013,237.44
31/08/2013,235.67
02/09/2013,233.84
04/09/2013,233.37
06/09/2013,194.84
07/09/2013,232.61
09/09/2013,230.83
12/09/2013,230.17
13/09/2013,229.21
14/09/2013,229.61
17/09/2013,226.82
19/09/2013,227.29
21/09/2013,226.75
23/09/2013,225.02
24/09/2013,224.64
26/09/2013,224.46
28/09/2013,224.0
30/09/2013,222.28
02/10/2013,221.18
04/10/2013,221.06
05/10/2013,221.58
07/10/2013,219.76
09/10/2013,218.75
11/10/2013,218.37
13/10/2013,218.69
14/10/2013,218.69
16/10/2013,216.06
17/10/2013,216.7
19/10/2013,215.55
22/10/2013,215.68
23/10/2013,225.92
25/10/2013,226.56
27/10/2013,258.17
28/10/2013,258.47
31/10/2013,257.12
02/11/2013,255.92
04/11/2013,254.74
05/11/2013,254.88
06/11/2013,254.74
09/11/2013,254.74
11/11/2013,254.17
12/11/2013,254.03
14/11/2013,254.17
16/11/2013,254.03
18/11/2013,253.46
20/11/2013,253.46
22/11/2013,253.18
23/11/2013,253.18
25/11/2013,251.47
27/11/2013,251.36
29/11/2013,251.19
30/11/2013,250.9
02/12/2013,249.34
05/12/2013,249.2
06/12/2013,249.05
08/12/2013,247.49
10/12/2013,245.78
12/12/2013,245.78
14/12/2013,245.36
16/12/2013,243.93
17/12/2013,244.01
19/12/2013,243.79
21/12/2013,243.65
23/12/2013,242.07
25/12/2013,242.0
27/12/2013,244.5
28/12/2013,244.65
30/12/2013,243.79
