Fecha,Reserva
01/01/2018,28.73
02/01/2018,28.66
04/01/2018,28.46
05/01/2018,28.33
08/01/2018,28.14
09/01/2018,28.35
11/01/2018,28.46
13/01/2018,28.19
15/01/2018,28.22
17/01/2018,28.12
18/01/2018,28.03
20/01/2018,27.8
22/01/2018,27.7
24/01/2018,27.09
25/01/2018,27.09
27/01/2018,27.11
30/01/2018,26.91
01/02/2018,26.91
02/02/2018,26.43
04/02/2018,26.02
05/02/2018,26.1
07/02/2018,25.89
09/02/2018,25.86
11/02/2018,25.7
13/02/2018,25.62
14/02/2018,25.55
17/02/2018,25.22
18/02/2018,25.18
21/02/2018,25.21
22/02/2018,25.22
24/02/2018,25.09
26/02/2018,25.1
28/02/2018,24.96
02/03/2018,26.27
03/03/2018,30.78
05/03/2018,34.71
07/03/2018,36.59
08/03/2018,38.98
11/03/2018,41.25
12/03/2018,42.92
14/03/2018,43.9
16/03/2018,46.3
17/03/2018,46.7
19/03/2018,53.4
21/03/2018,54.86
23/03/2018,55.27
26/03/2018,57.24
27/03/2018,57.48
28/03/2018,57.63
31/03/2018,58.05
01/04/2018,58.18
04/04/2018,58.52
05/04/2018,58.58
07/04/2018,58.72
09/04/2018,58.98
10/04/2018,59.07
13/04/2018,62.14
14/04/2018,63.24
16/04/2018,63.69
18/04/2018,63.65
19/04/2018,63.6
21/04/2018,63.74
23/04/2018,63.94
25/04/2018,64.09
27/04/2018,64.2
29/04/2018,64.28
01/05/2018,64.35
02/05/2018,64.36
04/05/2018,64.41
07/05/2018,64.46
08/05/2018,64.51
09/05/2018,64.51
12/05/2018,64.55
14/05/2018,64.55
16/05/2018,64.53
18/05/2018,64.52
19/05/2018,64.5
21/05/2018,64.45
22/05/2018,64.25
24/05/2018,64.24
26/05/2018,64.24
29/05/2018,64.24
30/05/2018,64.22
31/05/2018,64.22
02/06/2018,64.19
04/06/2018,64.17
07/06/2018,64.13
08/06/2018,64.09
10/06/2018,64.08
12/06/2018,63.74
13/06/2018,63.71
15/06/2018,63.69
17/06/2018,63.66
20/06/2018,63.58
21/06/2018,63.58
22/06/2018,63.58
24/06/2018,63.52
27/06/2018,63.46
28/06/2018,63.39
01/07/2018,63.33
02/07/2018,63.3
04/07/2018,63.26
05/07/2018,63.21
08/07/2018,63.13
09/07/2018,63.13
11/07/2018,63.08
13/07/2018,63.01
15/07/2018,62.95
17/07/2018,62.9
18/07/2018,62.87
21/07/2018,62.51
22/07/2018,62.48
24/07/2018,62.45
25/07/2018,62.4
28/07/2018,62.31
30/07/2018,62.26
31/07/2018,62.13
02/08/2018,61.77
04/08/2018,61.48
06/08/2018,61.17
08/08/2018,61.15
10/08/2018,61.11
11/08/2018,60.98
13/08/2018,60.64
15/08/2018,60.29
16/08/2018,60.17
18/08/2018,59.79
21/08/2018,59.25
22/08/2018,59.08
24/08/2018,58.87
25/08/2018,58.69
28/08/2018,58.25
30/08/2018,57.93
31/08/2018,57.81
02/09/2018,57.51
03/09/2018,57.42
06/09/2018,56.92
07/09/2018,56.75
09/09/2018,56.54
11/09/2018,56.28
13/09/2018,56.07
15/09/2018,55.85
16/09/2018,55.79
19/09/2018,55.47
20/09/2018,55.34
22/09/2018,55.12
24/09/2018,54.86
26/09/2018,54.54
27/09/2018,54.44
29/09/2018,54.21
02/10/2018,53.83
03/10/2018,53.69
05/10/2018,53.41
07/10/2018,53.15
08/10/2018,53.01
11/10/2018,52.99
12/10/2018,53.03
14/10/2018,53.0
16/10/2018,52.93
18/10/2018,52.92
19/10/2018,52.96
21/10/2018,53.12
23/10/2018,53.09
25/10/2018,53.08
27/10/2018,53.06
29/10/2018,52.99
31/10/2018,53.17
01/11/2018,54.9
04/11/2018,54.93
05/11/2018,54.99
07/11/2018,55.02
08/11/2018,55.0
11/11/2018,55.07
13/11/2018,54.86
15/11/2018,54.85
16/11/2018,54.83
18/11/2018,54.98
20/11/2018,56.88
21/11/2018,57.3
24/11/2018,57.95
25/11/2018,58.05
27/11/2018,58.9
29/11/2018,59.02
30/11/2018,59.05
03/12/2018,59.12
05/12/2018,59.12
06/12/2018,59.07
08/12/2018,58.94
09/12/2018,58.87
12/12/2018,58.63
14/12/2018,58.63
16/12/2018,58.51
18/12/2018,58.35
19/12/2018,58.28
20/12/2018,58.25
22/12/2018,58.07
25/12/2018,57.85
26/12/2018,57.79
28/12/2018,57.65
30/12/2018,57.51
