Fecha,Reserva
01/01/2012,34.37
02/01/2012,34.4
04/01/2012,34.46
05/01/2012,34.42
08/01/2012,34.44
10/01/2012,34.98
12/01/2012,34.37
13/01/2012,35.05
14/01/2012,34.44
16/01/2012,35.05
18/01/2012,34.42
20/01/2012,35.19
22/01/2012,34.44
24/01/2012,34.42
25/01/2012,35.26
28/01/2012,34.49
30/01/2012,35.33
01/02/2012,34.33
03/02/2012,35.54
04/02/2012,34.22
05/02/2012,33.95
07/02/2012,34.55
09/02/2012,34.08
11/02/2012,34.28
14/02/2012,34.15
15/02/2012,35.71
17/02/2012,35.71
18/02/2012,34.33
20/02/2012,35.72
23/02/2012,35.73
24/02/2012,35.76
26/02/2012,34.33
27/02/2012,35.76
01/03/2012,35.77
03/03/2012,34.55
05/03/2012,34.62
06/03/2012,35.8
08/03/2012,35.83
09/03/2012,34.82
12/03/2012,34.82
13/03/2012,35.88
16/03/2012,35.9
17/03/2012,36.02
19/03/2012,36.02
20/03/2012,35.92
23/03/2012,36.05
24/03/2012,36.05
27/03/2012,36.05
28/03/2012,36.07
30/03/2012,36.07
01/04/2012,36.07
02/04/2012,36.07
04/04/2012,36.09
07/04/2012,36.17
09/04/2012,36.17
10/04/2012,36.12
11/04/2012,36.12
14/04/2012,36.21
15/04/2012,35.35
18/04/2012,35.42
19/04/2012,36.38
21/04/2012,36.43
23/04/2012,36.43
25/04/2012,36.51
27/04/2012,36.46
28/04/2012,36.46
30/04/2012,36.6
02/05/2012,36.63
04/05/2012,36.73
06/05/2012,36.73
07/05/2012,36.73
09/05/2012,36.85
11/05/2012,36.85
13/05/2012,36.87
15/05/2012,36.9
17/05/2012,36.99
19/05/2012,36.9
21/05/2012,36.95
23/05/2012,37.07
24/05/2012,37.07
26/05/2012,37.12
28/05/2012,37.12
30/05/2012,37.09
31/05/2012,37.09
03/06/2012,37.09
04/06/2012,37.12
05/06/2012,37.09
07/06/2012,36.99
09/06/2012,36.9
11/06/2012,36.8
13/06/2012,36.7
15/06/2012,36.6
17/06/2012,36.6
18/06/2012,36.6
20/06/2012,36.34
22/06/2012,36.24
25/06/2012,36.09
26/06/2012,36.05
27/06/2012,35.97
29/06/2012,35.88
01/07/2012,35.73
03/07/2012,35.59
06/07/2012,35.38
07/07/2012,35.28
08/07/2012,35.19
11/07/2012,34.98
12/07/2012,34.85
14/07/2012,34.69
17/07/2012,34.44
18/07/2012,34.31
20/07/2012,34.1
21/07/2012,33.97
24/07/2012,33.64
26/07/2012,33.41
27/07/2012,33.31
29/07/2012,33.08
31/07/2012,32.88
02/08/2012,32.63
03/08/2012,32.53
06/08/2012,32.17
08/08/2012,31.95
09/08/2012,31.82
11/08/2012,31.54
13/08/2012,31.28
14/08/2012,31.17
17/08/2012,30.77
19/08/2012,30.54
20/08/2012,30.41
22/08/2012,30.18
24/08/2012,29.93
26/08/2012,29.69
28/08/2012,29.44
29/08/2012,29.34
31/08/2012,29.09
02/09/2012,28.85
03/09/2012,28.72
06/09/2012,28.35
08/09/2012,28.03
10/09/2012,27.74
11/09/2012,27.57
12/09/2012,27.39
15/09/2012,26.88
16/09/2012,26.69
19/09/2012,26.19
20/09/2012,26.06
22/09/2012,25.75
23/09/2012,25.62
26/09/2012,25.19
27/09/2012,25.15
29/09/2012,25.23
02/10/2012,25.28
03/10/2012,25.21
04/10/2012,25.28
06/10/2012,25.21
08/10/2012,25.28
11/10/2012,25.28
12/10/2012,25.19
14/10/2012,25.19
16/10/2012,25.28
18/10/2012,25.28
20/10/2012,25.32
21/10/2012,25.34
24/10/2012,25.34
25/10/2012,25.36
26/10/2012,25.53
29/10/2012,25.62
30/10/2012,25.23
01/11/2012,25.72
04/11/2012,26.1
05/11/2012,27.76
07/11/2012,28.83
09/11/2012,27.95
10/11/2012,28.74
12/11/2012,29.81
14/11/2012,30.18
16/11/2012,30.43
17/11/2012,30.5
19/11/2012,31.9
22/11/2012,32.4
24/11/2012,31.19
25/11/2012,31.3
27/11/2012,32.97
28/11/2012,33.13
30/11/2012,33.33
02/12/2012,33.5
04/12/2012,33.64
06/12/2012,33.79
08/12/2012,33.99
10/12/2012,34.13
11/12/2012,34.19
14/12/2012,34.4
15/12/2012,34.46
17/12/2012,34.69
19/12/2012,34.87
20/12/2012,34.96
22/12/2012,35.12
24/12/2012,35.26
27/12/2012,35.57
28/12/2012,35.66
30/12/2012,35.8
