Fecha,Reserva
01/01/2016,37.72
02/01/2016,37.71
03/01/2016,37.66
05/01/2016,37.64
08/01/2016,37.53
10/01/2016,37.52
11/01/2016,37.48
13/01/2016,37.45
15/01/2016,37.39
17/01/2016,37.28
19/01/2016,37.22
21/01/2016,37.18
22/01/2016,37.15
24/01/2016,37.14
25/01/2016,37.09
28/01/2016,36.97
29/01/2016,36.94
01/02/2016,37.08
02/02/2016,37.09
04/02/2016,37.08
06/02/2016,37.08
08/02/2016,37.09
09/02/2016,37.08
11/02/2016,37.04
13/02/2016,37.02
15/02/2016,37.03
17/02/2016,37.14
18/02/2016,37.14
21/02/2016,37.26
22/02/2016,37.3
24/02/2016,37.45
26/02/2016,37.49
27/02/2016,37.58
01/03/2016,37.83
03/03/2016,37.92
04/03/2016,37.95
06/03/2016,37.97
08/03/2016,37.98
10/03/2016,37.97
11/03/2016,37.98
14/03/2016,37.96
15/03/2016,37.92
18/03/2016,37.85
19/03/2016,37.85
21/03/2016,37.84
22/03/2016,37.9
24/03/2016,37.92
27/03/2016,37.92
28/03/2016,37.9
30/03/2016,37.84
31/03/2016,37.79
03/04/2016,37.6
04/04/2016,37.53
06/04/2016,37.72
08/04/2016,37.77
10/04/2016,37.77
12/04/2016,37.82
14/04/2016,37.91
16/04/2016,37.92
17/04/2016,37.94
20/04/2016,38.05
21/04/2016,38.42
22/04/2016,38.67
25/04/2016,39.08
26/04/2016,39.15
28/04/2016,39.28
30/04/2016,39.41
02/05/2016,39.5
03/05/2016,39.54
06/05/2016,39.49
08/05/2016,40.75
09/05/2016,43.37
11/05/2016,46.66
13/05/2016,50.85
14/05/2016,52.37
16/05/2016,54.28
18/05/2016,55.45
20/05/2016,56.26
23/05/2016,57.04
24/05/2016,57.24
25/05/2016,57.4
27/05/2016,57.65
29/05/2016,57.87
31/05/2016,57.98
02/06/2016,57.98
04/06/2016,57.98
06/06/2016,58.0
07/06/2016,58.0
09/06/2016,57.81
11/06/2016,57.73
13/06/2016,57.65
15/06/2016,57.42
17/06/2016,57.24
18/06/2016,57.09
20/06/2016,56.93
22/06/2016,56.75
25/06/2016,56.38
26/06/2016,56.28
27/06/2016,56.2
30/06/2016,55.85
02/07/2016,55.55
04/07/2016,55.37
06/07/2016,55.07
07/07/2016,54.97
09/07/2016,54.66
10/07/2016,54.54
13/07/2016,54.11
14/07/2016,53.92
17/07/2016,53.46
18/07/2016,53.29
20/07/2016,52.96
22/07/2016,52.58
23/07/2016,52.43
26/07/2016,51.88
28/07/2016,51.43
29/07/2016,51.24
31/07/2016,50.84
02/08/2016,50.43
03/08/2016,50.27
06/08/2016,49.6
07/08/2016,49.39
09/08/2016,48.97
10/08/2016,48.7
13/08/2016,48.02
14/08/2016,47.85
16/08/2016,47.48
19/08/2016,46.79
20/08/2016,46.53
21/08/2016,46.31
23/08/2016,45.9
26/08/2016,45.23
27/08/2016,44.96
29/08/2016,44.59
31/08/2016,44.1
01/09/2016,43.83
04/09/2016,43.2
06/09/2016,42.76
07/09/2016,42.56
09/09/2016,42.14
11/09/2016,41.74
12/09/2016,41.6
15/09/2016,41.01
17/09/2016,40.6
18/09/2016,40.46
20/09/2016,40.11
22/09/2016,39.72
24/09/2016,39.35
26/09/2016,39.02
27/09/2016,38.87
29/09/2016,38.49
01/10/2016,38.16
03/10/2016,37.8
04/10/2016,37.65
06/10/2016,37.28
08/10/2016,36.95
10/10/2016,36.63
13/10/2016,36.63
14/10/2016,36.55
15/10/2016,36.41
17/10/2016,36.25
20/10/2016,35.88
22/10/2016,35.65
23/10/2016,35.57
25/10/2016,35.46
26/10/2016,35.37
29/10/2016,35.08
31/10/2016,34.84
02/11/2016,34.64
03/11/2016,34.52
05/11/2016,34.31
07/11/2016,34.18
08/11/2016,34.07
10/11/2016,33.93
13/11/2016,33.65
15/11/2016,33.52
16/11/2016,33.4
17/11/2016,33.29
20/11/2016,33.0
21/11/2016,32.98
24/11/2016,33.35
26/11/2016,34.4
27/11/2016,36.59
29/11/2016,39.53
01/12/2016,40.49
03/12/2016,41.99
05/12/2016,50.96
06/12/2016,52.58
08/12/2016,51.91
10/12/2016,52.74
11/12/2016,53.07
13/12/2016,53.69
16/12/2016,54.39
18/12/2016,52.47
19/12/2016,52.78
20/12/2016,53.07
22/12/2016,53.55
24/12/2016,53.87
27/12/2016,54.33
29/12/2016,54.56
30/12/2016,54.64
