Fecha,Reserva
01/01/2016,31.64
02/01/2016,31.65
04/01/2016,31.65
05/01/2016,31.68
08/01/2016,31.69
09/01/2016,31.64
12/01/2016,31.28
13/01/2016,31.28
15/01/2016,31.28
16/01/2016,31.28
18/01/2016,30.99
20/01/2016,31.03
23/01/2016,31.05
24/01/2016,31.0
25/01/2016,30.85
28/01/2016,30.89
30/01/2016,31.05
01/02/2016,30.95
03/02/2016,31.05
04/02/2016,31.08
06/02/2016,31.13
08/02/2016,31.03
10/02/2016,31.05
12/02/2016,31.13
14/02/2016,31.09
15/02/2016,31.12
16/02/2016,31.4
19/02/2016,31.85
20/02/2016,31.93
22/02/2016,31.92
24/02/2016,32.1
26/02/2016,32.24
28/02/2016,32.44
01/03/2016,32.75
03/03/2016,32.99
04/03/2016,33.09
07/03/2016,33.06
08/03/2016,33.11
09/03/2016,33.15
12/03/2016,33.01
14/03/2016,32.85
15/03/2016,32.8
17/03/2016,32.83
19/03/2016,32.9
21/03/2016,32.65
23/03/2016,32.73
25/03/2016,32.75
26/03/2016,32.75
28/03/2016,32.63
30/03/2016,32.66
01/04/2016,32.65
02/04/2016,32.69
04/04/2016,32.71
06/04/2016,32.8
09/04/2016,32.85
10/04/2016,32.9
12/04/2016,32.99
13/04/2016,33.01
16/04/2016,33.11
18/04/2016,32.85
20/04/2016,32.91
21/04/2016,32.99
23/04/2016,33.05
25/04/2016,33.05
26/04/2016,33.09
29/04/2016,33.15
01/05/2016,33.09
02/05/2016,32.92
03/05/2016,32.83
05/05/2016,32.81
08/05/2016,32.85
10/05/2016,33.01
12/05/2016,33.31
13/05/2016,33.72
14/05/2016,34.2
16/05/2016,34.67
18/05/2016,34.88
20/05/2016,35.07
23/05/2016,35.18
24/05/2016,35.21
26/05/2016,35.24
28/05/2016,35.29
30/05/2016,35.04
01/06/2016,35.1
02/06/2016,35.07
04/06/2016,35.07
06/06/2016,34.71
08/06/2016,34.71
10/06/2016,34.67
12/06/2016,34.35
13/06/2016,34.24
15/06/2016,34.2
17/06/2016,34.1
18/06/2016,33.81
20/06/2016,33.55
23/06/2016,33.41
24/06/2016,33.18
26/06/2016,32.95
27/06/2016,32.7
29/06/2016,32.69
01/07/2016,32.65
04/07/2016,32.18
06/07/2016,32.1
07/07/2016,32.08
09/07/2016,31.94
11/07/2016,31.54
13/07/2016,31.5
14/07/2016,31.34
16/07/2016,31.24
18/07/2016,30.68
20/07/2016,30.61
22/07/2016,30.56
23/07/2016,30.55
25/07/2016,30.08
27/07/2016,30.01
29/07/2016,30.0
30/07/2016,29.93
01/08/2016,29.53
04/08/2016,29.43
06/08/2016,29.39
08/08/2016,28.73
09/08/2016,28.71
11/08/2016,28.64
13/08/2016,28.58
15/08/2016,28.05
17/08/2016,27.83
18/08/2016,27.83
20/08/2016,27.78
22/08/2016,27.25
24/08/2016,27.17
26/08/2016,27.08
27/08/2016,27.06
29/08/2016,26.58
31/08/2016,26.55
02/09/2016,26.5
03/09/2016,26.47
05/09/2016,25.95
08/09/2016,25.88
10/09/2016,25.63
11/09/2016,25.38
12/09/2016,25.16
14/09/2016,25.09
17/09/2016,25.01
19/09/2016,24.52
20/09/2016,24.52
22/09/2016,24.48
24/09/2016,24.44
26/09/2016,24.11
28/09/2016,24.09
30/09/2016,24.02
01/10/2016,24.0
03/10/2016,23.79
05/10/2016,23.73
07/10/2016,23.71
08/10/2016,23.7
10/10/2016,23.5
12/10/2016,23.46
14/10/2016,23.27
15/10/2016,23.25
17/10/2016,23.04
20/10/2016,23.0
22/10/2016,22.96
24/10/2016,22.55
25/10/2016,22.55
27/10/2016,22.55
29/10/2016,22.5
31/10/2016,22.28
02/11/2016,22.17
03/11/2016,22.15
05/11/2016,22.14
07/11/2016,22.02
09/11/2016,21.99
10/11/2016,22.01
12/11/2016,21.99
14/11/2016,21.84
16/11/2016,21.82
17/11/2016,21.82
19/11/2016,21.82
21/11/2016,21.55
24/11/2016,21.73
26/11/2016,21.98
27/11/2016,22.6
29/11/2016,24.05
01/12/2016,24.45
03/12/2016,24.63
04/12/2016,25.22
06/12/2016,29.23
08/12/2016,30.3
09/12/2016,30.5
12/12/2016,30.92
13/12/2016,30.97
16/12/2016,31.22
17/12/2016,31.21
19/12/2016,31.65
20/12/2016,31.93
23/12/2016,32.3
24/12/2016,32.28
26/12/2016,32.44
29/12/2016,32.56
30/12/2016,32.55
