Fecha,Reserva
01/01/2016,11.86
02/01/2016,11.86
03/01/2016,11.85
05/01/2016,11.85
08/01/2016,11.85
09/01/2016,11.86
12/01/2016,11.94
13/01/2016,11.94
14/01/2016,11.79
16/01/2016,11.94
18/01/2016,11.92
21/01/2016,11.91
22/01/2016,11.89
24/01/2016,11.89
25/01/2016,11.86
27/01/2016,11.84
29/01/2016,11.83
31/01/2016,11.79
02/02/2016,11.75
04/02/2016,11.71
05/02/2016,11.71
08/02/2016,11.6
10/02/2016,11.56
12/02/2016,11.56
13/02/2016,11.55
15/02/2016,11.51
17/02/2016,11.47
19/02/2016,11.43
20/02/2016,11.42
23/02/2016,11.36
24/02/2016,11.36
26/02/2016,11.3
27/02/2016,11.29
29/02/2016,11.27
02/03/2016,11.21
04/03/2016,11.17
06/03/2016,11.14
08/03/2016,11.1
09/03/2016,11.08
11/03/2016,11.01
14/03/2016,10.94
15/03/2016,10.9
18/03/2016,10.88
19/03/2016,10.84
21/03/2016,10.8
22/03/2016,10.75
24/03/2016,10.67
27/03/2016,10.62
29/03/2016,10.54
30/03/2016,10.52
01/04/2016,10.45
03/04/2016,10.41
04/04/2016,10.39
06/04/2016,10.39
08/04/2016,10.36
10/04/2016,10.31
11/04/2016,10.29
13/04/2016,10.3
16/04/2016,10.25
18/04/2016,10.2
20/04/2016,10.21
21/04/2016,10.41
22/04/2016,10.51
25/04/2016,10.56
27/04/2016,10.34
29/04/2016,10.32
30/04/2016,10.28
02/05/2016,10.23
04/05/2016,10.17
06/05/2016,10.15
08/05/2016,10.28
10/05/2016,10.49
12/05/2016,13.35
13/05/2016,13.85
15/05/2016,14.13
16/05/2016,14.26
18/05/2016,14.37
20/05/2016,14.4
23/05/2016,14.4
24/05/2016,14.39
26/05/2016,14.39
27/05/2016,14.39
29/05/2016,14.35
01/06/2016,14.33
02/06/2016,14.32
04/06/2016,14.26
06/06/2016,14.23
07/06/2016,14.2
09/06/2016,14.16
11/06/2016,14.1
14/06/2016,13.99
15/06/2016,13.96
16/06/2016,13.94
18/06/2016,13.84
20/06/2016,13.8
23/06/2016,13.69
24/06/2016,13.66
26/06/2016,13.59
27/06/2016,13.55
29/06/2016,13.49
02/07/2016,13.38
04/07/2016,13.31
05/07/2016,13.28
07/07/2016,13.24
08/07/2016,13.17
11/07/2016,13.05
12/07/2016,13.05
14/07/2016,12.95
16/07/2016,12.89
18/07/2016,12.89
20/07/2016,12.89
21/07/2016,12.72
24/07/2016,12.59
26/07/2016,12.89
28/07/2016,12.89
29/07/2016,12.41
30/07/2016,12.89
02/08/2016,12.89
04/08/2016,12.2
05/08/2016,12.17
07/08/2016,12.09
09/08/2016,12.02
10/08/2016,11.99
12/08/2016,11.9
15/08/2016,11.79
16/08/2016,11.74
19/08/2016,11.65
20/08/2016,11.61
22/08/2016,11.55
24/08/2016,11.47
26/08/2016,11.38
27/08/2016,11.38
30/08/2016,11.24
31/08/2016,11.21
02/09/2016,11.15
03/09/2016,11.1
05/09/2016,11.04
08/09/2016,10.93
09/09/2016,10.9
11/09/2016,10.83
13/09/2016,10.75
14/09/2016,10.72
17/09/2016,10.63
18/09/2016,10.6
21/09/2016,10.48
22/09/2016,10.45
23/09/2016,10.41
25/09/2016,10.35
27/09/2016,10.28
29/09/2016,10.22
02/10/2016,10.12
03/10/2016,10.08
05/10/2016,10.02
06/10/2016,9.97
09/10/2016,9.87
10/10/2016,9.83
12/10/2016,9.77
14/10/2016,9.71
16/10/2016,9.65
18/10/2016,9.58
20/10/2016,9.52
21/10/2016,9.49
24/10/2016,9.54
25/10/2016,9.52
26/10/2016,9.51
28/10/2016,9.45
30/10/2016,9.38
01/11/2016,9.32
04/11/2016,9.23
05/11/2016,9.21
06/11/2016,9.2
08/11/2016,9.14
10/11/2016,9.07
12/11/2016,9.01
14/11/2016,8.95
16/11/2016,8.89
18/11/2016,8.83
20/11/2016,8.81
22/11/2016,8.81
24/11/2016,8.75
25/11/2016,8.72
27/11/2016,8.69
28/11/2016,8.67
01/12/2016,8.67
03/12/2016,8.89
05/12/2016,15.65
07/12/2016,16.85
08/12/2016,16.89
09/12/2016,16.93
11/12/2016,16.94
14/12/2016,17.0
16/12/2016,17.22
18/12/2016,17.22
19/12/2016,17.72
20/12/2016,17.76
22/12/2016,17.78
24/12/2016,17.78
26/12/2016,17.78
28/12/2016,17.78
30/12/2016,17.78
