Fecha,Reserva
01/01/2014,16.99
02/01/2014,16.86
03/01/2014,16.72
05/01/2014,16.61
08/01/2014,16.57
10/01/2014,16.61
11/01/2014,16.57
13/01/2014,16.53
14/01/2014,16.61
17/01/2014,16.65
19/01/2014,17.03
20/01/2014,17.42
22/01/2014,17.5
23/01/2014,17.46
25/01/2014,17.29
28/01/2014,16.86
29/01/2014,16.74
31/01/2014,16.65
02/02/2014,16.65
03/02/2014,16.65
06/02/2014,16.57
07/02/2014,16.53
09/02/2014,15.45
11/02/2014,16.03
13/02/2014,16.36
14/02/2014,16.69
16/02/2014,16.74
19/02/2014,16.72
20/02/2014,16.61
23/02/2014,16.48
24/02/2014,16.48
25/02/2014,16.53
28/02/2014,16.32
01/03/2014,16.28
03/03/2014,17.07
05/03/2014,17.2
07/03/2014,17.12
08/03/2014,17.16
10/03/2014,17.16
12/03/2014,17.2
15/03/2014,17.42
16/03/2014,17.37
17/03/2014,17.42
19/03/2014,17.76
21/03/2014,18.29
24/03/2014,18.64
26/03/2014,18.42
27/03/2014,18.2
29/03/2014,18.02
31/03/2014,17.8
02/04/2014,17.94
04/04/2014,18.29
06/04/2014,18.37
07/04/2014,18.46
09/04/2014,18.55
11/04/2014,18.73
13/04/2014,18.68
14/04/2014,18.73
17/04/2014,18.68
18/04/2014,18.64
20/04/2014,18.55
22/04/2014,18.73
24/04/2014,18.64
26/04/2014,18.64
28/04/2014,18.55
29/04/2014,18.64
01/05/2014,18.68
02/05/2014,18.6
05/05/2014,18.51
07/05/2014,18.6
08/05/2014,18.6
09/05/2014,18.64
12/05/2014,18.64
14/05/2014,18.6
15/05/2014,18.64
17/05/2014,18.64
19/05/2014,18.68
20/05/2014,18.68
22/05/2014,18.76
24/05/2014,18.68
26/05/2014,18.68
28/05/2014,18.77
30/05/2014,18.68
01/06/2014,18.68
03/06/2014,18.77
05/06/2014,18.77
06/06/2014,18.74
09/06/2014,18.68
10/06/2014,18.72
12/06/2014,18.68
13/06/2014,18.55
15/06/2014,18.42
18/06/2014,18.15
20/06/2014,18.07
21/06/2014,17.94
22/06/2014,17.8
24/06/2014,17.67
27/06/2014,17.59
28/06/2014,17.46
30/06/2014,17.37
02/07/2014,17.24
03/07/2014,17.12
05/07/2014,16.99
08/07/2014,16.69
09/07/2014,16.61
11/07/2014,16.53
13/07/2014,16.36
15/07/2014,16.32
16/07/2014,16.28
18/07/2014,16.12
21/07/2014,15.86
22/07/2014,15.82
23/07/2014,15.77
26/07/2014,15.45
28/07/2014,15.37
29/07/2014,15.25
31/07/2014,15.22
02/08/2014,15.13
04/08/2014,15.05
05/08/2014,14.97
07/08/2014,14.94
10/08/2014,14.69
11/08/2014,14.61
13/08/2014,14.57
15/08/2014,14.45
16/08/2014,14.49
18/08/2014,14.49
21/08/2014,14.34
22/08/2014,14.34
24/08/2014,14.26
26/08/2014,14.18
28/08/2014,14.14
29/08/2014,14.22
31/08/2014,14.3
02/09/2014,14.34
04/09/2014,14.45
05/09/2014,14.41
08/09/2014,14.53
09/09/2014,14.69
11/09/2014,14.61
13/09/2014,14.73
15/09/2014,14.81
17/09/2014,15.01
18/09/2014,15.14
20/09/2014,15.17
23/09/2014,15.47
24/09/2014,15.49
25/09/2014,15.59
28/09/2014,15.58
30/09/2014,15.53
01/10/2014,15.58
03/10/2014,15.75
05/10/2014,15.86
07/10/2014,16.04
09/10/2014,16.17
11/10/2014,16.23
12/10/2014,16.32
15/10/2014,16.84
16/10/2014,16.93
18/10/2014,17.12
19/10/2014,17.16
21/10/2014,17.37
24/10/2014,17.38
26/10/2014,17.33
27/10/2014,17.37
29/10/2014,17.42
30/10/2014,17.37
02/11/2014,17.37
04/11/2014,17.37
05/11/2014,17.5
06/11/2014,17.5
08/11/2014,17.29
11/11/2014,17.11
12/11/2014,17.26
14/11/2014,17.17
16/11/2014,17.2
17/11/2014,17.15
19/11/2014,17.17
22/11/2014,16.99
24/11/2014,17.12
26/11/2014,17.15
27/11/2014,17.12
28/11/2014,17.23
01/12/2014,17.3
02/12/2014,17.3
05/12/2014,17.24
06/12/2014,17.16
08/12/2014,17.16
09/12/2014,17.24
11/12/2014,16.95
13/12/2014,16.86
16/12/2014,16.75
18/12/2014,16.84
19/12/2014,16.81
20/12/2014,16.79
22/12/2014,16.84
24/12/2014,16.83
26/12/2014,16.88
28/12/2014,16.81
30/12/2014,16.86
