Fecha,Reserva
01/01/2022,12.15
02/01/2022,12.12
03/01/2022,12.1
05/01/2022,11.98
08/01/2022,11.91
10/01/2022,11.89
11/01/2022,11.87
13/01/2022,11.78
16/01/2022,11.71
17/01/2022,11.71
19/01/2022,11.64
21/01/2022,11.62
23/01/2022,11.55
25/01/2022,11.49
27/01/2022,11.47
29/01/2022,11.42
31/01/2022,11.4
02/02/2022,11.36
04/02/2022,11.27
06/02/2022,11.2
08/02/2022,11.16
09/02/2022,11.15
10/02/2022,11.12
11/02/2022,11.11
12/02/2022,11.09
13/02/2022,11.06
14/02/2022,11.06
14/02/2022,11.06
15/02/2022,11.03
16/02/2022,11.0
17/02/2022,10.98
18/02/2022,10.94
19/02/2022,10.91
20/02/2022,10.89
21/02/2022,10.87
22/02/2022,10.84
24/02/2022,10.78
26/02/2022,10.73
28/02/2022,10.71
02/03/2022,10.68
04/03/2022,10.68
05/03/2022,10.68
07/03/2022,10.7
09/03/2022,10.71
10/03/2022,10.72
12/03/2022,10.69
14/03/2022,10.66
16/03/2022,10.68
18/03/2022,10.79
21/03/2022,10.89
23/03/2022,11.28
25/03/2022,13.89
27/03/2022,22.2
28/03/2022,23.78
30/03/2022,25.13
01/04/2022,25.89
04/04/2022,26.57
05/04/2022,26.9
06/04/2022,28.55
08/04/2022,30.32
11/04/2022,32.51
13/04/2022,33.82
14/04/2022,34.42
15/04/2022,34.9
16/04/2022,35.32
17/04/2022,35.69
18/04/2022,36.02
19/04/2022,36.32
21/04/2022,36.91
24/04/2022,37.67
25/04/2022,37.88
27/04/2022,38.29
29/04/2022,39.07
30/04/2022,39.33
03/05/2022,39.98
05/05/2022,40.69
06/05/2022,40.96
08/05/2022,41.02
10/05/2022,41.47
13/05/2022,41.99
15/05/2022,42.3
16/05/2022,42.46
19/05/2022,42.72
20/05/2022,42.77
23/05/2022,42.83
24/05/2022,42.81
26/05/2022,42.74
27/05/2022,42.74
30/05/2022,42.63
31/05/2022,42.57
02/06/2022,42.52
05/06/2022,42.37
07/06/2022,42.37
08/06/2022,42.12
10/06/2022,41.95
13/06/2022,41.57
15/06/2022,41.36
17/06/2022,41.1
19/06/2022,40.83
20/06/2022,40.71
22/06/2022,40.52
24/06/2022,40.3
26/06/2022,40.04
28/06/2022,39.78
30/06/2022,39.56
02/07/2022,39.33
04/07/2022,39.07
05/07/2022,38.95
08/07/2022,38.64
09/07/2022,54.26
11/07/2022,38.28
14/07/2022,37.95
15/07/2022,37.85
18/07/2022,37.59
19/07/2022,37.47
21/07/2022,37.24
22/07/2022,37.16
24/07/2022,36.97
26/07/2022,36.8
28/07/2022,36.57
31/07/2022,36.29
01/08/2022,36.19
03/08/2022,36.03
05/08/2022,35.94
07/08/2022,35.82
10/08/2022,35.64
11/08/2022,35.56
14/08/2022,35.36
15/08/2022,35.28
16/08/2022,35.22
19/08/2022,35.01
21/08/2022,34.95
23/08/2022,34.87
25/08/2022,34.82
27/08/2022,34.74
29/08/2022,34.56
31/08/2022,34.39
01/09/2022,34.29
03/09/2022,34.13
05/09/2022,33.95
08/09/2022,33.72
09/09/2022,33.62
11/09/2022,33.47
13/09/2022,33.34
15/09/2022,33.17
16/09/2022,33.12
18/09/2022,32.93
21/09/2022,32.68
22/09/2022,32.65
24/09/2022,32.46
27/09/2022,32.24
29/09/2022,32.05
30/09/2022,31.94
03/10/2022,31.65
05/10/2022,31.44
06/10/2022,31.39
08/10/2022,31.29
10/10/2022,31.19
11/10/2022,31.17
14/10/2022,31.05
15/10/2022,30.99
18/10/2022,30.65
20/10/2022,30.58
22/10/2022,2.12
24/10/2022,2.11
25/10/2022,30.3
27/10/2022,2.1
29/10/2022,30.09
30/10/2022,30.05
01/11/2022,29.96
02/11/2022,29.89
04/11/2022,29.76
06/11/2022,29.52
07/11/2022,29.4
09/11/2022,29.31
12/11/2022,29.17
14/11/2022,29.0
16/11/2022,28.93
18/11/2022,28.79
21/11/2022,28.5
23/11/2022,28.4
25/11/2022,28.28
27/11/2022,28.04
28/11/2022,27.92
30/11/2022,27.92
02/12/2022,27.77
03/12/2022,27.69
05/12/2022,27.45
07/12/2022,27.25
10/12/2022,27.1
12/12/2022,26.95
13/12/2022,26.93
15/12/2022,26.92
17/12/2022,26.89
19/12/2022,26.83
21/12/2022,26.82
24/12/2022,26.72
25/12/2022,26.67
27/12/2022,26.6
30/12/2022,26.54
