Fecha,Reserva
01/01/2019,3.75
02/01/2019,3.75
04/01/2019,3.75
06/01/2019,3.76
07/01/2019,3.76
09/01/2019,3.76
11/01/2019,3.76
12/01/2019,3.76
14/01/2019,3.76
17/01/2019,3.76
19/01/2019,3.75
21/01/2019,3.75
22/01/2019,3.74
23/01/2019,3.74
25/01/2019,3.72
28/01/2019,3.71
29/01/2019,3.7
31/01/2019,3.69
02/02/2019,3.79
04/02/2019,3.82
06/02/2019,3.82
07/02/2019,3.81
10/02/2019,3.81
11/02/2019,3.8
13/02/2019,3.8
14/02/2019,3.79
16/02/2019,3.78
18/02/2019,3.78
21/02/2019,3.76
22/02/2019,3.76
24/02/2019,3.75
25/02/2019,3.75
27/02/2019,3.73
02/03/2019,3.71
03/03/2019,3.7
05/03/2019,3.7
07/03/2019,3.69
09/03/2019,3.69
10/03/2019,3.68
12/03/2019,3.68
14/03/2019,3.67
16/03/2019,3.65
18/03/2019,3.65
19/03/2019,3.64
22/03/2019,3.63
24/03/2019,3.61
26/03/2019,3.61
27/03/2019,3.6
28/03/2019,3.6
31/03/2019,3.57
01/04/2019,3.58
03/04/2019,3.57
06/04/2019,3.57
07/04/2019,3.56
08/04/2019,3.56
11/04/2019,3.56
13/04/2019,3.55
15/04/2019,3.55
16/04/2019,3.54
18/04/2019,3.54
20/04/2019,3.61
21/04/2019,3.73
24/04/2019,3.83
25/04/2019,3.87
27/04/2019,4.16
29/04/2019,4.15
01/05/2019,4.14
03/05/2019,4.14
05/05/2019,4.13
06/05/2019,4.14
08/05/2019,4.12
10/05/2019,4.12
12/05/2019,4.1
14/05/2019,4.1
16/05/2019,4.09
18/05/2019,4.07
19/05/2019,4.07
21/05/2019,4.04
22/05/2019,4.05
24/05/2019,4.03
26/05/2019,4.02
29/05/2019,3.99
30/05/2019,3.99
01/06/2019,3.97
03/06/2019,3.96
05/06/2019,3.94
07/06/2019,3.93
08/06/2019,3.91
10/06/2019,3.9
12/06/2019,3.88
13/06/2019,3.88
15/06/2019,3.85
17/06/2019,3.85
19/06/2019,3.82
21/06/2019,3.81
22/06/2019,3.79
25/06/2019,3.76
27/06/2019,3.75
29/06/2019,3.73
30/06/2019,3.71
02/07/2019,3.7
04/07/2019,3.68
05/07/2019,3.68
07/07/2019,3.65
09/07/2019,3.64
11/07/2019,3.62
12/07/2019,3.62
14/07/2019,3.59
16/07/2019,3.57
18/07/2019,3.55
20/07/2019,3.53
22/07/2019,3.51
24/07/2019,3.5
26/07/2019,3.48
28/07/2019,3.46
30/07/2019,3.45
31/07/2019,3.43
02/08/2019,3.41
04/08/2019,3.39
05/08/2019,3.39
08/08/2019,3.36
10/08/2019,3.33
11/08/2019,3.32
13/08/2019,3.32
14/08/2019,3.3
16/08/2019,3.28
18/08/2019,3.26
21/08/2019,3.23
22/08/2019,3.23
24/08/2019,3.21
26/08/2019,3.19
27/08/2019,3.21
29/08/2019,3.19
01/09/2019,3.17
02/09/2019,3.17
04/09/2019,3.15
05/09/2019,3.15
07/09/2019,3.13
10/09/2019,3.12
11/09/2019,3.11
13/09/2019,3.1
15/09/2019,3.13
16/09/2019,3.12
19/09/2019,3.11
21/09/2019,3.09
23/09/2019,3.09
24/09/2019,3.08
25/09/2019,3.08
28/09/2019,3.06
29/09/2019,3.06
01/10/2019,3.04
04/10/2019,3.03
05/10/2019,3.02
06/10/2019,3.01
09/10/2019,3.0
11/10/2019,2.98
12/10/2019,2.98
15/10/2019,2.96
16/10/2019,2.96
18/10/2019,2.95
20/10/2019,2.93
21/10/2019,2.94
24/10/2019,2.93
26/10/2019,2.91
27/10/2019,2.91
28/10/2019,2.91
30/10/2019,2.89
02/11/2019,2.87
03/11/2019,2.87
05/11/2019,2.87
07/11/2019,2.87
08/11/2019,2.86
10/11/2019,2.85
12/11/2019,2.85
15/11/2019,2.83
16/11/2019,2.83
18/11/2019,2.84
19/11/2019,2.83
22/11/2019,2.82
24/11/2019,3.1
25/11/2019,3.12
27/11/2019,3.15
28/11/2019,3.17
30/11/2019,3.19
02/12/2019,3.2
04/12/2019,3.22
06/12/2019,3.22
08/12/2019,3.24
09/12/2019,3.24
12/12/2019,3.24
13/12/2019,3.23
15/12/2019,3.24
18/12/2019,3.24
19/12/2019,3.23
21/12/2019,4.6
22/12/2019,4.33
24/12/2019,4.2
26/12/2019,4.18
28/12/2019,4.18
30/12/2019,4.18
