Fecha,Reserva
01/01/2015,15.76
02/01/2015,15.76
04/01/2015,15.76
05/01/2015,15.74
07/01/2015,15.72
10/01/2015,15.67
11/01/2015,15.66
12/01/2015,15.66
14/01/2015,15.6
17/01/2015,15.62
19/01/2015,16.69
20/01/2015,16.56
22/01/2015,16.01
23/01/2015,15.66
25/01/2015,15.65
28/01/2015,15.72
30/01/2015,15.73
31/01/2015,15.76
02/02/2015,15.79
04/02/2015,15.84
06/02/2015,15.84
07/02/2015,15.81
10/02/2015,15.77
11/02/2015,15.77
13/02/2015,15.76
15/02/2015,15.76
17/02/2015,15.77
19/02/2015,15.74
21/02/2015,15.77
23/02/2015,15.83
24/02/2015,15.84
25/02/2015,15.86
28/02/2015,15.88
01/03/2015,15.91
04/03/2015,15.96
05/03/2015,15.96
07/03/2015,15.96
09/03/2015,16.0
10/03/2015,16.0
12/03/2015,16.03
14/03/2015,16.03
16/03/2015,16.06
17/03/2015,16.06
19/03/2015,16.2
21/03/2015,16.25
23/03/2015,16.35
25/03/2015,16.4
27/03/2015,16.41
28/03/2015,16.41
31/03/2015,16.47
02/04/2015,16.41
03/04/2015,16.43
06/04/2015,16.44
07/04/2015,16.45
09/04/2015,16.48
10/04/2015,16.04
12/04/2015,16.53
14/04/2015,16.56
17/04/2015,16.58
18/04/2015,16.57
19/04/2015,16.58
22/04/2015,16.58
24/04/2015,16.57
25/04/2015,16.54
27/04/2015,16.54
29/04/2015,16.54
01/05/2015,16.51
02/05/2015,16.51
05/05/2015,16.51
07/05/2015,16.5
08/05/2015,16.47
10/05/2015,15.9
11/05/2015,15.67
14/05/2015,15.63
16/05/2015,15.56
18/05/2015,15.55
19/05/2015,15.56
21/05/2015,15.52
23/05/2015,15.46
25/05/2015,15.45
26/05/2015,15.47
29/05/2015,15.41
30/05/2015,15.38
01/06/2015,15.38
02/06/2015,15.37
05/06/2015,15.29
06/06/2015,15.23
09/06/2015,15.21
10/06/2015,15.18
12/06/2015,15.13
14/06/2015,15.06
15/06/2015,15.06
17/06/2015,14.31
20/06/2015,13.5
21/06/2015,13.25
22/06/2015,13.0
25/06/2015,12.95
27/06/2015,12.84
29/06/2015,12.86
30/06/2015,12.82
02/07/2015,12.81
03/07/2015,12.8
06/07/2015,12.79
08/07/2015,12.78
09/07/2015,12.76
11/07/2015,11.79
12/07/2015,11.48
15/07/2015,10.64
17/07/2015,10.62
18/07/2015,10.6
20/07/2015,10.6
22/07/2015,10.59
24/07/2015,10.57
26/07/2015,10.55
28/07/2015,10.54
30/07/2015,10.52
01/08/2015,10.5
02/08/2015,10.5
03/08/2015,10.48
05/08/2015,10.48
08/08/2015,10.45
10/08/2015,10.45
11/08/2015,10.01
13/08/2015,9.41
14/08/2015,9.35
16/08/2015,9.32
18/08/2015,9.32
20/08/2015,9.25
22/08/2015,9.19
24/08/2015,9.17
25/08/2015,9.14
27/08/2015,9.1
29/08/2015,9.04
31/08/2015,9.03
02/09/2015,8.97
04/09/2015,8.93
05/09/2015,8.89
08/09/2015,8.87
10/09/2015,8.87
11/09/2015,8.86
13/09/2015,8.85
15/09/2015,8.84
17/09/2015,8.84
18/09/2015,8.83
21/09/2015,8.83
22/09/2015,8.82
24/09/2015,8.81
25/09/2015,8.8
28/09/2015,8.79
29/09/2015,8.78
02/10/2015,8.78
03/10/2015,8.77
05/10/2015,8.77
06/10/2015,8.77
09/10/2015,8.77
10/10/2015,8.76
12/10/2015,8.76
14/10/2015,8.77
16/10/2015,8.77
18/10/2015,8.83
19/10/2015,8.88
21/10/2015,9.32
23/10/2015,9.38
26/10/2015,9.41
27/10/2015,9.51
29/10/2015,9.63
31/10/2015,9.65
02/11/2015,10.08
03/11/2015,12.11
05/11/2015,13.25
06/11/2015,13.39
08/11/2015,13.5
10/11/2015,13.57
12/11/2015,13.62
14/11/2015,13.64
16/11/2015,13.67
18/11/2015,13.69
19/11/2015,13.69
21/11/2015,13.72
24/11/2015,13.75
25/11/2015,13.75
27/11/2015,13.75
28/11/2015,13.76
30/11/2015,13.77
02/12/2015,13.78
05/12/2015,13.75
06/12/2015,13.76
08/12/2015,13.73
09/12/2015,13.75
12/12/2015,13.71
14/12/2015,13.75
15/12/2015,13.72
17/12/2015,13.75
19/12/2015,13.76
21/12/2015,13.78
22/12/2015,13.8
25/12/2015,13.81
27/12/2015,13.84
28/12/2015,13.84
30/12/2015,13.88
