Fecha,Reserva
01/01/2018,93.9
02/01/2018,93.89
04/01/2018,93.9
05/01/2018,93.89
07/01/2018,94.09
09/01/2018,94.18
11/01/2018,94.35
13/01/2018,94.41
15/01/2018,94.51
17/01/2018,94.57
18/01/2018,94.56
20/01/2018,94.59
22/01/2018,94.61
23/01/2018,94.56
25/01/2018,93.77
27/01/2018,92.55
30/01/2018,91.1
01/02/2018,89.91
02/02/2018,89.53
03/02/2018,88.95
06/02/2018,87.67
07/02/2018,87.33
09/02/2018,86.45
11/02/2018,86.02
13/02/2018,85.44
14/02/2018,85.25
16/02/2018,85.02
19/02/2018,85.03
21/02/2018,84.99
23/02/2018,84.94
24/02/2018,84.94
26/02/2018,84.93
28/02/2018,85.04
02/03/2018,100.04
04/03/2018,106.69
05/03/2018,111.63
06/03/2018,114.06
09/03/2018,118.72
11/03/2018,141.25
12/03/2018,146.2
14/03/2018,150.14
16/03/2018,162.86
17/03/2018,165.4
19/03/2018,173.43
21/03/2018,176.8
23/03/2018,178.4
26/03/2018,180.66
27/03/2018,181.22
29/03/2018,182.03
31/03/2018,182.62
01/04/2018,182.88
03/04/2018,183.35
06/04/2018,183.84
07/04/2018,184.05
09/04/2018,184.51
10/04/2018,184.66
12/04/2018,185.48
15/04/2018,187.93
16/04/2018,190.41
18/04/2018,189.29
19/04/2018,189.59
22/04/2018,190.29
24/04/2018,191.64
26/04/2018,192.43
27/04/2018,192.7
29/04/2018,193.08
30/04/2018,193.23
02/05/2018,193.59
04/05/2018,193.86
06/05/2018,194.07
08/05/2018,194.42
09/05/2018,197.73
11/05/2018,199.09
13/05/2018,199.54
15/05/2018,199.83
18/05/2018,200.13
19/05/2018,200.46
21/05/2018,201.53
22/05/2018,201.96
24/05/2018,202.46
27/05/2018,203.0
28/05/2018,203.37
30/05/2018,203.55
31/05/2018,203.64
03/06/2018,203.81
04/06/2018,203.85
06/06/2018,203.88
08/06/2018,203.93
10/06/2018,204.05
11/06/2018,204.08
14/06/2018,204.14
16/06/2018,204.14
17/06/2018,204.12
20/06/2018,204.11
21/06/2018,204.03
23/06/2018,203.92
24/06/2018,203.89
27/06/2018,203.75
29/06/2018,203.62
30/06/2018,203.23
02/07/2018,203.1
03/07/2018,202.89
06/07/2018,201.97
07/07/2018,201.68
09/07/2018,201.19
11/07/2018,200.54
13/07/2018,200.02
15/07/2018,199.33
17/07/2018,198.81
19/07/2018,197.6
20/07/2018,197.46
22/07/2018,196.81
24/07/2018,196.09
25/07/2018,195.5
27/07/2018,194.91
29/07/2018,194.46
31/07/2018,194.05
02/08/2018,193.45
03/08/2018,193.23
05/08/2018,192.74
08/08/2018,191.91
10/08/2018,191.47
11/08/2018,191.21
13/08/2018,190.54
14/08/2018,190.24
16/08/2018,189.6
18/08/2018,189.0
21/08/2018,188.05
23/08/2018,187.61
24/08/2018,187.35
26/08/2018,186.84
27/08/2018,186.41
29/08/2018,185.9
01/09/2018,185.08
02/09/2018,184.74
04/09/2018,184.0
05/09/2018,183.69
07/09/2018,183.22
10/09/2018,182.42
11/09/2018,182.16
13/09/2018,181.52
14/09/2018,181.3
16/09/2018,181.13
18/09/2018,180.86
20/09/2018,180.36
23/09/2018,179.48
24/09/2018,179.26
25/09/2018,179.03
27/09/2018,178.62
29/09/2018,178.12
01/10/2018,177.73
04/10/2018,176.72
05/10/2018,176.51
06/10/2018,176.24
09/10/2018,175.51
11/10/2018,174.97
12/10/2018,174.89
15/10/2018,174.42
16/10/2018,174.32
18/10/2018,173.92
19/10/2018,174.02
22/10/2018,173.6
23/10/2018,173.43
25/10/2018,172.95
27/10/2018,172.36
29/10/2018,171.9
30/10/2018,171.8
02/11/2018,171.0
04/11/2018,170.63
05/11/2018,170.54
06/11/2018,170.35
09/11/2018,169.9
11/11/2018,170.0
13/11/2018,170.72
15/11/2018,171.17
16/11/2018,171.42
18/11/2018,171.74
19/11/2018,172.94
21/11/2018,173.9
23/11/2018,174.52
26/11/2018,175.15
27/11/2018,175.42
29/11/2018,175.76
30/11/2018,175.9
02/12/2018,176.06
05/12/2018,176.34
07/12/2018,176.41
08/12/2018,176.41
10/12/2018,176.41
11/12/2018,176.41
13/12/2018,176.47
15/12/2018,176.5
18/12/2018,176.48
19/12/2018,176.54
20/12/2018,176.55
22/12/2018,176.55
24/12/2018,176.54
27/12/2018,176.51
28/12/2018,176.51
30/12/2018,176.49
