Fecha,Reserva
01/01/2020,30.16
02/01/2020,29.82
03/01/2020,29.65
05/01/2020,29.33
08/01/2020,28.94
10/01/2020,28.55
11/01/2020,28.34
13/01/2020,27.89
14/01/2020,27.68
17/01/2020,26.97
18/01/2020,26.71
20/01/2020,26.24
22/01/2020,25.75
24/01/2020,25.24
26/01/2020,24.76
28/01/2020,24.32
29/01/2020,24.11
01/02/2020,24.63
03/02/2020,24.96
04/02/2020,25.08
06/02/2020,25.33
07/02/2020,25.42
09/02/2020,25.63
11/02/2020,25.78
13/02/2020,25.95
15/02/2020,26.08
17/02/2020,26.21
19/02/2020,26.31
20/02/2020,26.39
22/02/2020,26.49
24/02/2020,26.57
26/02/2020,26.67
28/02/2020,26.76
29/02/2020,26.78
03/03/2020,26.93
04/03/2020,26.96
06/03/2020,27.07
08/03/2020,27.16
09/03/2020,27.18
12/03/2020,27.31
13/03/2020,27.31
16/03/2020,27.43
18/03/2020,27.5
19/03/2020,27.51
20/03/2020,27.52
23/03/2020,27.65
24/03/2020,27.74
27/03/2020,28.06
29/03/2020,28.33
30/03/2020,28.52
31/03/2020,28.68
02/04/2020,29.17
05/04/2020,29.82
07/04/2020,30.09
08/04/2020,30.21
10/04/2020,30.4
11/04/2020,30.51
13/04/2020,30.65
16/04/2020,30.93
17/04/2020,31.02
19/04/2020,30.95
21/04/2020,30.94
22/04/2020,30.98
25/04/2020,31.47
26/04/2020,31.58
28/04/2020,32.42
30/04/2020,32.63
02/05/2020,32.45
03/05/2020,32.31
06/05/2020,31.72
07/05/2020,31.53
10/05/2020,31.43
12/05/2020,31.46
13/05/2020,31.6
15/05/2020,31.85
16/05/2020,31.94
19/05/2020,32.28
20/05/2020,32.35
22/05/2020,32.39
24/05/2020,32.38
25/05/2020,32.32
28/05/2020,32.21
29/05/2020,32.14
31/05/2020,32.03
03/06/2020,31.85
04/06/2020,31.83
05/06/2020,31.68
07/06/2020,31.56
09/06/2020,31.4
11/06/2020,31.24
14/06/2020,30.98
15/06/2020,30.86
16/06/2020,30.78
18/06/2020,30.6
20/06/2020,30.4
23/06/2020,30.06
24/06/2020,29.94
26/06/2020,29.74
28/06/2020,29.54
29/06/2020,29.42
02/07/2020,29.08
03/07/2020,28.99
06/07/2020,28.61
07/07/2020,28.62
08/07/2020,28.6
10/07/2020,28.59
12/07/2020,28.53
14/07/2020,28.5
16/07/2020,28.46
18/07/2020,28.42
20/07/2020,28.38
21/07/2020,28.37
23/07/2020,28.31
25/07/2020,28.26
27/07/2020,28.22
29/07/2020,28.16
30/07/2020,28.15
01/08/2020,28.07
03/08/2020,28.01
06/08/2020,27.93
07/08/2020,27.92
09/08/2020,27.85
10/08/2020,27.85
12/08/2020,27.78
15/08/2020,27.7
17/08/2020,27.6
19/08/2020,27.52
20/08/2020,27.5
21/08/2020,27.45
24/08/2020,27.32
25/08/2020,27.3
27/08/2020,27.21
30/08/2020,27.08
31/08/2020,27.06
02/09/2020,26.97
03/09/2020,26.94
05/09/2020,26.84
08/09/2020,26.75
09/09/2020,26.7
11/09/2020,26.62
12/09/2020,26.57
15/09/2020,26.47
17/09/2020,26.37
19/09/2020,26.35
21/09/2020,26.25
22/09/2020,26.23
23/09/2020,26.2
26/09/2020,26.08
27/09/2020,26.02
30/09/2020,25.91
01/10/2020,25.88
03/10/2020,25.88
04/10/2020,25.88
07/10/2020,25.88
08/10/2020,25.62
10/10/2020,25.53
13/10/2020,25.44
14/10/2020,25.4
15/10/2020,25.35
18/10/2020,25.23
19/10/2020,25.2
21/10/2020,25.1
24/10/2020,25.01
25/10/2020,24.97
26/10/2020,24.91
28/10/2020,24.86
30/10/2020,24.78
02/11/2020,24.69
03/11/2020,24.64
05/11/2020,24.58
06/11/2020,24.58
09/11/2020,24.56
11/11/2020,24.51
13/11/2020,24.49
15/11/2020,24.45
16/11/2020,24.44
17/11/2020,24.43
20/11/2020,24.37
22/11/2020,24.37
23/11/2020,24.34
26/11/2020,24.3
27/11/2020,24.32
28/11/2020,24.36
30/11/2020,24.39
03/12/2020,24.38
05/12/2020,24.4
07/12/2020,24.38
08/12/2020,24.7
10/12/2020,26.01
12/12/2020,30.42
13/12/2020,31.43
15/12/2020,30.74
17/12/2020,29.44
19/12/2020,29.23
21/12/2020,28.91
22/12/2020,28.73
25/12/2020,28.6
27/12/2020,28.5
28/12/2020,28.39
30/12/2020,28.26
