Fecha,Reserva
01/01/2013,32.87
02/01/2013,32.91
04/01/2013,32.98
05/01/2013,33.01
08/01/2013,33.1
09/01/2013,33.12
11/01/2013,33.19
13/01/2013,33.24
14/01/2013,33.28
17/01/2013,33.38
19/01/2013,33.5
20/01/2013,34.12
22/01/2013,34.6
24/01/2013,34.89
25/01/2013,35.17
27/01/2013,35.47
29/01/2013,35.68
31/01/2013,35.83
02/02/2013,35.95
03/02/2013,36.03
06/02/2013,36.19
07/02/2013,36.25
09/02/2013,36.36
11/02/2013,36.46
13/02/2013,36.55
15/02/2013,36.65
17/02/2013,36.73
18/02/2013,36.78
21/02/2013,36.91
22/02/2013,37.01
24/02/2013,38.1
26/02/2013,38.39
28/02/2013,38.58
01/03/2013,38.69
04/03/2013,38.94
05/03/2013,39.03
07/03/2013,39.4
08/03/2013,40.49
10/03/2013,41.43
13/03/2013,44.03
14/03/2013,44.54
16/03/2013,44.76
18/03/2013,44.82
20/03/2013,45.76
21/03/2013,45.89
23/03/2013,45.63
26/03/2013,45.1
27/03/2013,44.9
28/03/2013,44.84
31/03/2013,44.48
02/04/2013,45.05
04/04/2013,45.09
05/04/2013,45.03
07/04/2013,45.04
08/04/2013,45.04
10/04/2013,44.61
13/04/2013,44.24
15/04/2013,43.85
17/04/2013,43.71
18/04/2013,43.71
19/04/2013,43.68
21/04/2013,43.73
24/04/2013,43.79
26/04/2013,43.82
27/04/2013,43.84
29/04/2013,43.84
01/05/2013,43.88
02/05/2013,43.81
04/05/2013,43.83
07/05/2013,43.83
08/05/2013,43.85
09/05/2013,43.83
11/05/2013,43.83
14/05/2013,43.83
16/05/2013,43.79
17/05/2013,43.79
19/05/2013,43.83
21/05/2013,43.83
23/05/2013,43.79
24/05/2013,43.79
26/05/2013,43.74
29/05/2013,43.68
30/05/2013,43.64
31/05/2013,43.64
03/06/2013,43.57
05/06/2013,43.59
07/06/2013,43.56
08/06/2013,43.59
10/06/2013,43.64
12/06/2013,43.67
14/06/2013,43.69
16/06/2013,43.7
18/06/2013,43.75
20/06/2013,43.71
21/06/2013,43.68
23/06/2013,43.65
24/06/2013,43.62
26/06/2013,43.57
28/06/2013,43.48
30/06/2013,43.4
02/07/2013,43.3
04/07/2013,43.23
05/07/2013,43.19
07/07/2013,43.06
10/07/2013,42.89
11/07/2013,42.82
13/07/2013,42.68
15/07/2013,42.57
17/07/2013,42.45
19/07/2013,42.37
20/07/2013,42.31
22/07/2013,42.17
24/07/2013,42.03
26/07/2013,41.89
27/07/2013,41.81
29/07/2013,41.67
31/07/2013,41.52
02/08/2013,41.36
03/08/2013,41.3
06/08/2013,41.09
08/08/2013,40.92
10/08/2013,40.78
11/08/2013,40.7
13/08/2013,40.53
15/08/2013,40.36
17/08/2013,40.21
19/08/2013,40.1
21/08/2013,39.96
23/08/2013,39.82
24/08/2013,39.73
25/08/2013,39.65
28/08/2013,39.45
29/08/2013,39.4
31/08/2013,39.42
02/09/2013,39.4
03/09/2013,39.38
06/09/2013,39.28
07/09/2013,39.25
10/09/2013,39.29
11/09/2013,39.28
13/09/2013,39.26
14/09/2013,39.26
17/09/2013,39.22
19/09/2013,39.22
20/09/2013,39.23
22/09/2013,39.23
24/09/2013,39.23
25/09/2013,39.25
27/09/2013,39.25
30/09/2013,39.31
01/10/2013,39.32
03/10/2013,39.35
05/10/2013,39.4
07/10/2013,39.44
09/10/2013,39.47
10/10/2013,39.5
12/10/2013,39.54
14/10/2013,39.57
16/10/2013,39.61
18/10/2013,39.63
20/10/2013,39.65
22/10/2013,39.69
23/10/2013,39.72
26/10/2013,39.76
27/10/2013,39.79
28/10/2013,39.81
31/10/2013,39.84
01/11/2013,39.87
03/11/2013,39.92
05/11/2013,39.96
07/11/2013,40.01
08/11/2013,40.04
11/11/2013,40.13
13/11/2013,40.11
14/11/2013,40.23
16/11/2013,40.3
18/11/2013,40.35
20/11/2013,40.41
22/11/2013,40.46
24/11/2013,40.52
25/11/2013,40.54
27/11/2013,40.59
28/11/2013,40.63
01/12/2013,40.72
03/12/2013,40.77
04/12/2013,40.8
06/12/2013,40.86
08/12/2013,40.92
09/12/2013,40.94
12/12/2013,41.03
14/12/2013,41.08
16/12/2013,41.14
17/12/2013,41.16
19/12/2013,41.22
20/12/2013,41.28
23/12/2013,41.37
25/12/2013,41.33
26/12/2013,41.91
29/12/2013,42.06
30/12/2013,42.1
