Fecha,Reserva
01/01/2020,27.2
02/01/2020,27.2
04/01/2020,27.33
06/01/2020,27.33
08/01/2020,27.37
09/01/2020,27.5
11/01/2020,27.55
13/01/2020,27.57
15/01/2020,27.57
16/01/2020,27.57
18/01/2020,27.59
21/01/2020,28.05
23/01/2020,28.09
24/01/2020,31.19
26/01/2020,33.71
27/01/2020,34.26
29/01/2020,34.36
01/02/2020,34.43
03/02/2020,34.43
04/02/2020,34.4
06/02/2020,34.33
07/02/2020,34.4
10/02/2020,34.26
11/02/2020,34.21
13/02/2020,34.7
15/02/2020,34.84
17/02/2020,34.72
18/02/2020,34.7
20/02/2020,35.02
23/02/2020,34.89
24/02/2020,34.87
26/02/2020,34.77
27/02/2020,34.89
01/03/2020,34.84
02/03/2020,34.87
05/03/2020,35.14
06/03/2020,35.07
08/03/2020,34.97
10/03/2020,34.84
11/03/2020,34.94
14/03/2020,35.17
16/03/2020,35.09
17/03/2020,35.12
19/03/2020,35.07
21/03/2020,35.2
23/03/2020,35.14
24/03/2020,35.2
27/03/2020,35.07
28/03/2020,35.17
30/03/2020,35.09
31/03/2020,35.2
02/04/2020,35.22
05/04/2020,35.09
06/04/2020,35.07
09/04/2020,35.17
10/04/2020,35.12
12/04/2020,35.07
13/04/2020,35.07
16/04/2020,35.4
17/04/2020,31.84
19/04/2020,31.36
21/04/2020,31.62
23/04/2020,31.65
24/04/2020,31.65
27/04/2020,31.96
28/04/2020,32.25
01/05/2020,32.52
02/05/2020,32.52
04/05/2020,32.52
06/05/2020,32.5
08/05/2020,32.62
09/05/2020,32.59
12/05/2020,32.59
13/05/2020,32.62
14/05/2020,32.78
16/05/2020,33.0
18/05/2020,32.97
21/05/2020,32.95
23/05/2020,33.85
24/05/2020,33.99
25/05/2020,34.11
27/05/2020,34.07
29/05/2020,34.02
01/06/2020,33.92
02/06/2020,33.0
04/06/2020,32.62
05/06/2020,31.53
08/06/2020,26.0
09/06/2020,24.51
12/06/2020,18.59
13/06/2020,17.06
15/06/2020,17.03
17/06/2020,17.24
18/06/2020,17.23
20/06/2020,17.18
23/06/2020,17.12
25/06/2020,17.09
26/06/2020,17.2
28/06/2020,17.15
29/06/2020,17.14
02/07/2020,17.08
03/07/2020,17.08
06/07/2020,17.02
07/07/2020,17.7
08/07/2020,18.51
11/07/2020,20.32
13/07/2020,21.26
15/07/2020,22.85
16/07/2020,23.72
18/07/2020,24.45
20/07/2020,25.18
21/07/2020,25.51
23/07/2020,27.39
26/07/2020,29.26
28/07/2020,29.39
29/07/2020,29.63
30/07/2020,30.57
02/08/2020,30.48
04/08/2020,30.41
05/08/2020,30.34
08/08/2020,30.18
09/08/2020,30.11
11/08/2020,30.0
13/08/2020,29.87
15/08/2020,29.87
16/08/2020,29.83
18/08/2020,29.69
20/08/2020,29.59
21/08/2020,29.54
24/08/2020,29.37
26/08/2020,29.48
28/08/2020,30.05
30/08/2020,29.91
31/08/2020,29.87
02/09/2020,29.75
03/09/2020,29.69
06/09/2020,29.54
07/09/2020,29.48
09/09/2020,29.39
11/09/2020,29.28
12/09/2020,29.24
15/09/2020,29.07
17/09/2020,28.96
19/09/2020,28.96
21/09/2020,28.88
22/09/2020,28.83
23/09/2020,28.79
26/09/2020,28.62
28/09/2020,28.54
30/09/2020,28.43
01/10/2020,28.71
03/10/2020,28.71
04/10/2020,28.71
07/10/2020,28.71
08/10/2020,28.47
11/10/2020,28.33
13/10/2020,28.22
14/10/2020,28.18
15/10/2020,28.14
18/10/2020,27.96
20/10/2020,27.87
21/10/2020,27.9
24/10/2020,28.28
25/10/2020,28.24
27/10/2020,28.16
29/10/2020,28.09
31/10/2020,27.98
02/11/2020,27.92
04/11/2020,27.83
05/11/2020,27.85
06/11/2020,28.09
09/11/2020,28.05
11/11/2020,28.11
12/11/2020,28.35
14/11/2020,28.26
16/11/2020,28.22
18/11/2020,28.37
19/11/2020,28.33
22/11/2020,28.28
23/11/2020,28.26
26/11/2020,28.3
27/11/2020,28.62
29/11/2020,28.69
01/12/2020,28.69
03/12/2020,28.83
05/12/2020,28.83
06/12/2020,28.81
08/12/2020,28.81
10/12/2020,29.13
12/12/2020,29.13
14/12/2020,29.11
16/12/2020,29.28
17/12/2020,29.3
19/12/2020,29.24
21/12/2020,29.24
22/12/2020,29.43
24/12/2020,29.56
26/12/2020,29.52
29/12/2020,29.43
30/12/2020,29.63
