Fecha,Reserva
01/01/2012,350.43
02/01/2012,350.63
03/01/2012,350.82
06/01/2012,351.41
07/01/2012,356.92
10/01/2012,357.11
12/01/2012,356.52
13/01/2012,356.52
14/01/2012,356.32
17/01/2012,356.32
18/01/2012,356.92
20/01/2012,357.11
23/01/2012,357.71
24/01/2012,357.71
26/01/2012,357.71
28/01/2012,358.5
30/01/2012,357.71
31/01/2012,358.9
02/02/2012,358.7
04/02/2012,358.7
05/02/2012,358.3
08/02/2012,358.11
09/02/2012,354.94
11/02/2012,357.71
13/02/2012,356.92
15/02/2012,357.31
17/02/2012,356.92
18/02/2012,356.92
20/02/2012,356.72
23/02/2012,355.53
24/02/2012,354.94
26/02/2012,354.15
28/02/2012,353.17
01/03/2012,353.17
02/03/2012,352.0
04/03/2012,351.22
07/03/2012,349.85
08/03/2012,349.27
10/03/2012,348.49
12/03/2012,347.33
13/03/2012,346.94
16/03/2012,344.44
18/03/2012,342.52
19/03/2012,341.57
20/03/2012,340.61
23/03/2012,339.5
24/03/2012,339.09
26/03/2012,338.15
28/03/2012,337.01
30/03/2012,336.07
31/03/2012,335.69
03/04/2012,334.19
04/04/2012,333.63
07/04/2012,333.07
08/04/2012,332.51
10/04/2012,331.76
12/04/2012,330.65
13/04/2012,330.28
15/04/2012,330.28
17/04/2012,331.2
19/04/2012,331.58
21/04/2012,331.76
23/04/2012,331.76
24/04/2012,331.39
27/04/2012,330.28
28/04/2012,329.53
01/05/2012,328.24
02/05/2012,328.05
04/05/2012,327.32
06/05/2012,327.32
08/05/2012,327.87
09/05/2012,328.05
11/05/2012,326.03
13/05/2012,323.83
14/05/2012,322.74
17/05/2012,319.47
19/05/2012,317.13
20/05/2012,315.88
23/05/2012,313.2
24/05/2012,311.96
25/05/2012,310.9
28/05/2012,307.21
30/05/2012,304.77
31/05/2012,303.73
02/06/2012,301.14
04/06/2012,298.74
05/06/2012,297.55
07/06/2012,294.66
09/06/2012,291.12
12/06/2012,286.62
14/06/2012,283.66
15/06/2012,282.02
17/06/2012,282.02
18/06/2012,282.02
20/06/2012,274.73
22/06/2012,272.18
24/06/2012,268.86
26/06/2012,266.5
28/06/2012,263.85
29/06/2012,262.3
01/07/2012,259.68
04/07/2012,256.01
06/07/2012,253.28
07/07/2012,252.08
09/07/2012,248.93
11/07/2012,246.56
12/07/2012,245.38
15/07/2012,241.12
16/07/2012,239.81
18/07/2012,237.64
19/07/2012,236.63
22/07/2012,232.2
23/07/2012,230.64
25/07/2012,228.25
27/07/2012,225.45
29/07/2012,222.26
31/07/2012,219.93
02/08/2012,217.06
04/08/2012,213.82
06/08/2012,210.74
08/08/2012,208.22
09/08/2012,206.77
11/08/2012,204.27
13/08/2012,201.28
15/08/2012,198.7
17/08/2012,196.4
18/08/2012,195.25
20/08/2012,192.72
22/08/2012,190.58
24/08/2012,188.08
25/08/2012,186.84
28/08/2012,183.51
30/08/2012,181.07
31/08/2012,179.61
01/09/2012,178.29
04/09/2012,173.98
06/09/2012,171.38
07/09/2012,170.21
09/09/2012,163.59
11/09/2012,165.9
13/09/2012,163.94
15/09/2012,162.33
17/09/2012,160.74
18/09/2012,159.83
20/09/2012,158.37
22/09/2012,157.47
23/09/2012,157.24
26/09/2012,157.36
28/09/2012,157.8
30/09/2012,159.61
01/10/2012,159.95
03/10/2012,160.29
04/10/2012,160.29
06/10/2012,160.4
08/10/2012,160.63
10/10/2012,160.63
13/10/2012,160.85
14/10/2012,161.08
15/10/2012,161.08
18/10/2012,161.31
20/10/2012,161.65
21/10/2012,161.88
23/10/2012,162.91
25/10/2012,163.48
27/10/2012,165.09
29/10/2012,170.44
30/10/2012,159.61
01/11/2012,171.85
03/11/2012,172.8
05/11/2012,202.32
06/11/2012,215.98
09/11/2012,224.9
10/11/2012,232.06
13/11/2012,249.68
14/11/2012,253.89
16/11/2012,260.29
18/11/2012,266.34
20/11/2012,272.02
22/11/2012,276.66
23/11/2012,278.76
25/11/2012,282.67
27/11/2012,286.13
29/11/2012,289.79
01/12/2012,291.29
03/12/2012,291.96
04/12/2012,292.97
06/12/2012,293.98
08/12/2012,295.34
10/12/2012,296.36
11/12/2012,296.7
14/12/2012,298.06
15/12/2012,298.57
18/12/2012,301.32
19/12/2012,301.83
20/12/2012,302.52
23/12/2012,304.08
25/12/2012,305.3
27/12/2012,306.17
29/12/2012,298.06
30/12/2012,302.87
