Fecha,Reserva
01/01/2022,281.74
02/01/2022,281.74
04/01/2022,281.74
06/01/2022,281.66
08/01/2022,281.66
10/01/2022,281.57
12/01/2022,281.57
14/01/2022,281.4
16/01/2022,281.32
18/01/2022,281.15
20/01/2022,281.07
21/01/2022,280.98
24/01/2022,280.73
25/01/2022,280.65
27/01/2022,280.31
29/01/2022,279.81
30/01/2022,279.64
02/02/2022,279.48
04/02/2022,278.81
05/02/2022,278.56
07/02/2022,278.06
09/02/2022,277.56
10/02/2022,277.39
11/02/2022,277.31
12/02/2022,277.31
13/02/2022,277.23
13/02/2022,277.23
15/02/2022,277.23
15/02/2022,277.23
16/02/2022,277.14
17/02/2022,277.06
18/02/2022,267.98
19/02/2022,276.9
20/02/2022,276.81
21/02/2022,276.73
22/02/2022,276.4
24/02/2022,275.65
26/02/2022,275.4
27/02/2022,275.4
02/03/2022,275.24
04/03/2022,275.32
06/03/2022,275.32
08/03/2022,275.07
09/03/2022,275.15
11/03/2022,275.07
13/03/2022,275.24
15/03/2022,275.9
17/03/2022,277.06
19/03/2022,277.14
21/03/2022,277.31
23/03/2022,277.39
25/03/2022,281.57
26/03/2022,286.3
28/03/2022,287.58
31/03/2022,288.18
01/04/2022,288.77
04/04/2022,289.54
05/04/2022,289.92
06/04/2022,290.55
09/04/2022,291.41
10/04/2022,291.41
13/04/2022,292.27
14/04/2022,292.44
15/04/2022,292.7
16/04/2022,292.96
17/04/2022,293.14
18/04/2022,293.31
19/04/2022,293.4
22/04/2022,293.65
24/04/2022,294.17
25/04/2022,294.43
27/04/2022,294.78
28/04/2022,294.78
30/04/2022,294.95
02/05/2022,295.21
04/05/2022,295.48
07/05/2022,295.3
09/05/2022,295.21
11/05/2022,294.78
13/05/2022,294.43
15/05/2022,294.26
16/05/2022,294.17
19/05/2022,293.22
20/05/2022,292.88
22/05/2022,291.76
25/05/2022,290.21
27/05/2022,289.2
29/05/2022,288.35
31/05/2022,287.58
01/06/2022,287.07
04/06/2022,285.54
06/06/2022,284.61
08/06/2022,283.76
10/06/2022,282.83
12/06/2022,281.49
14/06/2022,280.15
16/06/2022,278.56
18/06/2022,277.14
20/06/2022,275.98
22/06/2022,274.99
23/06/2022,274.41
24/06/2022,273.92
26/06/2022,272.7
28/06/2022,271.8
30/06/2022,270.57
02/07/2022,269.51
04/07/2022,268.37
07/07/2022,266.42
09/07/2022,264.15
11/07/2022,263.6
13/07/2022,262.0
14/07/2022,261.04
17/07/2022,257.7
19/07/2022,255.51
20/07/2022,254.64
22/07/2022,252.92
23/07/2022,252.21
26/07/2022,249.88
28/07/2022,248.17
30/07/2022,246.86
01/08/2022,245.71
03/08/2022,244.25
05/08/2022,242.12
06/08/2022,241.15
08/08/2022,239.48
10/08/2022,237.97
12/08/2022,236.09
14/08/2022,234.45
16/08/2022,232.88
18/08/2022,231.1
19/08/2022,230.14
22/08/2022,227.86
24/08/2022,226.12
26/08/2022,224.45
28/08/2022,223.0
29/08/2022,222.34
01/09/2022,220.18
02/09/2022,219.46
05/09/2022,217.74
07/09/2022,216.89
09/09/2022,215.89
10/09/2022,215.46
12/09/2022,214.76
13/09/2022,214.47
15/09/2022,214.47
18/09/2022,213.83
19/09/2022,213.55
21/09/2022,212.85
23/09/2022,212.02
25/09/2022,211.31
27/09/2022,210.61
30/09/2022,209.56
01/10/2022,209.35
03/10/2022,208.79
06/10/2022,208.1
08/10/2022,207.54
09/10/2022,207.33
10/10/2022,207.12
13/10/2022,205.88
14/10/2022,205.46
16/10/2022,204.98
19/10/2022,204.36
21/10/2022,204.01
22/10/2022,203.88
25/10/2022,203.26
27/10/2022,202.78
28/10/2022,202.37
30/10/2022,201.82
31/10/2022,201.61
01/11/2022,201.34
03/11/2022,200.66
05/11/2022,200.18
06/11/2022,200.05
09/11/2022,199.64
10/11/2022,199.84
12/11/2022,199.71
15/11/2022,199.3
18/11/2022,199.64
20/11/2022,199.64
21/11/2022,199.64
24/11/2022,199.16
26/11/2022,199.03
27/11/2022,198.96
30/11/2022,198.84
01/12/2022,198.96
02/12/2022,198.93
04/12/2022,198.84
07/12/2022,199.03
08/12/2022,199.23
10/12/2022,201.27
13/12/2022,203.12
15/12/2022,210.12
16/12/2022,212.51
18/12/2022,213.27
21/12/2022,213.98
23/12/2022,214.12
24/12/2022,214.26
26/12/2022,214.4
28/12/2022,214.4
30/12/2022,214.61
