Fecha,Reserva
01/01/2015,119.34
02/01/2015,119.28
03/01/2015,119.24
05/01/2015,119.24
08/01/2015,119.24
09/01/2015,119.24
11/01/2015,119.13
12/01/2015,119.24
14/01/2015,119.13
16/01/2015,119.13
18/01/2015,119.13
20/01/2015,119.13
22/01/2015,119.13
23/01/2015,119.13
25/01/2015,119.13
28/01/2015,119.13
30/01/2015,119.02
31/01/2015,119.24
02/02/2015,121.73
03/02/2015,122.16
06/02/2015,124.69
08/02/2015,116.25
09/02/2015,125.58
11/02/2015,125.91
13/02/2015,126.02
15/02/2015,126.25
16/02/2015,127.14
19/02/2015,129.17
20/02/2015,129.51
22/02/2015,129.85
24/02/2015,130.07
25/02/2015,130.19
28/02/2015,130.3
01/03/2015,130.42
03/03/2015,130.53
05/03/2015,130.3
06/03/2015,130.19
08/03/2015,130.19
11/03/2015,130.19
12/03/2015,130.07
14/03/2015,129.96
16/03/2015,129.96
18/03/2015,129.85
19/03/2015,129.85
22/03/2015,129.62
24/03/2015,129.73
26/03/2015,130.76
27/03/2015,130.87
28/03/2015,130.87
30/03/2015,131.1
01/04/2015,131.1
04/04/2015,131.1
05/04/2015,130.99
07/04/2015,130.99
09/04/2015,130.83
10/04/2015,160.27
12/04/2015,130.99
15/04/2015,130.83
17/04/2015,130.99
18/04/2015,130.99
20/04/2015,130.99
21/04/2015,130.99
24/04/2015,130.76
26/04/2015,130.64
28/04/2015,130.64
29/04/2015,130.56
30/04/2015,130.53
03/05/2015,130.3
04/05/2015,130.3
06/05/2015,130.07
08/05/2015,129.96
10/05/2015,129.73
12/05/2015,129.53
14/05/2015,129.28
16/05/2015,128.94
18/05/2015,128.72
19/05/2015,128.6
21/05/2015,128.45
23/05/2015,128.04
25/05/2015,127.81
26/05/2015,127.72
29/05/2015,127.42
30/05/2015,127.25
01/06/2015,126.92
03/06/2015,126.69
04/06/2015,126.58
07/06/2015,126.25
08/06/2015,126.02
10/06/2015,125.87
11/06/2015,125.58
13/06/2015,125.25
16/06/2015,125.0
17/06/2015,124.9
19/06/2015,124.69
21/06/2015,124.36
23/06/2015,124.03
25/06/2015,123.8
26/06/2015,123.59
29/06/2015,123.26
30/06/2015,123.15
02/07/2015,122.85
03/07/2015,122.77
05/07/2015,122.38
07/07/2015,122.16
09/07/2015,121.84
11/07/2015,121.4
13/07/2015,121.18
14/07/2015,121.07
16/07/2015,120.64
19/07/2015,120.21
20/07/2015,119.99
22/07/2015,118.49
23/07/2015,117.84
25/07/2015,116.25
28/07/2015,114.14
30/07/2015,112.63
31/07/2015,111.76
02/08/2015,110.33
04/08/2015,108.8
05/08/2015,108.17
07/08/2015,106.76
09/08/2015,105.1
12/08/2015,102.92
13/08/2015,102.16
14/08/2015,101.56
16/08/2015,100.23
19/08/2015,98.5
20/08/2015,97.76
22/08/2015,96.54
24/08/2015,95.14
26/08/2015,94.02
28/08/2015,92.71
29/08/2015,91.93
31/08/2015,90.67
02/09/2015,89.48
03/09/2015,88.71
06/09/2015,87.48
08/09/2015,89.69
09/09/2015,89.78
11/09/2015,89.69
13/09/2015,89.51
15/09/2015,89.41
16/09/2015,89.24
19/09/2015,88.89
21/09/2015,88.62
22/09/2015,88.54
24/09/2015,87.22
25/09/2015,86.65
28/09/2015,86.35
29/09/2015,86.18
01/10/2015,86.18
04/10/2015,85.92
05/10/2015,85.89
07/10/2015,86.09
09/10/2015,86.03
11/10/2015,85.83
12/10/2015,85.83
15/10/2015,85.76
16/10/2015,85.66
18/10/2015,85.66
19/10/2015,85.83
22/10/2015,85.83
24/10/2015,85.74
25/10/2015,85.74
27/10/2015,85.74
28/10/2015,85.74
31/10/2015,85.74
01/11/2015,85.74
03/11/2015,86.61
05/11/2015,86.7
07/11/2015,86.78
09/11/2015,86.7
10/11/2015,86.78
13/11/2015,86.78
15/11/2015,86.7
16/11/2015,86.61
18/11/2015,86.52
19/11/2015,86.54
21/11/2015,86.44
23/11/2015,86.52
25/11/2015,86.44
27/11/2015,86.44
28/11/2015,86.35
01/12/2015,86.44
02/12/2015,86.09
05/12/2015,85.92
07/12/2015,85.92
08/12/2015,85.83
10/12/2015,85.83
12/12/2015,85.66
14/12/2015,85.66
15/12/2015,85.57
17/12/2015,85.57
19/12/2015,85.57
20/12/2015,85.57
22/12/2015,85.43
24/12/2015,85.4
27/12/2015,85.4
28/12/2015,85.37
30/12/2015,85.1
