Fecha,Reserva
01/01/2013,110.66
02/01/2013,110.66
03/01/2013,110.46
05/01/2013,110.77
07/01/2013,110.57
10/01/2013,111.61
11/01/2013,111.98
12/01/2013,112.31
15/01/2013,113.12
16/01/2013,113.27
19/01/2013,114.08
20/01/2013,117.05
22/01/2013,119.09
23/01/2013,117.18
26/01/2013,109.46
28/01/2013,103.7
30/01/2013,106.11
01/02/2013,108.19
02/02/2013,109.11
04/02/2013,110.77
06/02/2013,112.31
08/02/2013,113.56
09/02/2013,114.18
12/02/2013,115.85
13/02/2013,116.3
15/02/2013,117.36
17/02/2013,116.94
19/02/2013,116.61
21/02/2013,119.33
22/02/2013,119.54
24/02/2013,123.03
25/02/2013,123.03
27/02/2013,119.94
01/03/2013,121.88
04/03/2013,120.34
05/03/2013,120.61
06/03/2013,121.46
08/03/2013,126.06
10/03/2013,123.68
12/03/2013,121.84
14/03/2013,121.83
16/03/2013,123.05
18/03/2013,124.64
20/03/2013,128.48
22/03/2013,123.5
24/03/2013,124.71
25/03/2013,125.43
27/03/2013,125.66
29/03/2013,125.74
31/03/2013,126.31
02/04/2013,125.3
04/04/2013,122.29
05/04/2013,122.24
07/04/2013,123.5
08/04/2013,124.03
11/04/2013,125.27
12/04/2013,125.52
14/04/2013,126.77
16/04/2013,127.89
18/04/2013,128.28
20/04/2013,128.59
22/04/2013,128.7
23/04/2013,128.73
25/04/2013,128.7
27/04/2013,128.7
29/04/2013,128.7
01/05/2013,128.7
02/05/2013,128.7
05/05/2013,128.37
07/05/2013,128.25
08/05/2013,128.05
10/05/2013,127.89
12/05/2013,128.21
13/05/2013,128.37
15/05/2013,128.31
17/05/2013,128.47
19/05/2013,128.84
20/05/2013,129.06
22/05/2013,129.25
24/05/2013,129.32
27/05/2013,129.74
28/05/2013,129.74
30/05/2013,129.74
01/06/2013,129.65
03/06/2013,129.91
05/06/2013,129.88
07/06/2013,129.77
09/06/2013,129.77
10/06/2013,129.91
12/06/2013,129.88
14/06/2013,129.74
15/06/2013,129.51
17/06/2013,129.71
19/06/2013,129.48
21/06/2013,129.42
23/06/2013,129.42
24/06/2013,129.42
27/06/2013,129.11
29/06/2013,129.05
01/07/2013,128.93
02/07/2013,128.73
03/07/2013,128.61
05/07/2013,128.63
08/07/2013,128.4
10/07/2013,128.05
11/07/2013,128.03
13/07/2013,127.8
15/07/2013,127.8
17/07/2013,127.48
19/07/2013,127.22
20/07/2013,127.11
22/07/2013,127.09
23/07/2013,126.89
26/07/2013,126.45
27/07/2013,126.45
29/07/2013,126.31
31/07/2013,125.97
02/08/2013,125.43
03/08/2013,125.4
06/08/2013,125.18
08/08/2013,124.73
10/08/2013,124.42
12/08/2013,124.29
13/08/2013,124.08
15/08/2013,123.72
17/08/2013,123.5
19/08/2013,123.38
20/08/2013,123.25
23/08/2013,122.63
24/08/2013,122.6
26/08/2013,122.5
27/08/2013,122.29
29/08/2013,121.93
01/09/2013,121.72
02/09/2013,121.69
04/09/2013,121.3
06/09/2013,120.86
07/09/2013,120.86
09/09/2013,120.83
12/09/2013,120.52
13/09/2013,120.31
15/09/2013,120.26
17/09/2013,120.1
18/09/2013,119.96
20/09/2013,119.75
23/09/2013,119.64
24/09/2013,119.64
26/09/2013,119.64
27/09/2013,119.64
30/09/2013,119.75
02/10/2013,119.41
04/10/2013,118.87
05/10/2013,118.53
07/10/2013,117.82
09/10/2013,116.81
11/10/2013,117.02
12/10/2013,117.07
14/10/2013,117.23
16/10/2013,117.26
18/10/2013,117.36
19/10/2013,117.36
22/10/2013,117.36
23/10/2013,117.39
26/10/2013,117.39
27/10/2013,117.38
29/10/2013,117.36
31/10/2013,117.15
01/11/2013,117.15
03/11/2013,116.94
05/11/2013,116.85
07/11/2013,116.72
09/11/2013,116.72
11/11/2013,115.32
13/11/2013,113.76
14/11/2013,112.96
16/11/2013,111.48
17/11/2013,110.68
20/11/2013,108.39
21/11/2013,108.44
24/11/2013,108.64
25/11/2013,108.71
27/11/2013,108.76
29/11/2013,108.92
01/12/2013,109.01
03/12/2013,109.06
05/12/2013,109.24
06/12/2013,109.26
08/12/2013,109.43
09/12/2013,109.46
11/12/2013,109.65
14/12/2013,109.75
15/12/2013,109.83
17/12/2013,109.85
19/12/2013,109.94
21/12/2013,109.75
22/12/2013,109.83
25/12/2013,109.9
26/12/2013,110.74
29/12/2013,111.06
30/12/2013,111.18
