Fecha,Reserva
01/01/2012,70.87
02/01/2012,70.82
03/01/2012,70.82
06/01/2012,70.66
07/01/2012,68.34
09/01/2012,68.8
11/01/2012,68.65
13/01/2012,68.55
14/01/2012,68.39
16/01/2012,68.55
18/01/2012,68.34
21/01/2012,68.19
22/01/2012,68.14
24/01/2012,68.14
26/01/2012,68.03
27/01/2012,67.88
30/01/2012,67.88
31/01/2012,67.63
03/02/2012,67.48
04/02/2012,67.42
05/02/2012,67.32
08/02/2012,67.17
09/02/2012,67.08
11/02/2012,66.92
13/02/2012,66.78
15/02/2012,66.67
17/02/2012,66.57
18/02/2012,66.47
20/02/2012,66.37
23/02/2012,66.11
25/02/2012,66.01
26/02/2012,65.91
28/02/2012,65.81
01/03/2012,65.79
02/03/2012,65.61
05/03/2012,65.41
06/03/2012,65.41
08/03/2012,65.41
10/03/2012,65.41
11/03/2012,65.36
13/03/2012,65.41
16/03/2012,65.41
18/03/2012,65.31
19/03/2012,65.21
20/03/2012,65.17
23/03/2012,64.87
24/03/2012,64.82
26/03/2012,64.67
29/03/2012,64.37
30/03/2012,64.32
31/03/2012,64.22
02/04/2012,64.08
04/04/2012,64.03
06/04/2012,63.88
09/04/2012,63.73
10/04/2012,63.63
12/04/2012,63.44
13/04/2012,63.39
15/04/2012,63.19
18/04/2012,62.95
19/04/2012,62.85
21/04/2012,62.75
22/04/2012,62.6
25/04/2012,62.31
27/04/2012,62.12
28/04/2012,62.02
30/04/2012,62.02
02/05/2012,61.88
03/05/2012,61.8
06/05/2012,61.88
08/05/2012,62.65
09/05/2012,62.65
11/05/2012,62.51
13/05/2012,62.41
15/05/2012,62.22
17/05/2012,62.02
19/05/2012,61.78
20/05/2012,61.68
23/05/2012,61.39
24/05/2012,61.34
25/05/2012,61.2
28/05/2012,60.91
29/05/2012,60.77
01/06/2012,60.43
02/06/2012,60.29
04/06/2012,60.1
06/06/2012,59.91
08/06/2012,59.62
10/06/2012,59.38
12/06/2012,59.1
14/06/2012,58.82
15/06/2012,58.72
17/06/2012,58.72
18/06/2012,58.72
20/06/2012,58.11
23/06/2012,57.73
24/06/2012,57.69
26/06/2012,57.41
28/06/2012,57.13
29/06/2012,57.04
02/07/2012,56.62
03/07/2012,56.51
05/07/2012,56.25
07/07/2012,56.06
08/07/2012,55.88
10/07/2012,55.65
13/07/2012,55.24
14/07/2012,55.15
16/07/2012,54.87
18/07/2012,54.64
20/07/2012,54.42
22/07/2012,54.15
23/07/2012,54.06
25/07/2012,53.78
27/07/2012,53.53
29/07/2012,53.34
31/07/2012,53.07
01/08/2012,52.98
04/08/2012,52.62
06/08/2012,52.35
07/08/2012,52.27
09/08/2012,52.04
10/08/2012,51.96
12/08/2012,51.74
14/08/2012,51.47
16/08/2012,51.29
18/08/2012,51.03
20/08/2012,50.86
22/08/2012,50.62
24/08/2012,50.34
25/08/2012,50.25
28/08/2012,49.9
29/08/2012,49.82
31/08/2012,49.6
02/09/2012,49.39
04/09/2012,49.13
06/09/2012,48.94
08/09/2012,48.7
10/09/2012,48.53
11/09/2012,48.4
13/09/2012,48.19
15/09/2012,47.94
17/09/2012,47.77
18/09/2012,47.64
21/09/2012,47.35
22/09/2012,47.22
23/09/2012,47.14
26/09/2012,46.8
28/09/2012,46.93
30/09/2012,48.87
01/10/2012,49.34
03/10/2012,49.51
04/10/2012,49.51
07/10/2012,49.39
08/10/2012,49.34
11/10/2012,49.09
13/10/2012,48.91
14/10/2012,48.87
15/10/2012,48.79
17/10/2012,48.57
19/10/2012,48.45
21/10/2012,48.28
24/10/2012,48.07
25/10/2012,48.06
27/10/2012,50.25
29/10/2012,50.86
30/10/2012,48.87
02/11/2012,51.25
03/11/2012,51.69
05/11/2012,77.31
07/11/2012,82.71
08/11/2012,83.89
10/11/2012,108.94
12/11/2012,114.96
14/11/2012,117.09
16/11/2012,118.16
17/11/2012,118.57
19/11/2012,126.12
21/11/2012,129.15
23/11/2012,130.78
25/11/2012,131.86
27/11/2012,132.65
28/11/2012,133.01
01/12/2012,133.66
02/12/2012,133.87
05/12/2012,134.23
06/12/2012,132.79
08/12/2012,131.43
10/12/2012,129.71
12/12/2012,127.88
14/12/2012,125.63
15/12/2012,125.01
17/12/2012,129.01
19/12/2012,129.57
21/12/2012,129.22
23/12/2012,128.37
25/12/2012,127.24
26/12/2012,126.75
29/12/2012,124.94
30/12/2012,124.24
