Fecha,Reserva
01/01/2016,263.69
02/01/2016,263.64
03/01/2016,263.56
05/01/2016,263.7
07/01/2016,263.76
10/01/2016,263.75
11/01/2016,263.7
13/01/2016,264.03
15/01/2016,264.01
17/01/2016,264.15
19/01/2016,264.09
20/01/2016,264.09
23/01/2016,264.18
24/01/2016,264.18
25/01/2016,264.16
28/01/2016,264.13
30/01/2016,264.02
01/02/2016,264.01
02/02/2016,263.99
04/02/2016,263.89
05/02/2016,263.7
07/02/2016,263.75
09/02/2016,263.72
12/02/2016,263.72
14/02/2016,264.41
15/02/2016,265.19
17/02/2016,265.81
19/02/2016,266.04
20/02/2016,266.15
23/02/2016,266.21
25/02/2016,266.27
26/02/2016,266.35
28/02/2016,267.58
01/03/2016,268.48
02/03/2016,268.7
04/03/2016,269.03
06/03/2016,269.29
08/03/2016,269.72
10/03/2016,270.12
11/03/2016,270.21
13/03/2016,270.5
16/03/2016,270.71
17/03/2016,270.82
19/03/2016,270.96
21/03/2016,271.23
22/03/2016,271.57
24/03/2016,272.81
26/03/2016,273.18
28/03/2016,273.51
30/03/2016,273.71
31/03/2016,273.79
03/04/2016,273.81
04/04/2016,273.83
06/04/2016,277.45
08/04/2016,278.69
10/04/2016,279.22
12/04/2016,279.64
14/04/2016,280.09
16/04/2016,280.32
17/04/2016,280.53
19/04/2016,281.03
21/04/2016,282.9
23/04/2016,283.74
25/04/2016,284.25
26/04/2016,284.41
28/04/2016,284.58
01/05/2016,285.03
02/05/2016,285.08
04/05/2016,285.07
06/05/2016,285.13
07/05/2016,285.37
10/05/2016,285.83
11/05/2016,286.38
13/05/2016,287.58
15/05/2016,290.97
16/05/2016,291.68
18/05/2016,292.49
20/05/2016,293.08
22/05/2016,293.43
24/05/2016,293.67
25/05/2016,293.71
27/05/2016,293.84
30/05/2016,293.86
01/06/2016,293.97
03/06/2016,293.88
04/06/2016,293.73
05/06/2016,293.78
08/06/2016,293.54
10/06/2016,293.32
11/06/2016,293.14
14/06/2016,292.66
15/06/2016,291.76
16/06/2016,290.64
19/06/2016,287.68
20/06/2016,286.55
23/06/2016,283.63
24/06/2016,282.53
26/06/2016,280.68
27/06/2016,280.0
29/06/2016,277.78
01/07/2016,275.9
03/07/2016,273.74
05/07/2016,272.1
07/07/2016,270.29
09/07/2016,267.7
10/07/2016,266.56
12/07/2016,264.51
14/07/2016,262.31
17/07/2016,259.1
18/07/2016,258.28
19/07/2016,257.31
22/07/2016,254.2
24/07/2016,252.33
25/07/2016,251.21
27/07/2016,249.06
29/07/2016,246.73
31/07/2016,244.51
02/08/2016,242.56
03/08/2016,241.42
06/08/2016,238.18
07/08/2016,237.18
09/08/2016,234.77
11/08/2016,233.35
12/08/2016,232.5
15/08/2016,229.1
16/08/2016,228.02
19/08/2016,225.0
20/08/2016,223.93
21/08/2016,223.01
24/08/2016,219.81
26/08/2016,217.39
28/08/2016,215.09
30/08/2016,213.13
31/08/2016,211.94
01/09/2016,210.84
03/09/2016,208.47
05/09/2016,206.05
08/09/2016,202.74
10/09/2016,200.44
11/09/2016,199.25
13/09/2016,196.82
14/09/2016,195.65
16/09/2016,193.82
18/09/2016,192.0
20/09/2016,189.97
22/09/2016,187.82
24/09/2016,185.55
26/09/2016,183.48
28/09/2016,182.9
29/09/2016,182.55
01/10/2016,182.03
03/10/2016,181.5
04/10/2016,181.15
06/10/2016,180.55
09/10/2016,179.55
11/10/2016,178.82
12/10/2016,178.52
14/10/2016,178.16
15/10/2016,178.0
17/10/2016,177.57
19/10/2016,177.12
22/10/2016,176.66
23/10/2016,176.53
25/10/2016,176.51
26/10/2016,176.51
28/10/2016,176.38
30/10/2016,176.19
02/11/2016,175.86
03/11/2016,175.79
05/11/2016,175.65
06/11/2016,175.73
09/11/2016,175.66
11/11/2016,175.52
12/11/2016,175.48
14/11/2016,175.39
16/11/2016,175.24
17/11/2016,175.16
20/11/2016,175.01
21/11/2016,175.1
23/11/2016,176.29
25/11/2016,176.72
27/11/2016,176.93
29/11/2016,177.12
01/12/2016,177.18
03/12/2016,177.21
05/12/2016,177.29
06/12/2016,177.31
08/12/2016,177.37
09/12/2016,177.37
12/12/2016,177.37
13/12/2016,177.35
16/12/2016,177.42
17/12/2016,177.53
19/12/2016,177.59
20/12/2016,177.6
23/12/2016,177.76
25/12/2016,177.84
27/12/2016,177.84
28/12/2016,177.89
30/12/2016,177.9
