Fecha,Reserva
01/01/2022,84.11
02/01/2022,83.96
04/01/2022,83.91
05/01/2022,83.71
08/01/2022,83.24
10/01/2022,83.14
12/01/2022,82.87
14/01/2022,82.8
16/01/2022,82.81
17/01/2022,82.83
19/01/2022,82.55
22/01/2022,81.88
24/01/2022,81.86
26/01/2022,81.25
27/01/2022,80.99
29/01/2022,80.78
31/01/2022,80.74
01/02/2022,80.56
03/02/2022,80.33
05/02/2022,80.24
07/02/2022,80.26
08/02/2022,80.18
10/02/2022,79.9
10/02/2022,79.9
12/02/2022,79.66
12/02/2022,79.66
14/02/2022,79.66
14/02/2022,79.66
16/02/2022,79.32
17/02/2022,79.11
17/02/2022,79.11
18/02/2022,79.01
19/02/2022,78.96
20/02/2022,78.96
21/02/2022,78.96
22/02/2022,78.84
24/02/2022,78.31
26/02/2022,77.9
28/02/2022,77.88
01/03/2022,77.86
04/03/2022,77.39
05/03/2022,77.28
07/03/2022,77.27
10/03/2022,76.34
12/03/2022,75.81
13/03/2022,75.42
15/03/2022,75.42
17/03/2022,77.78
18/03/2022,77.92
20/03/2022,78.54
23/03/2022,79.11
24/03/2022,81.07
26/03/2022,86.97
28/03/2022,88.71
30/03/2022,90.02
01/04/2022,91.22
04/04/2022,92.53
06/04/2022,93.57
07/04/2022,94.01
09/04/2022,94.78
12/04/2022,95.67
13/04/2022,96.34
14/04/2022,96.75
15/04/2022,97.08
16/04/2022,97.31
17/04/2022,97.57
18/04/2022,97.66
19/04/2022,98.07
21/04/2022,98.43
24/04/2022,99.24
26/04/2022,99.47
27/04/2022,99.81
29/04/2022,100.38
02/05/2022,101.13
03/05/2022,101.29
05/05/2022,101.84
08/05/2022,102.35
09/05/2022,102.63
10/05/2022,102.84
13/05/2022,103.16
14/05/2022,103.33
17/05/2022,103.7
18/05/2022,103.89
21/05/2022,104.13
22/05/2022,104.16
24/05/2022,104.34
26/05/2022,104.47
29/05/2022,104.51
31/05/2022,104.63
01/06/2022,104.66
04/06/2022,104.8
06/06/2022,104.95
07/06/2022,104.96
09/06/2022,105.09
11/06/2022,105.2
12/06/2022,105.15
15/06/2022,105.15
17/06/2022,105.11
19/06/2022,105.05
20/06/2022,105.09
22/06/2022,105.12
24/06/2022,105.07
26/06/2022,105.12
28/06/2022,105.05
01/07/2022,105.01
02/07/2022,104.99
05/07/2022,104.99
06/07/2022,104.95
08/07/2022,105.0
10/07/2022,77.18
11/07/2022,104.88
13/07/2022,104.78
15/07/2022,104.69
18/07/2022,104.65
20/07/2022,104.56
22/07/2022,104.55
24/07/2022,104.49
25/07/2022,104.26
27/07/2022,104.14
29/07/2022,104.1
01/08/2022,104.01
02/08/2022,103.99
04/08/2022,103.81
06/08/2022,103.73
07/08/2022,103.73
10/08/2022,103.7
11/08/2022,103.67
14/08/2022,103.64
15/08/2022,103.56
17/08/2022,103.52
20/08/2022,103.49
21/08/2022,103.42
24/08/2022,103.37
26/08/2022,103.3
27/08/2022,103.27
29/08/2022,103.1
31/08/2022,103.05
03/09/2022,103.01
04/09/2022,102.95
06/09/2022,102.88
07/09/2022,102.82
10/09/2022,102.79
12/09/2022,102.63
14/09/2022,102.55
16/09/2022,102.53
18/09/2022,102.48
19/09/2022,102.4
21/09/2022,102.02
24/09/2022,100.96
26/09/2022,100.43
28/09/2022,99.79
30/09/2022,99.16
02/10/2022,98.78
03/10/2022,98.49
05/10/2022,97.98
07/10/2022,97.36
08/10/2022,97.01
10/10/2022,96.42
13/10/2022,95.79
15/10/2022,95.52
17/10/2022,95.5
19/10/2022,94.95
21/10/2022,94.67
22/10/2022,97
25/10/2022,94.23
27/10/2022,96
28/10/2022,93.91
30/10/2022,93.44
30/10/2022,93.44
31/10/2022,93.42
03/11/2022,92.91
05/11/2022,92.28
07/11/2022,92.25
08/11/2022,91.9
11/11/2022,90.59
12/11/2022,89.94
14/11/2022,89.82
16/11/2022,88.53
19/11/2022,87.15
21/11/2022,87.06
23/11/2022,86.67
26/11/2022,86.04
28/11/2022,86.04
29/11/2022,85.83
01/12/2022,85.64
02/12/2022,85.42
05/12/2022,85.19
06/12/2022,84.92
08/12/2022,84.51
11/12/2022,84.82
12/12/2022,84.84
14/12/2022,84.8
16/12/2022,85.09
19/12/2022,85.5
21/12/2022,85.55
23/12/2022,85.48
24/12/2022,85.45
27/12/2022,85.65
28/12/2022,85.62
30/12/2022,85.49
