Fecha,Reserva
01/01/2022,1.39
02/01/2022,1.39
03/01/2022,1.39
06/01/2022,1.39
07/01/2022,1.4
10/01/2022,1.4
11/01/2022,1.39
13/01/2022,1.39
15/01/2022,1.39
18/01/2022,1.39
19/01/2022,1.38
21/01/2022,1.38
24/01/2022,1.38
25/01/2022,1.37
27/01/2022,1.37
29/01/2022,1.37
31/01/2022,1.37
01/02/2022,1.36
04/02/2022,1.36
06/02/2022,1.35
07/02/2022,1.36
08/02/2022,1.35
09/02/2022,1.35
11/02/2022,1.35
12/02/2022,1.34
12/02/2022,1.34
13/02/2022,1.34
14/02/2022,1.34
15/02/2022,1.34
16/02/2022,1.34
17/02/2022,1.34
18/02/2022,1.34
19/02/2022,1.33
20/02/2022,1.33
21/02/2022,1.33
22/02/2022,1.33
24/02/2022,1.32
25/02/2022,1.32
27/02/2022,1.32
02/03/2022,1.32
03/03/2022,1.31
05/03/2022,1.31
07/03/2022,1.31
10/03/2022,1.31
11/03/2022,1.3
14/03/2022,1.31
15/03/2022,1.34
16/03/2022,1.34
19/03/2022,1.34
21/03/2022,1.35
22/03/2022,1.39
25/03/2022,1.45
27/03/2022,1.48
29/03/2022,1.48
30/03/2022,1.49
01/04/2022,1.49
04/04/2022,1.49
05/04/2022,1.49
07/04/2022,1.51
09/04/2022,1.51
11/04/2022,1.51
13/04/2022,1.51
14/04/2022,1.5
15/04/2022,1.5
16/04/2022,1.5
17/04/2022,1.5
18/04/2022,1.5
20/04/2022,1.49
22/04/2022,1.49
23/04/2022,1.53
25/04/2022,1.56
27/04/2022,1.56
29/04/2022,1.58
01/05/2022,1.58
03/05/2022,1.58
06/05/2022,1.58
07/05/2022,1.58
09/05/2022,1.57
11/05/2022,1.56
13/05/2022,1.56
14/05/2022,1.55
16/05/2022,1.55
19/05/2022,1.53
21/05/2022,1.52
23/05/2022,1.52
24/05/2022,1.51
27/05/2022,1.5
28/05/2022,1.49
30/05/2022,1.49
02/06/2022,1.47
04/06/2022,1.47
05/06/2022,1.46
07/06/2022,1.45
09/06/2022,1.45
10/06/2022,1.44
13/06/2022,1.43
14/06/2022,1.42
17/06/2022,1.41
18/06/2022,1.4
21/06/2022,1.39
22/06/2022,1.38
24/06/2022,1.37
26/06/2022,1.37
29/06/2022,1.35
30/06/2022,1.35
03/07/2022,1.33
05/07/2022,1.33
06/07/2022,1.32
08/07/2022,1.31
09/07/2022,1.36
11/07/2022,1.3
14/07/2022,1.29
15/07/2022,1.28
18/07/2022,1.27
19/07/2022,1.26
22/07/2022,1.25
23/07/2022,1.24
26/07/2022,1.23
27/07/2022,1.22
29/07/2022,1.21
31/07/2022,1.21
03/08/2022,1.19
04/08/2022,1.19
05/08/2022,1.18
07/08/2022,1.17
09/08/2022,1.17
12/08/2022,1.16
13/08/2022,1.15
15/08/2022,1.14
17/08/2022,1.14
20/08/2022,1.12
22/08/2022,1.12
23/08/2022,1.11
25/08/2022,1.11
28/08/2022,1.09
30/08/2022,1.09
31/08/2022,1.08
02/09/2022,1.08
04/09/2022,1.07
06/09/2022,1.06
08/09/2022,1.06
09/09/2022,1.05
12/09/2022,1.05
13/09/2022,1.04
16/09/2022,1.04
18/09/2022,1.03
19/09/2022,1.03
22/09/2022,1.03
23/09/2022,1.02
26/09/2022,1.02
27/09/2022,1.01
29/09/2022,1.0
02/10/2022,1.0
03/10/2022,0.99
05/10/2022,0.99
07/10/2022,0.98
08/10/2022,0.98
11/10/2022,0.98
13/10/2022,0.97
14/10/2022,0.97
17/10/2022,0.97
19/10/2022,0.96
21/10/2022,0.97
22/10/2022,0.96
25/10/2022,0.96
27/10/2022,0.89
28/10/2022,0.96
30/10/2022,0.96
30/10/2022,0.96
01/11/2022,0.95
02/11/2022,0.95
05/11/2022,0.95
06/11/2022,0.94
08/11/2022,0.94
10/11/2022,0.94
13/11/2022,0.94
15/11/2022,0.93
16/11/2022,0.93
19/11/2022,0.93
21/11/2022,0.93
24/11/2022,0.93
26/11/2022,0.92
27/11/2022,0.92
29/11/2022,0.92
01/12/2022,0.92
03/12/2022,0.91
05/12/2022,0.91
06/12/2022,0.91
08/12/2022,0.91
11/12/2022,1.0
12/12/2022,1.03
14/12/2022,1.45
17/12/2022,1.49
18/12/2022,1.48
20/12/2022,1.49
22/12/2022,1.48
24/12/2022,1.48
26/12/2022,1.49
28/12/2022,1.49
30/12/2022,1.48
