Fecha,Reserva
01/01/2019,69.83
02/01/2019,69.81
04/01/2019,69.84
06/01/2019,69.76
07/01/2019,69.77
09/01/2019,69.68
11/01/2019,69.71
12/01/2019,69.69
14/01/2019,69.64
16/01/2019,69.39
18/01/2019,69.25
20/01/2019,69.43
22/01/2019,69.41
23/01/2019,69.41
26/01/2019,69.01
27/01/2019,68.96
30/01/2019,68.69
01/02/2019,69.04
02/02/2019,71.33
04/02/2019,71.35
05/02/2019,71.4
08/02/2019,71.15
09/02/2019,71.15
11/02/2019,71.03
13/02/2019,70.9
14/02/2019,70.83
17/02/2019,70.64
19/02/2019,70.45
21/02/2019,70.35
23/02/2019,70.16
24/02/2019,70.12
25/02/2019,70.11
28/02/2019,69.72
02/03/2019,69.65
04/03/2019,69.49
05/03/2019,69.37
07/03/2019,69.14
08/03/2019,69.08
10/03/2019,68.89
13/03/2019,68.8
15/03/2019,68.7
16/03/2019,68.56
18/03/2019,68.42
20/03/2019,68.19
21/03/2019,68.02
24/03/2019,67.62
26/03/2019,67.44
27/03/2019,67.33
29/03/2019,67.0
31/03/2019,66.81
02/04/2019,66.85
04/04/2019,66.65
06/04/2019,66.48
07/04/2019,66.52
09/04/2019,66.44
11/04/2019,66.27
13/04/2019,66.14
15/04/2019,65.91
16/04/2019,65.73
18/04/2019,65.48
19/04/2019,65.37
22/04/2019,65.1
24/04/2019,65.08
26/04/2019,65.24
28/04/2019,65.25
29/04/2019,65.17
01/05/2019,65.0
03/05/2019,64.72
05/05/2019,64.68
06/05/2019,64.63
08/05/2019,64.32
10/05/2019,64.06
12/05/2019,63.85
14/05/2019,63.49
15/05/2019,63.29
17/05/2019,63.02
19/05/2019,62.69
20/05/2019,62.55
22/05/2019,62.13
24/05/2019,61.84
26/05/2019,61.47
28/05/2019,61.17
30/05/2019,60.82
31/05/2019,60.6
02/06/2019,60.22
04/06/2019,59.83
07/06/2019,59.34
09/06/2019,58.86
10/06/2019,58.69
11/06/2019,58.49
14/06/2019,57.84
16/06/2019,57.71
17/06/2019,57.64
19/06/2019,57.18
21/06/2019,56.78
23/06/2019,56.31
25/06/2019,55.97
27/06/2019,55.46
29/06/2019,55.06
30/06/2019,54.89
02/07/2019,54.49
04/07/2019,54.05
05/07/2019,53.74
08/07/2019,53.16
10/07/2019,52.64
11/07/2019,52.56
12/07/2019,52.49
15/07/2019,52.34
17/07/2019,52.14
19/07/2019,51.99
20/07/2019,51.91
22/07/2019,51.82
24/07/2019,51.64
26/07/2019,51.51
28/07/2019,51.27
30/07/2019,51.15
01/08/2019,50.99
02/08/2019,50.9
04/08/2019,50.78
06/08/2019,50.55
08/08/2019,50.37
10/08/2019,50.21
11/08/2019,50.1
13/08/2019,49.91
14/08/2019,49.87
17/08/2019,49.54
18/08/2019,49.51
21/08/2019,49.24
22/08/2019,49.13
24/08/2019,48.99
25/08/2019,48.94
27/08/2019,48.72
30/08/2019,48.5
01/09/2019,48.32
02/09/2019,48.26
04/09/2019,48.13
05/09/2019,48.03
08/09/2019,47.82
10/09/2019,47.7
12/09/2019,47.51
13/09/2019,4.79
14/09/2019,47.36
16/09/2019,47.42
18/09/2019,47.18
20/09/2019,47.0
23/09/2019,46.91
24/09/2019,46.91
25/09/2019,46.76
28/09/2019,46.49
30/09/2019,46.4
02/10/2019,46.27
03/10/2019,46.19
05/10/2019,45.98
06/10/2019,45.67
08/10/2019,45.25
10/10/2019,45.2
13/10/2019,45.02
15/10/2019,44.83
16/10/2019,44.63
17/10/2019,44.5
19/10/2019,44.1
21/10/2019,43.81
24/10/2019,43.27
25/10/2019,43.13
27/10/2019,42.82
29/10/2019,42.51
31/10/2019,42.45
01/11/2019,42.28
03/11/2019,42.07
05/11/2019,41.75
07/11/2019,41.42
08/11/2019,41.33
10/11/2019,40.99
13/11/2019,40.58
15/11/2019,40.53
16/11/2019,40.44
18/11/2019,40.44
20/11/2019,40.41
21/11/2019,40.43
23/11/2019,40.88
25/11/2019,40.93
27/11/2019,40.93
29/11/2019,40.88
01/12/2019,40.86
03/12/2019,40.95
05/12/2019,40.9
06/12/2019,40.9
08/12/2019,40.85
09/12/2019,40.85
11/12/2019,40.8
14/12/2019,40.66
16/12/2019,40.61
17/12/2019,40.65
19/12/2019,40.6
20/12/2019,40.62
22/12/2019,41.17
25/12/2019,41.22
26/12/2019,41.22
28/12/2019,41.19
30/12/2019,41.11
