Fecha,Reserva
01/01/2013,102.22
02/01/2013,102.25
03/01/2013,102.26
05/01/2013,102.25
08/01/2013,102.26
09/01/2013,102.23
11/01/2013,102.22
12/01/2013,102.18
14/01/2013,102.2
17/01/2013,102.16
19/01/2013,102.55
20/01/2013,103.45
22/01/2013,104.39
23/01/2013,104.77
25/01/2013,105.26
27/01/2013,105.96
29/01/2013,106.39
31/01/2013,106.67
02/02/2013,106.87
04/02/2013,106.95
06/02/2013,107.04
07/02/2013,107.07
10/02/2013,107.06
11/02/2013,107.07
13/02/2013,107.09
14/02/2013,107.06
17/02/2013,106.94
19/02/2013,107.26
21/02/2013,109.36
22/02/2013,111.88
24/02/2013,114.62
25/02/2013,115.22
27/02/2013,115.89
02/03/2013,119.4
04/03/2013,120.62
05/03/2013,119.2
06/03/2013,123.44
08/03/2013,125.22
10/03/2013,122.53
12/03/2013,116.3
15/03/2013,114.33
16/03/2013,114.51
18/03/2013,115.96
19/03/2013,116.53
21/03/2013,119.91
24/03/2013,120.92
25/03/2013,120.92
27/03/2013,113.28
28/03/2013,114.87
31/03/2013,118.18
02/04/2013,125.68
04/04/2013,124.47
06/04/2013,122.54
07/04/2013,119.35
08/04/2013,119.35
10/04/2013,120.62
12/04/2013,121.78
14/04/2013,122.69
16/04/2013,123.42
18/04/2013,124.07
19/04/2013,124.34
22/04/2013,125.01
23/04/2013,125.22
26/04/2013,125.66
27/04/2013,125.84
29/04/2013,126.08
30/04/2013,126.33
02/05/2013,126.66
05/05/2013,127.04
07/05/2013,127.15
08/05/2013,127.35
10/05/2013,127.5
11/05/2013,127.56
14/05/2013,127.71
15/05/2013,128.0
18/05/2013,128.3
19/05/2013,128.35
20/05/2013,128.45
23/05/2013,128.63
25/05/2013,128.7
27/05/2013,128.76
29/05/2013,128.79
30/05/2013,128.79
01/06/2013,128.82
03/06/2013,128.82
04/06/2013,128.82
07/06/2013,128.78
08/06/2013,128.79
10/06/2013,128.79
11/06/2013,128.79
14/06/2013,128.76
16/06/2013,128.69
18/06/2013,128.56
19/06/2013,128.62
21/06/2013,128.56
22/06/2013,128.53
25/06/2013,128.38
27/06/2013,128.25
29/06/2013,128.14
30/06/2013,128.06
02/07/2013,127.89
03/07/2013,127.87
06/07/2013,127.61
07/07/2013,127.57
09/07/2013,127.38
11/07/2013,127.22
13/07/2013,127.03
15/07/2013,126.91
16/07/2013,126.84
19/07/2013,126.6
21/07/2013,126.47
22/07/2013,126.35
24/07/2013,126.24
25/07/2013,126.11
28/07/2013,125.88
29/07/2013,125.76
31/07/2013,125.59
02/08/2013,125.45
03/08/2013,125.31
06/08/2013,125.08
08/08/2013,124.87
10/08/2013,124.69
11/08/2013,124.55
13/08/2013,124.42
14/08/2013,124.27
16/08/2013,124.16
18/08/2013,123.9
20/08/2013,123.77
22/08/2013,123.57
24/08/2013,123.38
26/08/2013,123.17
28/08/2013,122.98
29/08/2013,122.92
31/08/2013,122.76
02/09/2013,122.59
04/09/2013,122.4
06/09/2013,122.22
08/09/2013,122.07
09/09/2013,121.97
11/09/2013,121.82
13/09/2013,121.66
14/09/2013,121.56
17/09/2013,121.31
19/09/2013,121.15
21/09/2013,121.03
23/09/2013,120.84
24/09/2013,120.78
25/09/2013,120.68
27/09/2013,120.53
30/09/2013,120.58
01/10/2013,118.2
03/10/2013,112.86
05/10/2013,107.6
07/10/2013,102.31
08/10/2013,102.09
11/10/2013,101.93
13/10/2013,101.79
14/10/2013,101.74
16/10/2013,101.66
18/10/2013,101.52
19/10/2013,101.44
22/10/2013,101.34
23/10/2013,103.21
26/10/2013,106.28
27/10/2013,106.35
29/10/2013,106.15
30/10/2013,105.98
01/11/2013,105.62
04/11/2013,105.14
05/11/2013,102.49
07/11/2013,96.99
08/11/2013,96.28
11/11/2013,95.77
12/11/2013,95.58
15/11/2013,95.05
16/11/2013,94.88
18/11/2013,94.46
20/11/2013,94.14
21/11/2013,93.94
23/11/2013,93.58
25/11/2013,93.24
27/11/2013,93.08
29/11/2013,92.99
01/12/2013,92.92
02/12/2013,92.85
04/12/2013,92.77
07/12/2013,92.62
08/12/2013,92.56
10/12/2013,92.43
12/12/2013,92.33
14/12/2013,92.28
16/12/2013,92.16
17/12/2013,92.11
19/12/2013,92.06
20/12/2013,92.05
23/12/2013,91.84
24/12/2013,91.79
26/12/2013,93.27
28/12/2013,93.66
30/12/2013,93.86
