Fecha,Reserva
01/01/2019,540.04
02/01/2019,540.42
03/01/2019,541.28
06/01/2019,542.96
07/01/2019,543.23
09/01/2019,544.54
11/01/2019,545.65
13/01/2019,546.1
15/01/2019,547.1
16/01/2019,550.76
19/01/2019,552.16
20/01/2019,553.17
22/01/2019,555.32
23/01/2019,555.91
25/01/2019,557.86
28/01/2019,559.71
30/01/2019,561.11
01/02/2019,563.94
02/02/2019,568.26
03/02/2019,569.95
06/02/2019,573.1
08/02/2019,574.4
09/02/2019,575.82
12/02/2019,578.31
13/02/2019,578.95
14/02/2019,579.73
17/02/2019,581.66
19/02/2019,583.43
21/02/2019,584.76
22/02/2019,585.4
24/02/2019,586.11
26/02/2019,587.24
27/02/2019,587.83
01/03/2019,588.7
04/03/2019,589.67
05/03/2019,590.53
06/03/2019,591.25
08/03/2019,592.39
11/03/2019,593.74
12/03/2019,594.47
15/03/2019,595.56
16/03/2019,595.21
17/03/2019,595.1
19/03/2019,595.81
22/03/2019,596.06
24/03/2019,595.64
25/03/2019,596.07
27/03/2019,596.53
29/03/2019,596.66
30/03/2019,595.82
01/04/2019,596.69
03/04/2019,597.46
05/04/2019,597.81
07/04/2019,599.54
08/04/2019,601.36
10/04/2019,603.45
12/04/2019,604.88
15/04/2019,606.92
16/04/2019,607.32
18/04/2019,608.53
20/04/2019,611.38
22/04/2019,613.36
23/04/2019,614.34
26/04/2019,617.88
27/04/2019,618.94
29/04/2019,620.42
30/04/2019,620.42
03/05/2019,616.59
04/05/2019,615.12
07/05/2019,609.81
08/05/2019,607.87
10/05/2019,604.23
12/05/2019,600.05
13/05/2019,597.74
16/05/2019,590.81
17/05/2019,588.12
19/05/2019,583.22
20/05/2019,581.29
22/05/2019,576.92
25/05/2019,569.92
26/05/2019,567.49
29/05/2019,560.3
30/05/2019,558.19
01/06/2019,553.32
03/06/2019,548.34
04/06/2019,545.82
06/06/2019,540.43
09/06/2019,533.33
10/06/2019,530.82
11/06/2019,528.28
14/06/2019,521.1
15/06/2019,518.42
18/06/2019,511.12
19/06/2019,508.7
21/06/2019,503.64
23/06/2019,498.55
25/06/2019,493.35
26/06/2019,490.81
29/06/2019,483.21
30/06/2019,480.38
02/07/2019,475.26
04/07/2019,469.66
05/07/2019,467.16
08/07/2019,458.89
09/07/2019,456.23
11/07/2019,451.0
12/07/2019,448.19
15/07/2019,440.1
16/07/2019,438.36
18/07/2019,432.13
21/07/2019,424.57
22/07/2019,422.15
24/07/2019,416.96
25/07/2019,414.36
27/07/2019,408.82
29/07/2019,403.79
01/08/2019,396.05
02/08/2019,393.35
03/08/2019,390.54
05/08/2019,385.24
07/08/2019,379.78
09/08/2019,374.54
11/08/2019,369.64
13/08/2019,364.23
15/08/2019,358.97
17/08/2019,352.38
19/08/2019,345.7
21/08/2019,339.09
23/08/2019,332.85
24/08/2019,329.46
26/08/2019,323.14
27/08/2019,319.63
29/08/2019,316.48
31/08/2019,312.71
02/09/2019,309.52
03/09/2019,308.35
05/09/2019,306.13
08/09/2019,303.32
10/09/2019,302.43
12/09/2019,300.61
13/09/2019,299.94
15/09/2019,306.75
16/09/2019,307.85
19/09/2019,308.27
20/09/2019,308.57
22/09/2019,308.9
24/09/2019,308.92
26/09/2019,308.12
28/09/2019,307.35
29/09/2019,307.35
01/10/2019,307.15
04/10/2019,306.82
05/10/2019,305.9
07/10/2019,305.85
09/10/2019,305.68
10/10/2019,304.78
12/10/2019,303.79
14/10/2019,303.71
16/10/2019,303.52
18/10/2019,303.71
19/10/2019,303.27
22/10/2019,304.12
24/10/2019,305.14
25/10/2019,305.68
27/10/2019,306.04
28/10/2019,306.17
30/10/2019,306.84
01/11/2019,307.01
03/11/2019,308.01
05/11/2019,309.1
06/11/2019,309.44
09/11/2019,310.75
11/11/2019,311.58
12/11/2019,312.04
15/11/2019,313.5
16/11/2019,314.01
17/11/2019,314.48
19/11/2019,317.45
22/11/2019,319.55
23/11/2019,323.36
25/11/2019,326.37
27/11/2019,328.25
28/11/2019,329.0
01/12/2019,330.99
02/12/2019,331.83
04/12/2019,333.14
06/12/2019,334.43
08/12/2019,335.59
10/12/2019,336.77
12/12/2019,337.86
14/12/2019,339.34
15/12/2019,339.9
17/12/2019,341.13
19/12/2019,342.57
20/12/2019,343.63
22/12/2019,362.37
24/12/2019,366.63
27/12/2019,370.32
28/12/2019,371.46
30/12/2019,373.27
