Fecha,Reserva
01/01/2018,30.37
02/01/2018,30.35
04/01/2018,30.35
05/01/2018,30.35
08/01/2018,30.43
09/01/2018,30.4
11/01/2018,30.51
12/01/2018,30.49
15/01/2018,30.49
16/01/2018,30.46
19/01/2018,30.46
20/01/2018,30.46
22/01/2018,30.43
24/01/2018,30.43
26/01/2018,30.4
28/01/2018,30.35
30/01/2018,30.29
01/02/2018,30.29
02/02/2018,30.26
03/02/2018,30.26
05/02/2018,30.21
08/02/2018,30.18
09/02/2018,30.15
11/02/2018,30.13
13/02/2018,30.07
15/02/2018,30.07
16/02/2018,30.04
19/02/2018,30.02
20/02/2018,29.99
23/02/2018,29.96
24/02/2018,29.93
26/02/2018,29.88
28/02/2018,30.18
01/03/2018,35.07
04/03/2018,44.38
05/03/2018,44.31
07/03/2018,42.96
08/03/2018,42.64
10/03/2018,42.64
13/03/2018,42.64
14/03/2018,42.61
16/03/2018,42.64
18/03/2018,42.64
20/03/2018,42.2
21/03/2018,42.64
23/03/2018,42.37
25/03/2018,42.64
27/03/2018,42.64
28/03/2018,42.64
30/03/2018,42.64
01/04/2018,42.64
03/04/2018,42.64
05/04/2018,42.64
07/04/2018,42.64
08/04/2018,42.64
10/04/2018,42.64
12/04/2018,42.64
14/04/2018,42.64
16/04/2018,42.64
18/04/2018,42.64
19/04/2018,42.64
21/04/2018,42.64
23/04/2018,42.64
25/04/2018,42.64
27/04/2018,42.64
29/04/2018,42.64
30/04/2018,42.64
02/05/2018,42.64
04/05/2018,42.64
06/05/2018,42.64
08/05/2018,42.64
09/05/2018,42.64
11/05/2018,42.64
13/05/2018,42.64
16/05/2018,42.64
18/05/2018,42.61
19/05/2018,42.64
21/05/2018,42.64
23/05/2018,42.61
25/05/2018,42.64
26/05/2018,42.61
28/05/2018,42.58
30/05/2018,42.58
01/06/2018,42.58
02/06/2018,42.51
05/06/2018,42.41
07/06/2018,42.34
08/06/2018,42.34
10/06/2018,42.27
12/06/2018,42.17
14/06/2018,42.17
15/06/2018,42.14
18/06/2018,41.9
20/06/2018,41.8
21/06/2018,41.69
22/06/2018,41.66
24/06/2018,41.49
27/06/2018,41.39
28/06/2018,41.32
01/07/2018,41.02
02/07/2018,40.99
03/07/2018,40.96
05/07/2018,40.89
07/07/2018,40.69
09/07/2018,40.53
11/07/2018,40.46
12/07/2018,40.32
14/07/2018,40.16
16/07/2018,40.02
18/07/2018,39.83
20/07/2018,39.73
22/07/2018,39.59
24/07/2018,39.44
25/07/2018,39.41
28/07/2018,39.16
30/07/2018,38.98
01/08/2018,38.95
02/08/2018,38.79
03/08/2018,38.76
05/08/2018,38.53
07/08/2018,38.37
10/08/2018,38.08
11/08/2018,38.0
13/08/2018,37.84
14/08/2018,37.73
16/08/2018,37.67
19/08/2018,37.39
21/08/2018,37.2
22/08/2018,37.13
24/08/2018,37.01
25/08/2018,36.92
28/08/2018,36.73
30/08/2018,36.52
31/08/2018,36.45
02/09/2018,36.28
03/09/2018,36.2
05/09/2018,36.08
07/09/2018,35.98
10/09/2018,35.76
11/09/2018,35.69
13/09/2018,35.59
15/09/2018,35.46
17/09/2018,35.34
18/09/2018,35.31
21/09/2018,35.13
22/09/2018,35.06
24/09/2018,34.92
26/09/2018,34.78
28/09/2018,34.66
30/09/2018,34.53
01/10/2018,34.47
03/10/2018,34.41
05/10/2018,34.26
07/10/2018,34.08
09/10/2018,33.96
11/10/2018,33.87
12/10/2018,33.9
15/10/2018,33.93
16/10/2018,33.93
17/10/2018,33.91
19/10/2018,34.05
21/10/2018,34.06
23/10/2018,34.02
26/10/2018,34.01
27/10/2018,33.99
29/10/2018,33.96
30/10/2018,33.96
02/11/2018,34.2
04/11/2018,34.26
05/11/2018,34.32
06/11/2018,34.47
08/11/2018,34.56
11/11/2018,34.62
13/11/2018,34.86
14/11/2018,34.92
16/11/2018,35.01
18/11/2018,35.22
20/11/2018,36.08
21/11/2018,36.23
24/11/2018,36.6
25/11/2018,36.73
27/11/2018,37.58
28/11/2018,37.73
30/11/2018,37.89
02/12/2018,37.96
05/12/2018,38.05
06/12/2018,38.04
08/12/2018,38.08
10/12/2018,38.08
12/12/2018,37.77
14/12/2018,37.77
16/12/2018,37.79
18/12/2018,37.8
19/12/2018,37.42
21/12/2018,36.76
22/12/2018,36.45
25/12/2018,36.45
27/12/2018,36.36
28/12/2018,36.36
30/12/2018,36.32
