Fecha,Reserva
01/01/2015,97.85
02/01/2015,97.87
04/01/2015,97.89
06/01/2015,98.01
07/01/2015,98.02
10/01/2015,98.03
11/01/2015,98.01
13/01/2015,98.04
15/01/2015,98.01
17/01/2015,98.22
18/01/2015,98.31
20/01/2015,99.54
22/01/2015,99.98
24/01/2015,100.21
26/01/2015,100.32
27/01/2015,100.41
30/01/2015,100.55
01/02/2015,100.84
02/02/2015,100.88
03/02/2015,100.98
05/02/2015,101.1
08/02/2015,101.22
10/02/2015,101.23
11/02/2015,101.29
13/02/2015,101.3
15/02/2015,101.38
17/02/2015,101.53
18/02/2015,101.51
20/02/2015,101.53
23/02/2015,101.65
24/02/2015,101.71
26/02/2015,101.66
28/02/2015,101.68
02/03/2015,101.73
03/03/2015,101.7
05/03/2015,101.69
06/03/2015,101.67
08/03/2015,101.69
10/03/2015,101.68
13/03/2015,101.69
14/03/2015,101.69
16/03/2015,101.71
17/03/2015,101.71
20/03/2015,102.09
22/03/2015,102.17
24/03/2015,102.39
25/03/2015,102.45
27/03/2015,102.43
29/03/2015,102.43
31/03/2015,102.49
02/04/2015,102.43
03/04/2015,102.41
06/04/2015,102.43
07/04/2015,102.48
09/04/2015,102.55
10/04/2015,110.12
12/04/2015,102.54
15/04/2015,102.49
16/04/2015,102.6
18/04/2015,102.61
20/04/2015,102.59
22/04/2015,102.54
24/04/2015,102.52
25/04/2015,102.51
28/04/2015,102.55
29/04/2015,102.53
30/04/2015,102.51
03/05/2015,102.41
05/05/2015,102.33
06/05/2015,102.39
08/05/2015,102.32
10/05/2015,102.21
12/05/2015,102.06
13/05/2015,102.01
16/05/2015,100.38
17/05/2015,99.84
19/05/2015,98.85
20/05/2015,98.34
23/05/2015,96.9
24/05/2015,96.41
26/05/2015,95.41
28/05/2015,94.3
30/05/2015,93.23
01/06/2015,92.25
03/06/2015,91.17
04/06/2015,90.64
06/06/2015,89.58
08/06/2015,88.46
10/06/2015,87.36
11/06/2015,86.79
14/06/2015,85.24
16/06/2015,84.59
17/06/2015,84.55
19/06/2015,84.4
21/06/2015,84.16
22/06/2015,84.03
25/06/2015,82.56
26/06/2015,82.39
29/06/2015,82.02
30/06/2015,81.57
02/07/2015,81.26
04/07/2015,81.09
05/07/2015,80.96
07/07/2015,80.81
09/07/2015,80.61
11/07/2015,80.41
13/07/2015,80.23
14/07/2015,80.09
16/07/2015,79.9
19/07/2015,79.56
20/07/2015,79.51
22/07/2015,79.28
24/07/2015,79.02
26/07/2015,78.82
28/07/2015,78.71
30/07/2015,78.45
31/07/2015,78.33
02/08/2015,77.46
04/08/2015,76.57
06/08/2015,75.56
08/08/2015,74.56
10/08/2015,73.71
11/08/2015,73.63
13/08/2015,73.49
15/08/2015,73.28
17/08/2015,73.18
18/08/2015,72.76
20/08/2015,71.87
22/08/2015,70.85
24/08/2015,69.91
26/08/2015,68.98
28/08/2015,68.74
29/08/2015,68.35
01/09/2015,67.1
02/09/2015,66.97
04/09/2015,66.84
05/09/2015,66.77
07/09/2015,66.73
10/09/2015,66.57
11/09/2015,66.47
13/09/2015,66.35
15/09/2015,66.26
16/09/2015,66.21
18/09/2015,66.19
21/09/2015,66.12
23/09/2015,65.98
24/09/2015,65.68
25/09/2015,65.28
28/09/2015,64.11
29/09/2015,63.7
01/10/2015,63.59
04/10/2015,63.48
05/10/2015,63.49
06/10/2015,63.63
09/10/2015,63.58
10/10/2015,63.56
13/10/2015,63.58
14/10/2015,63.68
16/10/2015,63.64
18/10/2015,63.72
19/10/2015,64.02
21/10/2015,64.24
24/10/2015,64.23
26/10/2015,64.24
27/10/2015,64.3
28/10/2015,64.35
31/10/2015,64.33
02/11/2015,64.54
03/11/2015,65.94
05/11/2015,66.79
06/11/2015,66.89
09/11/2015,66.99
10/11/2015,67.01
12/11/2015,67.04
15/11/2015,67.05
16/11/2015,67.06
18/11/2015,67.04
20/11/2015,67.05
21/11/2015,67.03
24/11/2015,67.02
25/11/2015,67.01
27/11/2015,67.01
28/11/2015,66.99
01/12/2015,67.01
03/12/2015,67.0
04/12/2015,66.98
06/12/2015,66.96
08/12/2015,66.96
09/12/2015,66.96
12/12/2015,66.88
14/12/2015,66.9
15/12/2015,66.91
18/12/2015,66.87
19/12/2015,66.9
20/12/2015,66.87
23/12/2015,66.88
25/12/2015,66.85
26/12/2015,66.85
28/12/2015,66.84
30/12/2015,66.93
