Fecha,Reserva
01/01/2017,149.24
02/01/2017,149.34
04/01/2017,149.58
05/01/2017,149.58
08/01/2017,149.76
10/01/2017,149.87
11/01/2017,149.96
13/01/2017,150.1
15/01/2017,150.14
17/01/2017,150.29
19/01/2017,150.42
20/01/2017,150.41
22/01/2017,150.5
24/01/2017,150.62
26/01/2017,150.71
27/01/2017,150.85
30/01/2017,151.2
31/01/2017,151.31
02/02/2017,151.45
03/02/2017,151.58
05/02/2017,151.84
08/02/2017,152.17
10/02/2017,152.34
12/02/2017,152.73
13/02/2017,153.06
14/02/2017,154.51
16/02/2017,155.72
19/02/2017,156.58
20/02/2017,156.85
22/02/2017,157.21
24/02/2017,157.66
25/02/2017,157.86
28/02/2017,158.29
02/03/2017,158.49
04/03/2017,158.8
05/03/2017,159.45
07/03/2017,160.44
09/03/2017,161.01
11/03/2017,161.36
13/03/2017,161.62
14/03/2017,161.87
16/03/2017,162.75
18/03/2017,163.23
20/03/2017,163.57
21/03/2017,163.72
23/03/2017,163.88
26/03/2017,164.24
27/03/2017,164.4
29/03/2017,164.59
30/03/2017,164.68
02/04/2017,164.87
03/04/2017,164.93
05/04/2017,165.02
07/04/2017,165.08
09/04/2017,165.15
11/04/2017,164.91
13/04/2017,162.8
15/04/2017,161.93
17/04/2017,161.41
18/04/2017,160.96
20/04/2017,160.76
21/04/2017,160.64
24/04/2017,158.92
26/04/2017,157.24
27/04/2017,157.26
29/04/2017,157.54
01/05/2017,157.74
02/05/2017,157.88
04/05/2017,158.02
06/05/2017,157.71
08/05/2017,157.32
09/05/2017,156.92
12/05/2017,155.42
13/05/2017,155.6
15/05/2017,155.83
18/05/2017,154.24
19/05/2017,154.04
20/05/2017,153.53
22/05/2017,152.94
25/05/2017,151.62
27/05/2017,149.49
29/05/2017,149.2
30/05/2017,148.39
31/05/2017,147.75
03/06/2017,146.75
05/06/2017,146.45
06/06/2017,146.39
08/06/2017,145.4
10/06/2017,143.53
12/06/2017,143.3
13/06/2017,142.77
15/06/2017,140.84
17/06/2017,138.99
19/06/2017,138.61
21/06/2017,137.38
23/06/2017,135.77
25/06/2017,134.46
27/06/2017,132.76
29/06/2017,132.12
30/06/2017,131.5
02/07/2017,130.87
03/07/2017,130.37
05/07/2017,129.51
07/07/2017,126.83
09/07/2017,125.19
11/07/2017,124.41
12/07/2017,123.4
15/07/2017,119.64
16/07/2017,119.39
19/07/2017,117.06
20/07/2017,115.89
22/07/2017,113.52
23/07/2017,112.99
25/07/2017,112.96
27/07/2017,110.56
29/07/2017,108.84
31/07/2017,107.38
02/08/2017,105.24
03/08/2017,104.15
05/08/2017,103.09
07/08/2017,102.62
09/08/2017,101.15
11/08/2017,100.59
13/08/2017,99.35
15/08/2017,99.22
17/08/2017,98.25
19/08/2017,96.13
20/08/2017,95.13
22/08/2017,94.3
24/08/2017,92.45
26/08/2017,90.88
28/08/2017,90.3
30/08/2017,89.04
31/08/2017,88.75
02/09/2017,88.72
04/09/2017,88.48
06/09/2017,86.53
08/09/2017,85.7
09/09/2017,84.87
12/09/2017,83.65
13/09/2017,82.84
14/09/2017,82.3
16/09/2017,81.54
18/09/2017,80.63
20/09/2017,78.49
23/09/2017,75.91
24/09/2017,75.43
25/09/2017,74.93
28/09/2017,72.22
30/09/2017,70.56
02/10/2017,69.89
03/10/2017,69.0
05/10/2017,68.79
06/10/2017,68.4
08/10/2017,68.11
10/10/2017,67.28
12/10/2017,66.9
14/10/2017,66.87
16/10/2017,66.88
17/10/2017,66.89
19/10/2017,67.09
21/10/2017,67.14
23/10/2017,67.25
25/10/2017,67.32
27/10/2017,67.37
28/10/2017,67.4
31/10/2017,67.41
02/11/2017,67.43
03/11/2017,67.45
05/11/2017,67.55
07/11/2017,67.57
09/11/2017,67.61
10/11/2017,67.58
13/11/2017,67.64
14/11/2017,67.63
16/11/2017,67.7
17/11/2017,67.72
19/11/2017,67.72
21/11/2017,67.72
24/11/2017,67.72
25/11/2017,67.86
27/11/2017,67.92
29/11/2017,68.07
01/12/2017,68.08
03/12/2017,68.16
04/12/2017,68.18
06/12/2017,68.24
08/12/2017,68.33
10/12/2017,68.43
12/12/2017,68.69
13/12/2017,68.76
15/12/2017,68.99
18/12/2017,69.14
19/12/2017,69.21
21/12/2017,69.29
22/12/2017,69.33
25/12/2017,69.47
26/12/2017,69.56
29/12/2017,69.78
30/12/2017,69.84
