Fecha,Reserva
01/01/2021,31.93
02/01/2021,31.89
04/01/2021,31.77
06/01/2021,31.63
08/01/2021,31.55
10/01/2021,31.71
12/01/2021,31.73
13/01/2021,31.71
15/01/2021,31.63
17/01/2021,31.55
19/01/2021,31.48
21/01/2021,31.51
23/01/2021,33.41
24/01/2021,33.96
27/01/2021,41.65
28/01/2021,42.91
31/01/2021,44.15
01/02/2021,45.04
02/02/2021,46.08
05/02/2021,46.97
07/02/2021,34.53
08/02/2021,47.23
11/02/2021,51.3
12/02/2021,51.08
14/02/2021,49.42
16/02/2021,47.98
18/02/2021,48.25
20/02/2021,48.4
22/02/2021,48.44
24/02/2021,48.42
26/02/2021,48.32
28/02/2021,48.23
01/03/2021,48.18
03/03/2021,47.98
05/03/2021,47.84
06/03/2021,47.74
09/03/2021,47.48
11/03/2021,47.28
13/03/2021,47.09
15/03/2021,46.85
16/03/2021,46.75
19/03/2021,46.39
20/03/2021,46.25
22/03/2021,46.01
24/03/2021,45.75
26/03/2021,45.35
27/03/2021,45.16
30/03/2021,44.62
01/04/2021,44.24
02/04/2021,44.03
04/04/2021,43.63
05/04/2021,43.38
07/04/2021,43.03
10/04/2021,42.34
12/04/2021,41.88
13/04/2021,41.67
15/04/2021,41.31
18/04/2021,40.65
19/04/2021,40.4
20/04/2021,40.2
23/04/2021,39.55
24/04/2021,39.28
27/04/2021,38.66
28/04/2021,38.48
30/04/2021,38.26
02/05/2021,37.96
05/05/2021,37.54
06/05/2021,37.37
07/05/2021,37.19
10/05/2021,36.67
12/05/2021,36.37
13/05/2021,36.24
15/05/2021,35.9
18/05/2021,35.31
19/05/2021,35.1
21/05/2021,34.61
23/05/2021,34.13
25/05/2021,33.67
26/05/2021,33.47
28/05/2021,33.06
31/05/2021,32.4
02/06/2021,31.91
03/06/2021,31.69
05/06/2021,31.21
07/06/2021,30.75
09/06/2021,30.35
10/06/2021,30.14
12/06/2021,29.78
14/06/2021,29.41
16/06/2021,28.98
18/06/2021,28.6
20/06/2021,28.15
22/06/2021,27.75
23/06/2021,27.53
25/06/2021,27.07
27/06/2021,26.63
30/06/2021,25.92
01/07/2021,25.72
03/07/2021,25.35
06/07/2021,24.87
07/07/2021,24.72
09/07/2021,24.42
10/07/2021,24.22
12/07/2021,23.86
14/07/2021,23.41
16/07/2021,22.99
19/07/2021,22.4
21/07/2021,22.07
22/07/2021,21.88
24/07/2021,21.56
25/07/2021,21.43
28/07/2021,20.94
30/07/2021,20.66
01/08/2021,20.51
03/08/2021,20.31
04/08/2021,20.23
06/08/2021,20.01
08/08/2021,19.83
09/08/2021,19.77
12/08/2021,19.51
14/08/2021,19.3
16/08/2021,19.12
18/08/2021,18.89
20/08/2021,18.62
21/08/2021,18.46
23/08/2021,18.18
25/08/2021,18.02
27/08/2021,17.8
29/08/2021,17.49
30/08/2021,17.31
02/09/2021,16.88
03/09/2021,16.71
06/09/2021,16.27
07/09/2021,16.27
08/09/2021,15.98
10/09/2021,15.76
12/09/2021,15.58
14/09/2021,15.43
17/09/2021,15.16
19/09/2021,15.03
20/09/2021,14.94
22/09/2021,14.7
23/09/2021,14.57
26/09/2021,14.15
27/09/2021,14.01
29/09/2021,13.69
01/10/2021,13.41
04/10/2021,12.94
06/10/2021,12.69
07/10/2021,12.52
09/10/2021,12.23
11/10/2021,12.14
12/10/2021,11.78
14/10/2021,11.55
17/10/2021,11.31
18/10/2021,11.2
21/10/2021,10.93
22/10/2021,10.85
22/10/2021,10.85
24/10/2021,10.71
25/10/2021,10.61
28/10/2021,10.38
30/10/2021,10.24
31/10/2021,10.19
02/11/2021,10.23
02/11/2021,10.23
03/11/2021,10.2
04/11/2021,10.15
07/11/2021,9.91
08/11/2021,9.81
11/11/2021,9.81
13/11/2021,9.8
15/11/2021,9.8
16/11/2021,9.78
18/11/2021,9.77
19/11/2021,9.77
22/11/2021,9.77
24/11/2021,9.83
26/11/2021,9.91
28/11/2021,9.96
29/11/2021,9.99
02/12/2021,10.15
03/12/2021,10.28
04/12/2021,10.34
05/12/2021,10.39
06/12/2021,10.46
07/12/2021,10.51
08/12/2021,10.58
09/12/2021,10.82
10/12/2021,10.92
12/12/2021,11.33
14/12/2021,11.54
16/12/2021,11.58
18/12/2021,11.66
20/12/2021,11.7
21/12/2021,11.72
25/12/2021,11.92
26/12/2021,12.11
28/12/2021,14.02
30/12/2021,14.56
