Fecha,Reserva
01/01/2017,436.4
02/01/2017,436.54
03/01/2017,436.4
05/01/2017,436.4
08/01/2017,436.4
09/01/2017,436.6
11/01/2017,436.67
13/01/2017,436.81
14/01/2017,436.81
16/01/2017,436.84
18/01/2017,435.58
20/01/2017,434.72
22/01/2017,434.08
23/01/2017,433.94
25/01/2017,433.46
27/01/2017,433.68
29/01/2017,433.81
31/01/2017,433.95
02/02/2017,433.81
03/02/2017,434.08
05/02/2017,434.49
07/02/2017,434.29
10/02/2017,434.63
12/02/2017,434.76
13/02/2017,435.03
15/02/2017,436.95
17/02/2017,437.5
19/02/2017,438.32
20/02/2017,438.6
23/02/2017,438.88
24/02/2017,438.88
26/02/2017,439.15
27/02/2017,439.15
01/03/2017,439.29
04/03/2017,439.85
05/03/2017,442.35
06/03/2017,443.19
09/03/2017,444.72
11/03/2017,444.86
12/03/2017,445.14
15/03/2017,445.7
16/03/2017,445.7
17/03/2017,445.84
19/03/2017,445.98
22/03/2017,445.98
24/03/2017,445.0
25/03/2017,444.03
27/03/2017,442.91
29/03/2017,442.42
31/03/2017,441.65
02/04/2017,440.68
03/04/2017,440.68
05/04/2017,436.51
07/04/2017,433.54
09/04/2017,430.53
10/04/2017,428.3
13/04/2017,420.25
15/04/2017,414.45
17/04/2017,409.29
18/04/2017,407.27
20/04/2017,402.4
21/04/2017,399.28
24/04/2017,387.72
26/04/2017,383.31
27/04/2017,382.17
29/04/2017,382.55
01/05/2017,383.06
03/05/2017,383.31
05/05/2017,383.18
06/05/2017,382.8
08/05/2017,381.02
10/05/2017,377.31
11/05/2017,376.05
13/05/2017,376.81
16/05/2017,377.19
18/05/2017,375.29
19/05/2017,371.95
21/05/2017,365.44
22/05/2017,362.29
24/05/2017,357.6
27/05/2017,350.19
28/05/2017,347.46
30/05/2017,342.37
01/06/2017,336.38
02/06/2017,333.54
05/06/2017,324.43
07/06/2017,318.46
09/06/2017,312.47
10/06/2017,310.39
11/06/2017,307.73
13/06/2017,302.08
16/06/2017,292.91
17/06/2017,289.97
19/06/2017,282.7
21/06/2017,274.85
23/06/2017,267.75
24/06/2017,264.79
27/06/2017,254.25
29/06/2017,247.91
01/07/2017,241.33
02/07/2017,237.92
04/07/2017,230.87
06/07/2017,225.87
08/07/2017,221.62
09/07/2017,219.44
11/07/2017,214.44
13/07/2017,211.48
15/07/2017,208.66
17/07/2017,204.59
18/07/2017,202.35
20/07/2017,200.66
22/07/2017,200.26
24/07/2017,199.77
25/07/2017,199.45
28/07/2017,200.58
29/07/2017,201.38
01/08/2017,201.54
02/08/2017,202.27
04/08/2017,203.79
05/08/2017,203.63
08/08/2017,201.54
09/08/2017,201.46
12/08/2017,201.94
13/08/2017,201.62
14/08/2017,201.22
17/08/2017,198.88
19/08/2017,199.04
20/08/2017,198.07
22/08/2017,195.4
24/08/2017,194.83
26/08/2017,195.07
28/08/2017,194.34
29/08/2017,194.21
01/09/2017,194.18
02/09/2017,192.48
04/09/2017,189.27
06/09/2017,187.83
08/09/2017,187.67
10/09/2017,186.48
11/09/2017,185.92
13/09/2017,185.84
14/09/2017,185.68
16/09/2017,187.11
19/09/2017,187.51
20/09/2017,188.31
22/09/2017,189.75
24/09/2017,190.39
26/09/2017,190.39
28/09/2017,191.28
30/09/2017,192.0
01/10/2017,192.32
03/10/2017,192.32
05/10/2017,193.21
07/10/2017,193.94
09/10/2017,194.26
11/10/2017,193.86
12/10/2017,193.86
14/10/2017,193.37
16/10/2017,193.21
18/10/2017,194.59
19/10/2017,194.91
21/10/2017,194.99
23/10/2017,194.91
25/10/2017,194.97
27/10/2017,194.91
28/10/2017,194.83
30/10/2017,194.87
01/11/2017,194.83
03/11/2017,194.83
05/11/2017,194.83
07/11/2017,194.81
08/11/2017,194.83
11/11/2017,194.83
12/11/2017,194.75
14/11/2017,194.78
16/11/2017,194.68
17/11/2017,194.66
19/11/2017,194.18
21/11/2017,194.06
23/11/2017,194.09
25/11/2017,194.02
27/11/2017,194.07
29/11/2017,194.26
30/11/2017,194.26
03/12/2017,194.26
04/12/2017,194.24
06/12/2017,194.1
08/12/2017,194.1
10/12/2017,194.1
11/12/2017,194.34
14/12/2017,194.59
15/12/2017,194.59
17/12/2017,194.75
19/12/2017,194.67
20/12/2017,194.67
23/12/2017,194.67
24/12/2017,194.66
27/12/2017,194.67
28/12/2017,194.75
30/12/2017,194.75
