Fecha,Reserva
01/01/2018,77.33
02/01/2018,77.27
04/01/2018,77.24
06/01/2018,77.29
07/01/2018,77.26
10/01/2018,77.24
11/01/2018,77.19
13/01/2018,77.12
15/01/2018,77.12
17/01/2018,77.07
19/01/2018,77.07
20/01/2018,77.04
22/01/2018,76.99
24/01/2018,76.97
26/01/2018,76.98
28/01/2018,76.95
29/01/2018,76.89
01/02/2018,76.88
02/02/2018,76.84
03/02/2018,76.79
05/02/2018,76.86
07/02/2018,76.85
09/02/2018,76.8
11/02/2018,76.78
13/02/2018,76.79
14/02/2018,76.79
16/02/2018,76.76
19/02/2018,76.73
20/02/2018,76.72
23/02/2018,76.65
24/02/2018,76.64
26/02/2018,76.6
28/02/2018,76.69
02/03/2018,77.26
03/03/2018,81.58
05/03/2018,88.3
06/03/2018,92.76
09/03/2018,98.54
11/03/2018,101.37
13/03/2018,109.61
15/03/2018,112.66
16/03/2018,120.73
17/03/2018,123.96
19/03/2018,135.93
21/03/2018,140.13
23/03/2018,141.73
26/03/2018,143.92
27/03/2018,144.37
29/03/2018,144.98
31/03/2018,145.36
02/04/2018,145.67
03/04/2018,145.76
05/04/2018,145.69
07/04/2018,145.84
09/04/2018,146.01
11/04/2018,146.97
13/04/2018,149.58
15/04/2018,143.89
16/04/2018,146.05
18/04/2018,149.42
19/04/2018,153.61
21/04/2018,154.14
23/04/2018,154.47
26/04/2018,154.59
28/04/2018,154.66
29/04/2018,154.63
01/05/2018,154.7
02/05/2018,154.76
04/05/2018,154.8
06/05/2018,154.81
08/05/2018,154.85
10/05/2018,154.89
11/05/2018,154.9
13/05/2018,154.84
16/05/2018,154.79
17/05/2018,154.74
19/05/2018,154.68
20/05/2018,154.65
23/05/2018,154.64
24/05/2018,154.58
27/05/2018,154.49
28/05/2018,154.53
30/05/2018,154.49
01/06/2018,154.43
02/06/2018,154.36
04/06/2018,154.44
06/06/2018,154.37
08/06/2018,154.39
10/06/2018,154.32
12/06/2018,154.25
14/06/2018,154.17
15/06/2018,154.13
17/06/2018,154.01
20/06/2018,153.81
21/06/2018,153.73
22/06/2018,153.67
25/06/2018,153.44
27/06/2018,153.3
29/06/2018,152.29
30/06/2018,151.79
02/07/2018,150.72
03/07/2018,150.23
05/07/2018,149.11
07/07/2018,148.11
09/07/2018,147.11
11/07/2018,146.03
13/07/2018,144.98
15/07/2018,143.98
17/07/2018,143.0
18/07/2018,142.53
20/07/2018,141.56
22/07/2018,140.54
23/07/2018,140.04
25/07/2018,139.06
28/07/2018,137.56
30/07/2018,136.55
31/07/2018,136.06
02/08/2018,135.1
04/08/2018,134.13
06/08/2018,133.12
07/08/2018,132.65
10/08/2018,131.15
11/08/2018,130.61
13/08/2018,129.66
15/08/2018,128.61
16/08/2018,128.11
18/08/2018,127.21
20/08/2018,126.23
23/08/2018,124.73
24/08/2018,124.25
26/08/2018,123.24
28/08/2018,122.27
29/08/2018,121.72
31/08/2018,120.76
02/09/2018,119.76
03/09/2018,119.3
05/09/2018,118.21
07/09/2018,117.23
09/09/2018,116.7
11/09/2018,116.25
13/09/2018,115.77
15/09/2018,115.27
16/09/2018,115.06
19/09/2018,114.37
20/09/2018,114.14
22/09/2018,114.05
24/09/2018,113.95
26/09/2018,113.85
27/09/2018,114.01
30/09/2018,113.87
01/10/2018,113.82
03/10/2018,113.68
05/10/2018,113.58
06/10/2018,113.52
09/10/2018,113.36
10/10/2018,113.45
12/10/2018,113.36
15/10/2018,113.27
16/10/2018,113.27
17/10/2018,113.24
19/10/2018,113.21
22/10/2018,113.09
23/10/2018,113.05
26/10/2018,112.96
27/10/2018,112.94
29/10/2018,112.87
31/10/2018,112.87
02/11/2018,112.8
04/11/2018,112.75
05/11/2018,112.8
06/11/2018,112.74
08/11/2018,112.72
10/11/2018,112.87
13/11/2018,112.8
15/11/2018,112.79
16/11/2018,112.75
17/11/2018,112.72
20/11/2018,112.77
21/11/2018,112.87
24/11/2018,112.92
25/11/2018,112.94
27/11/2018,113.13
28/11/2018,113.19
30/11/2018,113.32
03/12/2018,113.38
05/12/2018,113.41
06/12/2018,113.39
08/12/2018,113.41
10/12/2018,113.4
11/12/2018,113.41
13/12/2018,113.41
15/12/2018,113.43
18/12/2018,113.43
19/12/2018,113.46
20/12/2018,113.47
22/12/2018,113.45
25/12/2018,113.44
27/12/2018,113.42
29/12/2018,113.41
30/12/2018,113.39
