Fecha,Reserva
01/01/2018,44.24
02/01/2018,44.1
04/01/2018,44.24
06/01/2018,44.51
08/01/2018,44.3
09/01/2018,44.39
11/01/2018,44.39
12/01/2018,44.71
15/01/2018,44.51
16/01/2018,44.53
18/01/2018,44.65
20/01/2018,44.77
22/01/2018,44.71
23/01/2018,44.8
25/01/2018,45.09
27/01/2018,45.3
29/01/2018,45.24
01/02/2018,45.53
02/02/2018,45.56
04/02/2018,45.59
06/02/2018,44.33
07/02/2018,45.65
09/02/2018,45.8
12/02/2018,45.8
13/02/2018,45.86
15/02/2018,45.92
17/02/2018,46.04
19/02/2018,45.98
20/02/2018,45.95
23/02/2018,45.77
24/02/2018,45.74
25/02/2018,45.71
28/02/2018,45.53
01/03/2018,48.56
03/03/2018,48.83
05/03/2018,50.51
07/03/2018,50.63
09/03/2018,51.2
10/03/2018,51.62
12/03/2018,50.33
14/03/2018,50.12
16/03/2018,51.32
17/03/2018,52.88
19/03/2018,52.58
22/03/2018,53.36
24/03/2018,53.06
25/03/2018,52.91
27/03/2018,52.55
28/03/2018,52.31
30/03/2018,51.92
01/04/2018,51.5
04/04/2018,50.78
06/04/2018,50.39
07/04/2018,50.21
08/04/2018,50.06
10/04/2018,49.67
12/04/2018,49.37
15/04/2018,49.43
16/04/2018,49.31
18/04/2018,49.19
19/04/2018,49.25
22/04/2018,49.07
24/04/2018,48.95
26/04/2018,49.58
27/04/2018,49.55
29/04/2018,49.16
30/04/2018,49.01
03/05/2018,48.47
04/05/2018,48.32
07/05/2018,47.81
08/05/2018,47.56
09/05/2018,47.35
11/05/2018,47.23
13/05/2018,46.93
15/05/2018,46.54
18/05/2018,45.8
19/05/2018,45.65
21/05/2018,45.5
23/05/2018,45.12
25/05/2018,44.65
27/05/2018,44.3
28/05/2018,44.16
30/05/2018,43.75
01/06/2018,43.41
03/06/2018,42.96
04/06/2018,42.76
07/06/2018,42.12
08/06/2018,41.9
10/06/2018,41.55
11/06/2018,41.31
13/06/2018,40.94
16/06/2018,40.25
17/06/2018,39.99
20/06/2018,39.23
21/06/2018,39.13
23/06/2018,39.03
24/06/2018,39.03
27/06/2018,38.83
28/06/2018,38.83
01/07/2018,38.73
02/07/2018,38.56
03/07/2018,38.58
06/07/2018,38.78
07/07/2018,38.83
09/07/2018,38.48
11/07/2018,38.53
13/07/2018,38.68
14/07/2018,38.73
16/07/2018,38.41
19/07/2018,38.58
21/07/2018,38.78
22/07/2018,38.58
23/07/2018,38.39
26/07/2018,38.58
28/07/2018,38.78
30/07/2018,38.39
31/07/2018,38.39
02/08/2018,38.58
04/08/2018,38.73
06/08/2018,38.34
08/08/2018,38.43
09/08/2018,38.53
11/08/2018,38.68
13/08/2018,38.34
15/08/2018,38.43
16/08/2018,38.29
18/08/2018,38.43
20/08/2018,38.09
22/08/2018,38.19
24/08/2018,38.34
25/08/2018,38.48
27/08/2018,38.14
29/08/2018,38.19
01/09/2018,38.43
02/09/2018,38.34
03/09/2018,38.24
06/09/2018,39.32
08/09/2018,39.89
10/09/2018,39.64
11/09/2018,39.72
13/09/2018,39.99
15/09/2018,40.23
17/09/2018,39.84
18/09/2018,39.94
21/09/2018,40.36
22/09/2018,40.51
24/09/2018,40.05
25/09/2018,40.1
28/09/2018,40.51
29/09/2018,40.67
02/10/2018,39.99
03/10/2018,39.97
05/10/2018,40.2
06/10/2018,40.36
08/10/2018,39.94
10/10/2018,40.17
13/10/2018,40.7
15/10/2018,40.33
16/10/2018,40.49
18/10/2018,40.83
20/10/2018,41.2
22/10/2018,40.88
23/10/2018,41.02
26/10/2018,41.44
27/10/2018,41.63
29/10/2018,41.28
31/10/2018,41.42
01/11/2018,41.85
03/11/2018,41.88
05/11/2018,41.58
06/11/2018,41.69
08/11/2018,42.1
10/11/2018,42.12
12/11/2018,41.82
14/11/2018,42.26
16/11/2018,42.65
18/11/2018,42.7
19/11/2018,42.84
21/11/2018,43.5
24/11/2018,44.27
25/11/2018,44.16
27/11/2018,43.87
28/11/2018,43.96
01/12/2018,44.51
03/12/2018,44.19
05/12/2018,44.53
07/12/2018,44.48
08/12/2018,44.65
10/12/2018,44.33
11/12/2018,44.48
14/12/2018,45.15
15/12/2018,45.36
17/12/2018,45.03
19/12/2018,45.39
21/12/2018,45.8
22/12/2018,46.01
25/12/2018,45.5
26/12/2018,45.33
28/12/2018,45.65
30/12/2018,45.5
