Fecha,Reserva
01/01/2020,10.11
02/01/2020,10.1
04/01/2020,10.09
06/01/2020,10.07
08/01/2020,10.06
09/01/2020,10.02
11/01/2020,10.01
13/01/2020,9.99
15/01/2020,9.97
17/01/2020,9.95
19/01/2020,9.94
21/01/2020,9.92
23/01/2020,9.94
24/01/2020,9.99
26/01/2020,11.78
27/01/2020,11.95
29/01/2020,12.07
01/02/2020,12.13
02/02/2020,12.14
04/02/2020,12.16
06/02/2020,12.15
08/02/2020,12.16
10/02/2020,12.16
12/02/2020,12.17
13/02/2020,12.17
15/02/2020,12.17
17/02/2020,12.17
18/02/2020,12.16
20/02/2020,12.16
23/02/2020,12.16
24/02/2020,12.15
26/02/2020,12.15
27/02/2020,12.14
29/02/2020,12.13
02/03/2020,12.13
04/03/2020,12.12
06/03/2020,12.08
08/03/2020,12.06
10/03/2020,12.04
12/03/2020,12.03
13/03/2020,12.01
15/03/2020,12.0
17/03/2020,11.98
19/03/2020,11.97
20/03/2020,11.96
23/03/2020,11.96
25/03/2020,12.02
27/03/2020,12.11
29/03/2020,12.15
30/03/2020,12.16
31/03/2020,12.16
02/04/2020,13.3
04/04/2020,13.61
06/04/2020,13.74
08/04/2020,13.82
10/04/2020,13.88
12/04/2020,13.92
14/04/2020,13.98
15/04/2020,14.01
17/04/2020,14.18
19/04/2020,14.27
21/04/2020,14.33
23/04/2020,14.37
25/04/2020,14.39
26/04/2020,14.41
29/04/2020,14.41
30/04/2020,14.41
02/05/2020,14.4
03/05/2020,14.39
06/05/2020,14.39
07/05/2020,14.36
09/05/2020,14.36
12/05/2020,14.38
13/05/2020,14.41
15/05/2020,14.41
17/05/2020,14.39
19/05/2020,14.39
20/05/2020,14.38
22/05/2020,14.38
24/05/2020,14.38
26/05/2020,14.35
28/05/2020,14.33
30/05/2020,14.32
01/06/2020,13.33
02/06/2020,14.3
04/06/2020,14.28
05/06/2020,14.27
08/06/2020,14.26
10/06/2020,14.24
11/06/2020,14.24
13/06/2020,14.21
15/06/2020,14.2
17/06/2020,14.17
18/06/2020,14.18
20/06/2020,14.15
23/06/2020,14.14
24/06/2020,14.13
26/06/2020,14.1
28/06/2020,14.09
30/06/2020,14.07
01/07/2020,14.07
03/07/2020,14.01
05/07/2020,13.99
07/07/2020,13.97
09/07/2020,13.95
10/07/2020,13.94
12/07/2020,13.86
14/07/2020,13.83
17/07/2020,13.8
18/07/2020,13.78
19/07/2020,13.76
22/07/2020,13.73
24/07/2020,13.72
26/07/2020,13.7
28/07/2020,13.66
29/07/2020,13.66
31/07/2020,13.64
01/08/2020,13.64
03/08/2020,13.59
05/08/2020,13.58
07/08/2020,13.53
09/08/2020,13.52
11/08/2020,13.5
12/08/2020,13.5
14/08/2020,13.49
16/08/2020,13.47
18/08/2020,13.45
20/08/2020,13.43
22/08/2020,13.41
23/08/2020,13.39
25/08/2020,13.37
27/08/2020,13.34
29/08/2020,13.32
31/08/2020,13.3
01/09/2020,13.3
03/09/2020,13.23
06/09/2020,13.18
08/09/2020,13.16
09/09/2020,13.15
11/09/2020,13.14
13/09/2020,13.12
15/09/2020,13.1
17/09/2020,13.08
19/09/2020,13.08
20/09/2020,13.07
22/09/2020,13.05
24/09/2020,13.01
25/09/2020,13.0
27/09/2020,12.94
29/09/2020,12.9
01/10/2020,12.88
03/10/2020,12.84
05/10/2020,12.82
06/10/2020,12.8
08/10/2020,12.74
11/10/2020,12.68
12/10/2020,12.67
14/10/2020,12.64
16/10/2020,12.6
17/10/2020,12.59
20/10/2020,12.54
22/10/2020,12.52
23/10/2020,12.51
25/10/2020,12.48
26/10/2020,12.46
28/10/2020,12.44
30/10/2020,12.4
01/11/2020,12.38
04/11/2020,12.35
05/11/2020,12.33
06/11/2020,12.35
08/11/2020,12.34
10/11/2020,12.31
12/11/2020,12.29
14/11/2020,12.27
16/11/2020,12.25
18/11/2020,12.23
20/11/2020,12.22
22/11/2020,12.2
24/11/2020,12.19
25/11/2020,12.19
27/11/2020,12.28
28/11/2020,12.3
01/12/2020,12.29
03/12/2020,12.25
05/12/2020,12.24
06/12/2020,12.22
08/12/2020,12.22
10/12/2020,12.2
11/12/2020,12.2
13/12/2020,12.28
16/12/2020,12.28
17/12/2020,12.28
19/12/2020,12.27
21/12/2020,12.25
23/12/2020,12.24
25/12/2020,12.22
27/12/2020,12.2
28/12/2020,12.2
30/12/2020,12.19
