Fecha,Reserva
01/01/2015,78.0
02/01/2015,78.05
04/01/2015,78.14
06/01/2015,78.28
08/01/2015,78.38
09/01/2015,78.42
11/01/2015,78.52
12/01/2015,78.61
14/01/2015,78.71
16/01/2015,78.9
18/01/2015,78.99
21/01/2015,79.33
22/01/2015,79.47
23/01/2015,79.52
26/01/2015,79.76
28/01/2015,79.85
29/01/2015,79.9
31/01/2015,80.09
02/02/2015,80.33
04/02/2015,80.53
06/02/2015,80.57
07/02/2015,80.67
09/02/2015,80.72
12/02/2015,81.06
13/02/2015,81.2
14/02/2015,81.25
17/02/2015,81.54
18/02/2015,81.69
21/02/2015,81.88
22/02/2015,81.98
24/02/2015,82.13
25/02/2015,82.13
27/02/2015,82.27
01/03/2015,82.37
04/03/2015,82.52
05/03/2015,82.61
07/03/2015,82.71
09/03/2015,82.81
11/03/2015,82.91
13/03/2015,83.01
14/03/2015,83.01
16/03/2015,83.06
18/03/2015,83.15
20/03/2015,83.25
21/03/2015,83.4
24/03/2015,83.65
25/03/2015,83.7
27/03/2015,83.8
28/03/2015,83.84
31/03/2015,83.99
01/04/2015,83.99
04/04/2015,83.99
05/04/2015,83.99
07/04/2015,83.89
09/04/2015,83.94
10/04/2015,95.16
12/04/2015,84.09
14/04/2015,84.19
17/04/2015,84.29
18/04/2015,84.24
20/04/2015,84.34
22/04/2015,84.19
24/04/2015,84.14
26/04/2015,83.99
28/04/2015,84.09
29/04/2015,84.09
30/04/2015,84.14
03/05/2015,83.89
05/05/2015,83.8
06/05/2015,83.7
08/05/2015,83.5
10/05/2015,83.3
11/05/2015,83.2
14/05/2015,82.76
16/05/2015,82.42
17/05/2015,82.27
19/05/2015,81.98
21/05/2015,81.69
22/05/2015,81.64
24/05/2015,81.4
27/05/2015,81.4
28/05/2015,81.3
30/05/2015,81.01
31/05/2015,80.86
02/06/2015,80.82
05/06/2015,80.43
06/06/2015,80.33
08/06/2015,80.09
10/06/2015,79.81
12/06/2015,79.47
14/06/2015,26.68
15/06/2015,79.0
18/06/2015,78.4
19/06/2015,78.23
21/06/2015,77.95
22/06/2015,77.76
25/06/2015,77.34
26/06/2015,77.11
29/06/2015,76.5
01/07/2015,76.03
02/07/2015,75.81
03/07/2015,75.62
05/07/2015,75.16
07/07/2015,74.74
10/07/2015,74.06
11/07/2015,73.79
12/07/2015,73.6
15/07/2015,72.93
17/07/2015,72.52
18/07/2015,72.25
20/07/2015,71.76
22/07/2015,71.37
24/07/2015,70.96
25/07/2015,70.61
27/07/2015,70.13
29/07/2015,69.72
01/08/2015,68.95
02/08/2015,68.73
04/08/2015,68.41
06/08/2015,67.98
08/08/2015,67.4
10/08/2015,66.97
11/08/2015,66.84
13/08/2015,66.42
15/08/2015,65.91
17/08/2015,65.49
18/08/2015,65.37
21/08/2015,64.72
22/08/2015,64.48
24/08/2015,64.07
25/08/2015,63.95
27/08/2015,63.61
29/08/2015,63.15
31/08/2015,62.78
02/09/2015,62.54
04/09/2015,62.25
06/09/2015,61.88
07/09/2015,61.8
09/09/2015,62.13
11/09/2015,62.13
13/09/2015,61.88
15/09/2015,61.6
16/09/2015,61.48
19/09/2015,61.19
21/09/2015,60.99
23/09/2015,60.75
24/09/2015,60.59
25/09/2015,60.47
28/09/2015,60.06
29/09/2015,60.06
01/10/2015,60.3
03/10/2015,60.26
05/10/2015,60.14
07/10/2015,60.1
09/10/2015,59.94
11/10/2015,59.82
12/10/2015,59.86
14/10/2015,59.74
16/10/2015,59.7
18/10/2015,59.78
20/10/2015,60.02
22/10/2015,60.06
24/10/2015,60.14
26/10/2015,60.26
27/10/2015,60.43
28/10/2015,60.51
30/10/2015,60.55
02/11/2015,60.95
03/11/2015,61.03
05/11/2015,61.15
07/11/2015,61.23
09/11/2015,61.31
11/11/2015,61.4
13/11/2015,61.48
14/11/2015,61.52
16/11/2015,61.64
18/11/2015,61.72
19/11/2015,61.72
21/11/2015,61.8
23/11/2015,61.92
26/11/2015,62.05
27/11/2015,62.05
28/11/2015,62.13
30/11/2015,62.21
02/12/2015,62.29
05/12/2015,62.41
06/12/2015,62.41
08/12/2015,62.54
10/12/2015,62.62
12/12/2015,62.7
14/12/2015,62.83
16/12/2015,62.91
17/12/2015,62.91
19/12/2015,63.03
21/12/2015,63.07
23/12/2015,63.15
24/12/2015,63.2
26/12/2015,63.28
28/12/2015,63.36
30/12/2015,63.44
