Fecha,Reserva
01/01/2017,84.35
02/01/2017,84.28
04/01/2017,83.87
06/01/2017,83.8
08/01/2017,83.52
09/01/2017,83.38
11/01/2017,83.11
13/01/2017,82.83
15/01/2017,82.56
17/01/2017,82.28
19/01/2017,82.01
20/01/2017,81.87
22/01/2017,81.67
23/01/2017,81.6
25/01/2017,81.33
27/01/2017,81.05
30/01/2017,80.65
31/01/2017,80.51
02/02/2017,80.17
03/02/2017,80.11
05/02/2017,79.77
08/02/2017,79.64
10/02/2017,79.43
12/02/2017,79.57
13/02/2017,82.42
14/02/2017,83.66
16/02/2017,87.09
18/02/2017,88.94
20/02/2017,89.95
22/02/2017,90.6
24/02/2017,90.96
25/02/2017,90.76
27/02/2017,90.82
01/03/2017,90.6
04/03/2017,90.53
05/03/2017,92.64
07/03/2017,95.16
08/03/2017,96.13
10/03/2017,97.25
12/03/2017,97.94
14/03/2017,98.24
16/03/2017,98.92
17/03/2017,99.15
20/03/2017,99.15
22/03/2017,98.85
23/03/2017,98.92
26/03/2017,98.47
27/03/2017,98.47
29/03/2017,98.31
30/03/2017,98.16
01/04/2017,97.86
04/04/2017,97.41
05/04/2017,97.25
07/04/2017,96.95
08/04/2017,96.73
11/04/2017,96.05
13/04/2017,95.75
14/04/2017,95.53
17/04/2017,95.08
18/04/2017,94.86
20/04/2017,94.34
22/04/2017,93.89
23/04/2017,93.67
25/04/2017,93.38
27/04/2017,92.94
29/04/2017,92.71
01/05/2017,92.42
02/05/2017,92.28
05/05/2017,91.62
06/05/2017,91.4
08/05/2017,91.03
10/05/2017,90.6
12/05/2017,90.53
14/05/2017,90.24
15/05/2017,90.09
18/05/2017,89.44
19/05/2017,89.3
20/05/2017,89.09
23/05/2017,88.44
24/05/2017,89.66
26/05/2017,89.3
28/05/2017,87.23
30/05/2017,86.74
01/06/2017,86.31
02/06/2017,86.1
04/06/2017,85.54
06/06/2017,85.05
09/06/2017,84.21
10/06/2017,83.94
12/06/2017,83.38
13/06/2017,83.11
16/06/2017,82.28
18/06/2017,81.73
19/06/2017,81.46
21/06/2017,80.92
22/06/2017,80.65
24/06/2017,80.11
26/06/2017,79.57
29/06/2017,78.76
30/06/2017,78.5
02/07/2017,77.83
03/07/2017,77.5
05/07/2017,76.91
08/07/2017,75.92
09/07/2017,75.59
11/07/2017,74.94
13/07/2017,74.3
14/07/2017,73.97
17/07/2017,73.01
18/07/2017,72.69
20/07/2017,72.18
22/07/2017,71.68
23/07/2017,71.36
26/07/2017,70.42
28/07/2017,69.86
30/07/2017,69.7
31/07/2017,69.05
02/08/2017,68.49
03/08/2017,68.19
06/08/2017,67.27
07/08/2017,66.97
10/08/2017,66.24
11/08/2017,65.94
13/08/2017,65.34
14/08/2017,65.04
17/08/2017,64.14
19/08/2017,63.55
21/08/2017,62.97
22/08/2017,62.67
24/08/2017,62.09
26/08/2017,61.51
28/08/2017,60.94
29/08/2017,60.71
01/09/2017,59.85
02/09/2017,59.57
04/09/2017,59.0
05/09/2017,58.78
08/09/2017,57.94
10/09/2017,57.44
12/09/2017,56.88
13/09/2017,56.61
15/09/2017,56.06
17/09/2017,55.52
18/09/2017,55.24
20/09/2017,54.7
22/09/2017,54.17
24/09/2017,53.63
26/09/2017,53.1
28/09/2017,52.58
29/09/2017,52.37
01/10/2017,51.84
04/10/2017,51.06
05/10/2017,50.81
06/10/2017,50.55
09/10/2017,49.89
10/10/2017,49.63
12/10/2017,49.12
14/10/2017,48.62
16/10/2017,48.12
17/10/2017,47.87
19/10/2017,48.32
21/10/2017,48.02
23/10/2017,47.63
26/10/2017,47.03
27/10/2017,46.79
29/10/2017,46.3
31/10/2017,45.86
01/11/2017,45.62
03/11/2017,45.53
05/11/2017,45.29
06/11/2017,45.14
08/11/2017,44.76
11/11/2017,44.09
12/11/2017,44.09
14/11/2017,43.44
16/11/2017,42.97
17/11/2017,42.78
19/11/2017,42.37
21/11/2017,41.91
23/11/2017,41.5
25/11/2017,41.05
27/11/2017,40.64
29/11/2017,40.37
30/11/2017,40.64
03/12/2017,40.1
04/12/2017,39.93
06/12/2017,39.57
08/12/2017,39.22
10/12/2017,38.87
12/12/2017,38.78
13/12/2017,38.69
15/12/2017,38.32
17/12/2017,38.17
19/12/2017,37.87
21/12/2017,37.57
23/12/2017,37.23
25/12/2017,37.89
26/12/2017,36.81
28/12/2017,36.47
30/12/2017,36.64
