Fecha,Reserva
01/01/2014,4.7
02/01/2014,4.71
03/01/2014,4.71
06/01/2014,4.73
08/01/2014,4.74
10/01/2014,4.74
11/01/2014,4.75
12/01/2014,4.75
14/01/2014,4.78
17/01/2014,4.8
19/01/2014,4.94
20/01/2014,5.08
22/01/2014,5.13
23/01/2014,5.15
25/01/2014,5.17
28/01/2014,5.18
30/01/2014,5.22
01/02/2014,5.22
02/02/2014,5.23
03/02/2014,5.25
06/02/2014,5.27
08/02/2014,5.3
10/02/2014,5.37
11/02/2014,5.4
13/02/2014,5.42
15/02/2014,5.46
16/02/2014,5.48
18/02/2014,5.48
21/02/2014,5.51
22/02/2014,5.51
24/02/2014,5.52
26/02/2014,5.54
27/02/2014,5.55
01/03/2014,5.55
04/03/2014,5.58
05/03/2014,5.58
06/03/2014,5.59
08/03/2014,5.59
10/03/2014,5.59
13/03/2014,5.59
14/03/2014,5.59
16/03/2014,5.6
17/03/2014,5.61
19/03/2014,5.61
22/03/2014,5.61
24/03/2014,5.62
26/03/2014,5.64
27/03/2014,5.64
28/03/2014,5.66
31/03/2014,5.69
01/04/2014,5.72
03/04/2014,5.95
05/04/2014,6.0
07/04/2014,6.01
09/04/2014,6.02
11/04/2014,6.04
13/04/2014,6.05
15/04/2014,6.05
16/04/2014,6.06
18/04/2014,6.06
20/04/2014,6.07
21/04/2014,6.13
23/04/2014,6.16
25/04/2014,6.16
27/04/2014,6.17
29/04/2014,6.17
30/04/2014,6.17
02/05/2014,6.17
05/05/2014,6.17
06/05/2014,6.17
08/05/2014,6.18
10/05/2014,6.19
12/05/2014,6.19
14/05/2014,6.2
15/05/2014,6.22
17/05/2014,6.22
19/05/2014,6.21
21/05/2014,6.23
22/05/2014,6.23
25/05/2014,6.23
26/05/2014,6.22
28/05/2014,6.23
30/05/2014,6.23
01/06/2014,6.21
03/06/2014,6.21
05/06/2014,6.2
07/06/2014,6.2
08/06/2014,6.19
10/06/2014,6.19
11/06/2014,6.19
13/06/2014,6.19
15/06/2014,6.19
17/06/2014,6.19
19/06/2014,6.19
21/06/2014,6.19
23/06/2014,6.17
25/06/2014,6.22
26/06/2014,6.21
29/06/2014,6.21
01/07/2014,6.19
02/07/2014,6.17
04/07/2014,6.17
05/07/2014,6.16
07/07/2014,6.16
10/07/2014,6.13
11/07/2014,6.13
13/07/2014,6.13
14/07/2014,6.13
17/07/2014,6.11
18/07/2014,6.11
21/07/2014,6.09
22/07/2014,6.09
23/07/2014,6.08
26/07/2014,6.08
27/07/2014,6.08
29/07/2014,6.06
31/07/2014,6.06
02/08/2014,6.05
04/08/2014,6.05
05/08/2014,6.0
07/08/2014,5.55
10/08/2014,5.29
11/08/2014,5.16
13/08/2014,4.95
15/08/2014,4.7
17/08/2014,4.5
19/08/2014,4.25
21/08/2014,4.04
22/08/2014,3.93
24/08/2014,3.92
25/08/2014,3.92
28/08/2014,3.92
30/08/2014,6.06
31/08/2014,6.06
02/09/2014,3.92
03/09/2014,3.92
05/09/2014,3.92
07/09/2014,3.92
09/09/2014,3.92
11/09/2014,3.92
13/09/2014,3.92
14/09/2014,3.92
16/09/2014,3.92
19/09/2014,3.92
20/09/2014,3.96
23/09/2014,3.99
24/09/2014,3.99
25/09/2014,3.99
27/09/2014,3.99
29/09/2014,3.99
01/10/2014,3.99
03/10/2014,3.99
05/10/2014,3.99
07/10/2014,3.99
09/10/2014,4.0
10/10/2014,4.0
12/10/2014,4.11
14/10/2014,4.19
16/10/2014,4.23
18/10/2014,4.25
19/10/2014,4.25
21/10/2014,4.25
24/10/2014,4.25
25/10/2014,4.25
27/10/2014,4.26
29/10/2014,4.26
30/10/2014,4.27
01/11/2014,4.27
04/11/2014,4.28
05/11/2014,4.3
07/11/2014,4.3
08/11/2014,4.29
10/11/2014,4.28
13/11/2014,4.29
15/11/2014,4.39
16/11/2014,4.41
18/11/2014,4.42
19/11/2014,4.42
21/11/2014,4.47
23/11/2014,4.47
26/11/2014,4.61
27/11/2014,4.9
28/11/2014,7.5
30/11/2014,6.97
02/12/2014,7.03
05/12/2014,7.08
07/12/2014,7.1
08/12/2014,7.1
09/12/2014,7.1
11/12/2014,7.11
13/12/2014,7.12
16/12/2014,7.27
17/12/2014,7.28
19/12/2014,7.3
20/12/2014,7.3
23/12/2014,7.33
25/12/2014,7.34
27/12/2014,7.36
29/12/2014,7.36
30/12/2014,7.37
