Fecha,Reserva
01/01/2022,5.55
02/01/2022,5.55
04/01/2022,5.53
05/01/2022,5.53
07/01/2022,5.52
09/01/2022,5.5
11/01/2022,5.48
13/01/2022,5.46
15/01/2022,5.44
17/01/2022,5.42
19/01/2022,5.4
21/01/2022,5.38
23/01/2022,5.36
25/01/2022,5.34
27/01/2022,5.32
29/01/2022,5.3
31/01/2022,5.28
02/02/2022,5.26
04/02/2022,5.23
05/02/2022,5.23
07/02/2022,5.2
08/02/2022,5.2
09/02/2022,5.18
10/02/2022,5.17
11/02/2022,5.16
12/02/2022,5.15
13/02/2022,5.14
14/02/2022,5.13
15/02/2022,5.12
16/02/2022,5.11
17/02/2022,5.1
18/02/2022,5.09
19/02/2022,5.08
20/02/2022,5.07
21/02/2022,5.06
22/02/2022,5.05
24/02/2022,5.03
26/02/2022,5.01
28/02/2022,5.0
02/03/2022,4.98
04/03/2022,4.96
06/03/2022,4.94
08/03/2022,4.92
10/03/2022,4.9
11/03/2022,4.89
13/03/2022,4.88
15/03/2022,4.89
16/03/2022,4.89
19/03/2022,4.86
20/03/2022,4.85
23/03/2022,4.85
24/03/2022,4.87
26/03/2022,4.89
29/03/2022,4.89
30/03/2022,4.89
01/04/2022,4.88
04/04/2022,4.85
05/04/2022,4.84
08/04/2022,4.84
10/04/2022,4.83
12/04/2022,4.81
13/04/2022,4.81
14/04/2022,4.8
15/04/2022,4.79
16/04/2022,4.78
17/04/2022,4.77
18/04/2022,4.76
20/04/2022,4.74
22/04/2022,4.72
23/04/2022,4.73
25/04/2022,4.73
27/04/2022,4.72
29/04/2022,4.7
01/05/2022,4.68
04/05/2022,4.65
05/05/2022,4.65
07/05/2022,4.62
09/05/2022,4.6
11/05/2022,4.57
13/05/2022,4.55
15/05/2022,4.52
17/05/2022,4.48
19/05/2022,4.45
21/05/2022,4.43
22/05/2022,4.41
25/05/2022,4.37
26/05/2022,4.35
28/05/2022,4.32
30/05/2022,4.3
02/06/2022,4.26
03/06/2022,4.24
05/06/2022,4.21
07/06/2022,4.19
08/06/2022,4.17
10/06/2022,4.15
13/06/2022,4.1
14/06/2022,4.09
17/06/2022,4.04
18/06/2022,4.03
20/06/2022,4.0
22/06/2022,3.96
25/06/2022,3.91
27/06/2022,3.89
28/06/2022,3.87
01/07/2022,3.83
02/07/2022,3.81
05/07/2022,3.77
06/07/2022,3.75
08/07/2022,3.72
09/07/2022,3.21
11/07/2022,3.67
14/07/2022,3.62
15/07/2022,3.61
18/07/2022,3.56
19/07/2022,3.55
21/07/2022,3.51
24/07/2022,3.47
25/07/2022,3.45
28/07/2022,3.41
29/07/2022,3.39
01/08/2022,3.35
02/08/2022,3.33
04/08/2022,3.3
05/08/2022,3.29
08/08/2022,3.24
10/08/2022,3.21
12/08/2022,3.19
13/08/2022,3.18
15/08/2022,3.15
17/08/2022,3.11
19/08/2022,3.09
22/08/2022,3.04
24/08/2022,3.02
25/08/2022,3.0
27/08/2022,2.97
29/08/2022,2.95
01/09/2022,2.9
03/09/2022,2.88
04/09/2022,2.86
06/09/2022,2.84
07/09/2022,2.82
09/09/2022,2.8
11/09/2022,2.78
14/09/2022,2.75
15/09/2022,2.73
17/09/2022,2.71
20/09/2022,2.68
21/09/2022,2.66
23/09/2022,2.64
26/09/2022,2.61
28/09/2022,2.58
30/09/2022,2.57
02/10/2022,2.55
03/10/2022,2.97
05/10/2022,2.95
07/10/2022,2.93
09/10/2022,2.91
11/10/2022,2.89
13/10/2022,2.87
15/10/2022,2.85
17/10/2022,2.83
19/10/2022,2.82
21/10/2022,2.8
22/10/2022,2.82
25/10/2022,2.85
27/10/2022,2.45
28/10/2022,2.82
30/10/2022,2.8
30/10/2022,2.8
01/11/2022,2.77
02/11/2022,2.77
04/11/2022,2.75
07/11/2022,2.72
09/11/2022,2.71
11/11/2022,2.69
13/11/2022,2.67
14/11/2022,2.66
18/11/2022,2.64
20/11/2022,2.62
22/11/2022,2.6
24/11/2022,2.59
26/11/2022,2.57
27/11/2022,2.56
29/11/2022,2.54
01/12/2022,2.53
03/12/2022,2.51
05/12/2022,2.49
06/12/2022,2.49
08/12/2022,2.47
11/12/2022,2.54
13/12/2022,2.66
15/12/2022,4.22
16/12/2022,4.57
18/12/2022,4.75
20/12/2022,4.82
22/12/2022,4.85
25/12/2022,4.88
27/12/2022,4.88
28/12/2022,4.87
30/12/2022,4.87
