Fecha,Reserva
01/01/2020,164.7
02/01/2020,164.69
03/01/2020,164.62
06/01/2020,164.72
07/01/2020,164.63
09/01/2020,164.75
11/01/2020,164.75
13/01/2020,164.75
14/01/2020,164.81
16/01/2020,164.68
19/01/2020,164.92
21/01/2020,164.82
23/01/2020,165.48
24/01/2020,171.08
26/01/2020,181.14
27/01/2020,182.95
30/01/2020,184.95
31/01/2020,184.32
02/02/2020,185.46
04/02/2020,185.89
05/02/2020,186.17
07/02/2020,186.36
10/02/2020,186.46
11/02/2020,186.19
13/02/2020,185.81
15/02/2020,185.61
16/02/2020,185.61
19/02/2020,185.17
21/02/2020,185.39
22/02/2020,185.29
25/02/2020,185.31
26/02/2020,185.19
27/02/2020,185.16
29/02/2020,184.86
03/03/2020,184.55
05/03/2020,184.86
07/03/2020,184.37
08/03/2020,184.4
09/03/2020,184.29
12/03/2020,183.14
13/03/2020,182.95
16/03/2020,182.11
18/03/2020,181.69
19/03/2020,181.47
21/03/2020,181.12
22/03/2020,181.54
24/03/2020,181.47
27/03/2020,180.97
29/03/2020,180.4
30/03/2020,180.38
31/03/2020,180.24
03/04/2020,179.97
04/04/2020,179.79
07/04/2020,179.48
09/04/2020,179.07
10/04/2020,178.98
11/04/2020,178.8
14/04/2020,178.35
15/04/2020,178.27
17/04/2020,181.98
19/04/2020,182.63
21/04/2020,182.78
22/04/2020,182.89
25/04/2020,182.55
27/04/2020,182.55
29/04/2020,182.89
30/04/2020,182.69
02/05/2020,182.5
04/05/2020,182.0
06/05/2020,181.62
08/05/2020,180.64
09/05/2020,180.12
12/05/2020,179.29
13/05/2020,179.55
15/05/2020,179.57
17/05/2020,179.39
18/05/2020,179.41
20/05/2020,179.13
22/05/2020,178.67
24/05/2020,178.34
26/05/2020,177.71
28/05/2020,176.87
30/05/2020,175.83
01/06/2020,174.87
02/06/2020,174.24
04/06/2020,173.33
05/06/2020,172.87
07/06/2020,171.8
09/06/2020,170.84
12/06/2020,169.44
13/06/2020,169.07
15/06/2020,168.19
17/06/2020,167.33
19/06/2020,166.28
21/06/2020,165.0
23/06/2020,163.89
25/06/2020,162.54
26/06/2020,161.89
28/06/2020,160.56
30/06/2020,159.31
01/07/2020,158.72
03/07/2020,158.19
05/07/2020,157.86
07/07/2020,157.75
09/07/2020,157.57
11/07/2020,157.29
12/07/2020,157.23
15/07/2020,156.85
16/07/2020,156.82
18/07/2020,156.62
20/07/2020,156.37
21/07/2020,156.31
23/07/2020,156.3
26/07/2020,156.21
27/07/2020,156.19
29/07/2020,156.09
31/07/2020,156.09
02/08/2020,156.06
03/08/2020,155.99
06/08/2020,155.84
07/08/2020,155.72
09/08/2020,156.02
10/08/2020,156.0
13/08/2020,156.0
14/08/2020,156.06
17/08/2020,156.49
18/08/2020,156.57
20/08/2020,156.5
22/08/2020,156.17
24/08/2020,155.32
26/08/2020,154.53
28/08/2020,153.73
30/08/2020,152.74
31/08/2020,152.28
02/09/2020,151.79
04/09/2020,150.95
06/09/2020,150.51
08/09/2020,149.73
10/09/2020,149.19
11/09/2020,148.88
12/09/2020,148.75
14/09/2020,148.01
17/09/2020,147.28
18/09/2020,147.04
20/09/2020,147.13
22/09/2020,146.94
23/09/2020,147.14
26/09/2020,147.88
27/09/2020,147.77
29/09/2020,147.49
02/10/2020,147.2
03/10/2020,147.2
04/10/2020,147.2
07/10/2020,147.2
08/10/2020,146.11
11/10/2020,145.64
13/10/2020,145.31
14/10/2020,145.11
15/10/2020,144.9
17/10/2020,144.52
20/10/2020,143.96
22/10/2020,144.04
23/10/2020,144.24
25/10/2020,144.07
26/10/2020,143.94
28/10/2020,143.84
30/10/2020,143.78
02/11/2020,143.72
04/11/2020,143.75
05/11/2020,144.04
06/11/2020,144.16
08/11/2020,144.41
10/11/2020,144.88
13/11/2020,145.08
14/11/2020,145.05
16/11/2020,145.13
17/11/2020,145.16
19/11/2020,144.87
21/11/2020,144.74
24/11/2020,144.28
25/11/2020,144.08
27/11/2020,144.63
28/11/2020,144.8
01/12/2020,144.9
03/12/2020,144.87
05/12/2020,144.69
06/12/2020,144.48
08/12/2020,144.14
09/12/2020,144.02
11/12/2020,143.71
14/12/2020,143.22
15/12/2020,143.16
18/12/2020,142.79
19/12/2020,142.61
21/12/2020,142.58
22/12/2020,142.51
25/12/2020,142.15
26/12/2020,142.11
28/12/2020,141.66
30/12/2020,141.4
