Fecha,Reserva
01/01/2022,155.28
02/01/2022,155.39
04/01/2022,155.6
05/01/2022,155.71
08/01/2022,156.25
09/01/2022,156.25
12/01/2022,156.68
13/01/2022,156.9
15/01/2022,157.0
17/01/2022,157.33
20/01/2022,157.6
22/01/2022,157.92
23/01/2022,158.03
26/01/2022,158.53
27/01/2022,158.62
29/01/2022,158.84
31/01/2022,158.98
01/02/2022,159.08
03/02/2022,159.36
06/02/2022,159.74
07/02/2022,159.82
08/02/2022,159.98
09/02/2022,160.06
11/02/2022,160.28
12/02/2022,160.39
13/02/2022,160.52
13/02/2022,160.52
15/02/2022,160.74
16/02/2022,160.82
16/02/2022,160.82
17/02/2022,160.96
18/02/2022,161.1
19/02/2022,161.23
20/02/2022,161.37
21/02/2022,161.48
22/02/2022,161.59
24/02/2022,161.8
26/02/2022,162.22
27/02/2022,162.22
01/03/2022,162.41
03/03/2022,162.6
06/03/2022,163.09
08/03/2022,163.34
10/03/2022,163.53
11/03/2022,163.64
14/03/2022,164.25
15/03/2022,164.3
17/03/2022,164.69
19/03/2022,164.91
20/03/2022,165.08
22/03/2022,165.46
25/03/2022,166.59
27/03/2022,167.99
28/03/2022,168.68
31/03/2022,170.2
02/04/2022,171.18
04/04/2022,172.4
06/04/2022,173.93
08/04/2022,175.19
10/04/2022,176.54
12/04/2022,177.46
13/04/2022,178.45
14/04/2022,179.06
15/04/2022,179.64
16/04/2022,180.25
17/04/2022,180.81
18/04/2022,181.38
20/04/2022,182.59
21/04/2022,183.27
23/04/2022,184.51
26/04/2022,186.24
28/04/2022,187.53
29/04/2022,188.18
02/05/2022,190.05
03/05/2022,190.5
06/05/2022,192.51
07/05/2022,193.11
09/05/2022,194.24
10/05/2022,194.61
13/05/2022,195.47
14/05/2022,195.74
16/05/2022,196.18
19/05/2022,196.94
21/05/2022,196.92
22/05/2022,196.42
24/05/2022,195.68
26/05/2022,194.77
28/05/2022,194.03
30/05/2022,193.15
02/06/2022,192.02
04/06/2022,191.11
06/06/2022,190.26
07/06/2022,189.93
09/06/2022,189.0
11/06/2022,188.28
12/06/2022,187.71
14/06/2022,186.78
16/06/2022,186.0
19/06/2022,184.75
20/06/2022,184.28
22/06/2022,182.77
25/06/2022,180.46
26/06/2022,179.61
29/06/2022,177.15
01/07/2022,176.86
02/07/2022,176.2
05/07/2022,174.02
06/07/2022,173.33
08/07/2022,171.97
09/07/2022,162.56
11/07/2022,169.69
13/07/2022,168.15
15/07/2022,166.62
18/07/2022,164.44
20/07/2022,162.87
22/07/2022,161.56
23/07/2022,160.77
25/07/2022,159.06
28/07/2022,156.52
29/07/2022,155.72
31/07/2022,155.13
02/08/2022,152.42
04/08/2022,150.98
06/08/2022,149.04
07/08/2022,148.07
09/08/2022,146.26
12/08/2022,143.38
14/08/2022,142.46
15/08/2022,140.76
17/08/2022,139.14
20/08/2022,136.52
21/08/2022,135.82
23/08/2022,134.08
26/08/2022,131.81
27/08/2022,131.32
30/08/2022,129.47
01/09/2022,128.76
03/09/2022,127.81
04/09/2022,127.3
06/09/2022,125.99
07/09/2022,125.0
09/09/2022,123.08
12/09/2022,120.1
14/09/2022,117.97
15/09/2022,116.73
18/09/2022,113.22
20/09/2022,110.98
21/09/2022,109.82
24/09/2022,106.61
25/09/2022,106.65
27/09/2022,106.85
29/09/2022,106.94
02/10/2022,107.21
03/10/2022,100.75
05/10/2022,100.88
06/10/2022,100.9
09/10/2022,101.14
10/10/2022,101.27
13/10/2022,101.51
15/10/2022,101.66
17/10/2022,101.76
19/10/2022,101.88
21/10/2022,102.03
22/10/2022,103.2
25/10/2022,102.25
27/10/2022,105.17
28/10/2022,102.42
30/10/2022,102.55
30/10/2022,102.55
31/10/2022,102.62
03/11/2022,102.88
05/11/2022,103.08
06/11/2022,103.17
09/11/2022,103.41
11/11/2022,103.67
13/11/2022,103.8
15/11/2022,104.02
18/11/2022,104.42
19/11/2022,104.55
21/11/2022,104.73
23/11/2022,104.99
26/11/2022,105.37
27/11/2022,105.46
29/11/2022,105.66
01/12/2022,105.84
03/12/2022,106.04
04/12/2022,106.17
07/12/2022,106.52
09/12/2022,106.83
10/12/2022,107.26
13/12/2022,107.74
14/12/2022,107.9
17/12/2022,108.53
18/12/2022,108.64
20/12/2022,108.99
22/12/2022,109.29
24/12/2022,109.65
26/12/2022,109.96
29/12/2022,110.43
30/12/2022,110.61
