Fecha,Reserva
01/01/2021,46.69
02/01/2021,46.42
03/01/2021,46.15
05/01/2021,45.5
08/01/2021,44.69
10/01/2021,44.91
12/01/2021,48.81
13/01/2021,44.85
15/01/2021,44.1
17/01/2021,45.02
18/01/2021,44.1
20/01/2021,44.1
23/01/2021,43.5
25/01/2021,43.72
27/01/2021,48.81
28/01/2021,43.72
30/01/2021,43.45
01/02/2021,43.61
02/02/2021,43.61
05/02/2021,42.91
07/02/2021,48.95
08/02/2021,45.88
10/02/2021,46.2
12/02/2021,46.15
15/02/2021,45.56
16/02/2021,45.39
18/02/2021,44.91
19/02/2021,44.85
22/02/2021,45.29
23/02/2021,45.72
26/02/2021,46.69
28/02/2021,46.8
01/03/2021,47.71
03/03/2021,47.44
05/03/2021,47.07
06/03/2021,49.49
09/03/2021,50.89
10/03/2021,51.24
12/03/2021,51.79
15/03/2021,52.34
16/03/2021,52.34
19/03/2021,50.84
20/03/2021,50.62
22/03/2021,50.14
24/03/2021,50.08
25/03/2021,50.62
27/03/2021,50.46
29/03/2021,50.35
31/03/2021,50.46
02/04/2021,50.46
04/04/2021,50.41
05/04/2021,50.41
08/04/2021,50.51
10/04/2021,50.41
12/04/2021,50.3
14/04/2021,50.41
16/04/2021,50.57
17/04/2021,50.57
19/04/2021,50.62
20/04/2021,50.62
22/04/2021,50.51
25/04/2021,50.46
26/04/2021,50.41
29/04/2021,50.95
01/05/2021,49.38
02/05/2021,50.95
04/05/2021,50.84
06/05/2021,50.51
07/05/2021,50.46
09/05/2021,49.92
11/05/2021,49.87
14/05/2021,49.98
16/05/2021,49.65
17/05/2021,49.49
20/05/2021,49.44
21/05/2021,49.17
23/05/2021,48.41
24/05/2021,48.09
27/05/2021,47.93
29/05/2021,49.17
30/05/2021,47.33
01/06/2021,47.12
04/06/2021,47.23
05/06/2021,47.07
07/06/2021,46.69
08/06/2021,46.85
11/06/2021,46.36
13/06/2021,45.72
14/06/2021,45.39
16/06/2021,45.29
18/06/2021,45.39
20/06/2021,45.29
22/06/2021,45.02
24/06/2021,44.85
25/06/2021,48.81
27/06/2021,44.53
29/06/2021,44.21
02/07/2021,44.21
04/07/2021,43.88
05/07/2021,43.67
07/07/2021,43.88
09/07/2021,43.83
11/07/2021,43.61
12/07/2021,42.96
15/07/2021,43.07
16/07/2021,43.02
19/07/2021,42.05
20/07/2021,42.05
22/07/2021,42.1
23/07/2021,42.1
26/07/2021,40.97
27/07/2021,40.97
30/07/2021,40.48
01/08/2021,39.75
02/08/2021,39.43
04/08/2021,39.2
06/08/2021,38.78
08/08/2021,38.05
09/08/2021,38.05
11/08/2021,37.4
13/08/2021,36.9
16/08/2021,35.79
17/08/2021,35.38
20/08/2021,34.64
21/08/2021,34.27
23/08/2021,33.35
25/08/2021,33.26
27/08/2021,33.3
29/08/2021,32.75
30/08/2021,32.52
01/09/2021,32.61
03/09/2021,32.66
05/09/2021,32.24
07/09/2021,32.11
09/09/2021,32.34
10/09/2021,32.48
13/09/2021,32.11
14/09/2021,32.34
16/09/2021,33.72
18/09/2021,33.95
21/09/2021,34.18
22/09/2021,34.13
24/09/2021,36.85
25/09/2021,36.99
27/09/2021,36.99
29/09/2021,37.36
01/10/2021,37.22
04/10/2021,36.65
06/10/2021,36.65
07/10/2021,36.6
08/10/2021,36.55
11/10/2021,35.76
13/10/2021,35.47
15/10/2021,35.33
16/10/2021,35.1
19/10/2021,34.69
20/10/2021,34.32
22/10/2021,34.15
22/10/2021,34.15
24/10/2021,34.17
26/10/2021,33.33
28/10/2021,33.38
29/10/2021,33.25
01/11/2021,33.7
02/11/2021,33.79
02/11/2021,33.79
03/11/2021,33.97
05/11/2021,34.23
06/11/2021,34.19
08/11/2021,34.15
10/11/2021,34.23
12/11/2021,34.46
15/11/2021,34.42
16/11/2021,34.32
18/11/2021,34.55
20/11/2021,34.78
22/11/2021,35.2
23/11/2021,35.1
26/11/2021,34.23
28/11/2021,34.17
30/11/2021,33.65
01/12/2021,32.81
03/12/2021,32.63
04/12/2021,32.63
05/12/2021,32.67
06/12/2021,32.71
07/12/2021,32.76
08/12/2021,32.93
09/12/2021,33.11
11/12/2021,33.61
12/12/2021,36.63
13/12/2021,33.7
15/12/2021,33.11
18/12/2021,32.01
20/12/2021,32.1
21/12/2021,32.23
23/12/2021,34.19
26/12/2021,37.8
29/12/2021,38.77
30/12/2021,39.17
