Fecha,Reserva
01/01/2016,16.75
02/01/2016,16.73
04/01/2016,16.7
06/01/2016,16.77
07/01/2016,16.77
09/01/2016,16.73
11/01/2016,16.68
13/01/2016,16.71
15/01/2016,16.66
16/01/2016,16.65
19/01/2016,16.59
20/01/2016,16.57
22/01/2016,16.55
24/01/2016,16.51
26/01/2016,16.48
27/01/2016,16.44
30/01/2016,16.37
01/02/2016,16.34
03/02/2016,16.29
04/02/2016,16.28
05/02/2016,16.75
07/02/2016,16.22
10/02/2016,16.15
11/02/2016,16.17
14/02/2016,16.26
15/02/2016,16.42
16/02/2016,16.43
19/02/2016,16.41
21/02/2016,16.41
22/02/2016,16.37
25/02/2016,16.33
26/02/2016,16.31
28/02/2016,16.4
01/03/2016,16.4
03/03/2016,16.36
05/03/2016,16.33
07/03/2016,16.29
08/03/2016,16.29
10/03/2016,16.26
12/03/2016,16.22
13/03/2016,16.19
16/03/2016,16.15
17/03/2016,16.13
19/03/2016,16.09
20/03/2016,16.07
22/03/2016,16.07
24/03/2016,16.03
26/03/2016,15.99
29/03/2016,15.93
30/03/2016,15.9
31/03/2016,15.88
03/04/2016,15.8
04/04/2016,15.77
06/04/2016,16.01
08/04/2016,16.0
10/04/2016,15.96
11/04/2016,15.94
14/04/2016,15.91
16/04/2016,15.87
18/04/2016,15.84
20/04/2016,15.83
21/04/2016,15.88
23/04/2016,15.85
25/04/2016,15.8
27/04/2016,15.79
29/04/2016,15.79
01/05/2016,15.77
02/05/2016,15.77
04/05/2016,15.72
06/05/2016,15.71
08/05/2016,15.73
09/05/2016,15.77
12/05/2016,15.82
13/05/2016,15.9
14/05/2016,15.94
17/05/2016,15.95
19/05/2016,15.93
20/05/2016,15.93
22/05/2016,15.91
24/05/2016,15.88
25/05/2016,15.86
27/05/2016,15.83
29/05/2016,15.81
01/06/2016,15.76
02/06/2016,15.75
04/06/2016,15.71
06/06/2016,15.68
08/06/2016,15.63
09/06/2016,15.52
11/06/2016,15.32
13/06/2016,15.26
15/06/2016,15.1
16/06/2016,14.96
18/06/2016,14.81
20/06/2016,14.74
23/06/2016,14.53
24/06/2016,14.5
26/06/2016,14.39
27/06/2016,14.36
29/06/2016,14.26
02/07/2016,14.07
04/07/2016,14.01
05/07/2016,13.98
07/07/2016,13.87
08/07/2016,13.8
11/07/2016,13.71
13/07/2016,13.62
14/07/2016,13.61
16/07/2016,13.44
18/07/2016,13.4
20/07/2016,13.34
21/07/2016,13.32
23/07/2016,13.1
25/07/2016,13.03
28/07/2016,12.86
29/07/2016,12.77
30/07/2016,12.62
01/08/2016,12.57
03/08/2016,12.3
05/08/2016,12.16
08/08/2016,12.05
09/08/2016,11.85
10/08/2016,11.67
12/08/2016,11.62
15/08/2016,11.5
16/08/2016,11.48
18/08/2016,11.15
20/08/2016,11.08
22/08/2016,11.03
24/08/2016,10.65
26/08/2016,10.58
28/08/2016,10.53
29/08/2016,10.5
31/08/2016,10.16
02/09/2016,10.11
03/09/2016,10.08
06/09/2016,9.99
08/09/2016,9.95
09/09/2016,9.93
11/09/2016,9.88
13/09/2016,9.84
15/09/2016,9.8
17/09/2016,9.76
18/09/2016,9.73
20/09/2016,9.71
22/09/2016,9.68
24/09/2016,9.65
26/09/2016,9.66
27/09/2016,9.61
30/09/2016,9.55
01/10/2016,9.54
03/10/2016,9.5
04/10/2016,9.49
06/10/2016,9.45
08/10/2016,9.42
11/10/2016,9.4
12/10/2016,9.39
14/10/2016,9.39
16/10/2016,9.39
18/10/2016,9.37
20/10/2016,9.37
22/10/2016,9.35
23/10/2016,9.35
25/10/2016,9.39
27/10/2016,9.39
29/10/2016,9.37
30/10/2016,9.37
02/11/2016,9.34
04/11/2016,9.34
05/11/2016,9.33
06/11/2016,9.34
09/11/2016,9.32
10/11/2016,9.33
13/11/2016,9.31
14/11/2016,9.29
16/11/2016,9.28
17/11/2016,9.27
20/11/2016,9.26
22/11/2016,9.31
23/11/2016,9.3
25/11/2016,9.3
27/11/2016,9.33
29/11/2016,9.33
30/11/2016,9.34
02/12/2016,9.33
04/12/2016,9.32
06/12/2016,9.33
08/12/2016,9.33
09/12/2016,9.32
12/12/2016,9.31
13/12/2016,9.29
16/12/2016,9.29
17/12/2016,9.29
19/12/2016,9.28
21/12/2016,9.28
22/12/2016,9.28
24/12/2016,9.26
26/12/2016,9.26
28/12/2016,9.25
30/12/2016,9.25
