Fecha,Reserva
01/01/2014,234.1
02/01/2014,234.1
04/01/2014,234.64
06/01/2014,234.82
08/01/2014,234.82
09/01/2014,235.01
11/01/2014,235.01
12/01/2014,235.01
14/01/2014,235.37
17/01/2014,235.37
19/01/2014,236.46
21/01/2014,236.83
22/01/2014,237.19
23/01/2014,237.56
25/01/2014,237.93
27/01/2014,238.11
29/01/2014,238.11
31/01/2014,238.29
02/02/2014,238.29
04/02/2014,238.29
06/02/2014,239.39
08/02/2014,240.87
09/02/2014,242.35
12/02/2014,249.25
13/02/2014,251.33
14/02/2014,253.23
16/02/2014,256.47
18/02/2014,258.39
21/02/2014,259.55
22/02/2014,259.55
24/02/2014,259.93
25/02/2014,259.93
28/02/2014,260.32
01/03/2014,260.32
03/03/2014,260.9
05/03/2014,260.9
07/03/2014,260.9
09/03/2014,261.09
10/03/2014,261.09
13/03/2014,261.09
14/03/2014,261.29
16/03/2014,261.29
17/03/2014,261.29
20/03/2014,261.29
21/03/2014,261.48
23/03/2014,261.48
25/03/2014,261.29
27/03/2014,261.29
28/03/2014,261.29
31/03/2014,261.87
02/04/2014,261.87
03/04/2014,262.45
05/04/2014,262.45
07/04/2014,262.65
08/04/2014,262.84
11/04/2014,263.04
13/04/2014,262.84
14/04/2014,263.04
17/04/2014,263.04
18/04/2014,262.84
20/04/2014,262.84
21/04/2014,263.43
24/04/2014,263.43
26/04/2014,263.23
27/04/2014,263.43
29/04/2014,263.43
30/04/2014,263.23
03/05/2014,263.23
04/05/2014,263.04
07/05/2014,263.04
08/05/2014,262.84
10/05/2014,262.84
11/05/2014,262.65
13/05/2014,262.65
15/05/2014,262.26
18/05/2014,261.87
19/05/2014,261.87
21/05/2014,261.68
22/05/2014,261.68
24/05/2014,261.48
26/05/2014,261.4
29/05/2014,261.09
30/05/2014,260.9
01/06/2014,260.71
03/06/2014,260.7
05/06/2014,260.51
07/06/2014,260.13
08/06/2014,260.13
10/06/2014,259.7
11/06/2014,258.97
14/06/2014,257.43
15/06/2014,257.05
18/06/2014,255.38
19/06/2014,254.75
21/06/2014,253.61
23/06/2014,252.47
25/06/2014,251.52
27/06/2014,250.39
29/06/2014,249.25
01/07/2014,248.13
02/07/2014,247.41
03/07/2014,246.88
05/07/2014,246.44
07/07/2014,246.36
09/07/2014,245.38
11/07/2014,244.26
13/07/2014,243.09
15/07/2014,242.14
17/07/2014,240.94
19/07/2014,239.58
20/07/2014,239.03
22/07/2014,237.93
23/07/2014,237.19
26/07/2014,235.37
27/07/2014,234.82
30/07/2014,233.18
01/08/2014,231.93
02/08/2014,231.21
04/08/2014,230.13
05/08/2014,229.55
08/08/2014,227.82
09/08/2014,227.26
11/08/2014,226.91
13/08/2014,225.84
15/08/2014,224.6
17/08/2014,224.42
18/08/2014,224.35
21/08/2014,222.66
23/08/2014,221.25
24/08/2014,221.07
26/08/2014,220.72
27/08/2014,220.17
30/08/2014,218.28
01/09/2014,218.26
02/09/2014,217.7
03/09/2014,216.89
06/09/2014,215.16
07/09/2014,215.16
09/09/2014,214.98
11/09/2014,213.78
13/09/2014,212.75
15/09/2014,212.58
17/09/2014,211.89
18/09/2014,212.58
20/09/2014,212.75
23/09/2014,212.75
24/09/2014,212.69
25/09/2014,212.58
27/09/2014,212.4
29/09/2014,212.92
02/10/2014,212.92
03/10/2014,212.77
05/10/2014,212.75
06/10/2014,212.58
09/10/2014,212.49
10/10/2014,212.75
13/10/2014,214.29
14/10/2014,215.5
16/10/2014,216.37
17/10/2014,216.54
19/10/2014,216.54
21/10/2014,216.54
24/10/2014,216.54
25/10/2014,216.37
27/10/2014,216.37
28/10/2014,216.37
31/10/2014,216.19
02/11/2014,216.02
04/11/2014,216.37
05/11/2014,216.37
07/11/2014,216.27
08/11/2014,216.37
11/11/2014,216.54
13/11/2014,218.62
15/11/2014,223.54
16/11/2014,224.77
17/11/2014,225.66
20/11/2014,227.62
22/11/2014,228.69
23/11/2014,228.69
25/11/2014,228.87
27/11/2014,229.41
29/11/2014,234.46
01/12/2014,236.65
02/12/2014,237.38
05/12/2014,239.21
06/12/2014,239.76
08/12/2014,240.13
10/12/2014,240.68
12/12/2014,240.87
13/12/2014,241.05
15/12/2014,241.98
18/12/2014,242.35
19/12/2014,242.35
20/12/2014,242.53
22/12/2014,242.53
25/12/2014,242.72
26/12/2014,242.9
28/12/2014,242.9
30/12/2014,242.9
