Fecha,Reserva
01/01/2017,6.44
02/01/2017,6.47
04/01/2017,6.55
05/01/2017,6.55
07/01/2017,6.59
10/01/2017,6.66
11/01/2017,6.69
13/01/2017,6.73
15/01/2017,6.78
17/01/2017,6.82
19/01/2017,6.86
20/01/2017,6.88
22/01/2017,6.93
23/01/2017,6.95
25/01/2017,6.89
27/01/2017,6.83
29/01/2017,6.77
01/02/2017,6.68
02/02/2017,6.66
04/02/2017,6.6
06/02/2017,6.57
08/02/2017,6.53
10/02/2017,6.48
11/02/2017,6.46
13/02/2017,6.42
15/02/2017,6.38
16/02/2017,6.36
19/02/2017,6.28
21/02/2017,6.23
22/02/2017,6.21
24/02/2017,6.17
26/02/2017,6.13
28/02/2017,6.08
01/03/2017,6.06
04/03/2017,6.15
05/03/2017,6.21
06/03/2017,6.26
08/03/2017,6.35
11/03/2017,6.47
13/03/2017,6.54
14/03/2017,6.58
16/03/2017,6.72
18/03/2017,6.84
20/03/2017,6.94
21/03/2017,6.98
24/03/2017,6.96
25/03/2017,7.0
27/03/2017,7.07
28/03/2017,7.11
30/03/2017,7.18
01/04/2017,7.24
04/04/2017,7.33
06/04/2017,7.29
07/04/2017,7.26
09/04/2017,7.32
10/04/2017,7.34
13/04/2017,7.42
15/04/2017,7.47
17/04/2017,7.51
18/04/2017,7.54
20/04/2017,7.58
22/04/2017,7.62
24/04/2017,7.66
26/04/2017,7.7
27/04/2017,7.72
29/04/2017,7.76
30/04/2017,7.79
03/05/2017,7.85
05/05/2017,7.88
07/05/2017,7.92
08/05/2017,7.93
09/05/2017,7.95
11/05/2017,7.97
14/05/2017,8.02
16/05/2017,8.04
18/05/2017,8.07
19/05/2017,8.07
20/05/2017,8.09
22/05/2017,8.11
24/05/2017,8.13
26/05/2017,8.15
29/05/2017,8.18
30/05/2017,8.18
01/06/2017,8.2
03/06/2017,8.22
05/06/2017,8.24
06/06/2017,8.24
08/06/2017,8.26
10/06/2017,8.28
11/06/2017,8.28
13/06/2017,8.3
15/06/2017,8.31
17/06/2017,8.33
20/06/2017,8.34
21/06/2017,8.35
22/06/2017,8.36
25/06/2017,8.37
26/06/2017,8.38
29/06/2017,8.39
30/06/2017,8.4
02/07/2017,8.41
03/07/2017,8.41
05/07/2017,8.43
08/07/2017,8.44
09/07/2017,8.45
11/07/2017,8.46
12/07/2017,8.47
14/07/2017,8.47
17/07/2017,8.48
18/07/2017,8.49
20/07/2017,8.49
22/07/2017,8.5
24/07/2017,8.51
26/07/2017,8.51
27/07/2017,8.52
29/07/2017,8.52
01/08/2017,8.53
02/08/2017,8.54
04/08/2017,8.54
05/08/2017,8.55
07/08/2017,8.55
09/08/2017,8.56
11/08/2017,8.56
13/08/2017,8.57
14/08/2017,8.58
17/08/2017,8.58
18/08/2017,8.59
20/08/2017,8.59
23/08/2017,8.6
24/08/2017,8.61
26/08/2017,8.61
27/08/2017,8.62
29/08/2017,8.62
01/09/2017,8.64
02/09/2017,8.64
03/09/2017,8.65
05/09/2017,8.66
07/09/2017,8.66
10/09/2017,8.67
11/09/2017,8.68
13/09/2017,8.69
15/09/2017,8.69
16/09/2017,8.69
19/09/2017,8.71
20/09/2017,8.71
23/09/2017,8.73
24/09/2017,8.73
25/09/2017,8.74
27/09/2017,8.74
29/09/2017,8.76
02/10/2017,8.78
03/10/2017,8.78
05/10/2017,8.79
06/10/2017,8.8
09/10/2017,8.81
11/10/2017,8.82
13/10/2017,8.84
14/10/2017,8.84
16/10/2017,8.85
18/10/2017,8.87
20/10/2017,8.91
22/10/2017,8.93
24/10/2017,8.95
26/10/2017,8.97
27/10/2017,8.97
29/10/2017,8.99
31/10/2017,9.01
02/11/2017,8.93
04/11/2017,8.85
05/11/2017,8.82
07/11/2017,8.74
09/11/2017,8.66
11/11/2017,8.58
12/11/2017,8.55
14/11/2017,8.47
16/11/2017,8.39
18/11/2017,8.32
20/11/2017,8.24
22/11/2017,8.17
24/11/2017,8.09
25/11/2017,8.05
27/11/2017,7.98
29/11/2017,7.93
30/11/2017,7.99
02/12/2017,7.94
04/12/2017,7.87
06/12/2017,7.81
08/12/2017,7.74
10/12/2017,7.67
12/12/2017,7.61
14/12/2017,7.54
16/12/2017,7.48
17/12/2017,7.46
19/12/2017,7.4
20/12/2017,7.36
23/12/2017,7.26
24/12/2017,7.22
27/12/2017,7.12
29/12/2017,7.17
30/12/2017,7.18
