Fecha,Reserva
01/01/2013,19.86
02/01/2013,19.87
04/01/2013,19.88
05/01/2013,19.88
07/01/2013,19.88
10/01/2013,19.88
11/01/2013,19.89
13/01/2013,19.93
15/01/2013,19.95
17/01/2013,20.12
19/01/2013,20.9
20/01/2013,22.43
22/01/2013,23.78
24/01/2013,24.73
25/01/2013,25.49
27/01/2013,26.31
29/01/2013,26.87
31/01/2013,27.27
02/02/2013,27.56
03/02/2013,27.69
05/02/2013,27.9
07/02/2013,28.07
10/02/2013,28.27
11/02/2013,28.35
13/02/2013,28.47
15/02/2013,28.57
17/02/2013,28.65
19/02/2013,28.72
21/02/2013,28.39
22/02/2013,28.38
24/02/2013,29.16
25/02/2013,29.3
27/02/2013,29.3
01/03/2013,29.2
03/03/2013,29.04
05/03/2013,28.87
07/03/2013,28.52
08/03/2013,28.43
10/03/2013,28.9
13/03/2013,29.49
14/03/2013,29.53
16/03/2013,29.04
17/03/2013,28.66
19/03/2013,28.15
21/03/2013,28.5
23/03/2013,28.01
25/03/2013,28.48
27/03/2013,28.78
28/03/2013,28.92
31/03/2013,29.22
02/04/2013,30.02
04/04/2013,29.6
05/04/2013,29.27
07/04/2013,30.11
08/04/2013,30.11
10/04/2013,30.58
13/04/2013,31.13
15/04/2013,31.41
16/04/2013,31.53
18/04/2013,31.74
19/04/2013,31.55
22/04/2013,31.71
23/04/2013,31.6
26/04/2013,31.18
28/04/2013,29.85
29/04/2013,29.84
01/05/2013,29.97
02/05/2013,30.03
05/05/2013,30.17
07/05/2013,30.21
08/05/2013,30.29
10/05/2013,30.36
11/05/2013,30.39
14/05/2013,30.46
16/05/2013,30.52
17/05/2013,30.56
19/05/2013,30.74
20/05/2013,30.79
23/05/2013,30.91
25/05/2013,30.96
27/05/2013,31.0
28/05/2013,31.02
30/05/2013,31.04
01/06/2013,31.06
03/06/2013,31.06
04/06/2013,31.07
07/06/2013,31.07
09/06/2013,31.04
10/06/2013,31.05
12/06/2013,31.05
14/06/2013,31.01
16/06/2013,30.99
18/06/2013,30.98
19/06/2013,30.96
21/06/2013,30.93
22/06/2013,30.92
25/06/2013,30.86
26/06/2013,30.85
28/06/2013,30.79
01/07/2013,30.7
02/07/2013,30.68
03/07/2013,30.66
05/07/2013,30.61
07/07/2013,30.55
09/07/2013,30.49
11/07/2013,30.43
12/07/2013,30.4
14/07/2013,30.34
16/07/2013,30.28
18/07/2013,30.22
21/07/2013,30.13
22/07/2013,30.11
23/07/2013,30.08
25/07/2013,30.02
27/07/2013,29.96
29/07/2013,29.9
31/07/2013,29.84
02/08/2013,29.78
03/08/2013,29.76
06/08/2013,29.67
07/08/2013,29.62
10/08/2013,29.51
12/08/2013,29.45
13/08/2013,29.41
15/08/2013,29.34
17/08/2013,29.28
18/08/2013,29.24
20/08/2013,29.18
22/08/2013,29.12
24/08/2013,29.06
25/08/2013,29.02
28/08/2013,28.92
30/08/2013,28.89
31/08/2013,28.84
02/09/2013,28.78
03/09/2013,28.75
06/09/2013,28.66
07/09/2013,28.62
09/09/2013,28.56
11/09/2013,28.5
13/09/2013,28.44
14/09/2013,28.41
17/09/2013,28.32
18/09/2013,28.28
20/09/2013,28.23
22/09/2013,28.16
24/09/2013,28.1
25/09/2013,28.08
28/09/2013,27.97
29/09/2013,27.95
01/10/2013,27.93
03/10/2013,27.87
05/10/2013,27.82
07/10/2013,27.77
09/10/2013,27.73
11/10/2013,27.67
13/10/2013,27.58
15/10/2013,27.52
16/10/2013,27.5
17/10/2013,27.47
20/10/2013,27.38
22/10/2013,27.33
24/10/2013,27.29
26/10/2013,27.22
27/10/2013,27.2
28/10/2013,27.19
30/10/2013,27.12
01/11/2013,27.06
03/11/2013,27.01
05/11/2013,26.95
06/11/2013,26.94
08/11/2013,26.89
10/11/2013,26.82
12/11/2013,26.76
15/11/2013,26.7
16/11/2013,26.67
17/11/2013,26.65
19/11/2013,26.6
21/11/2013,26.55
24/11/2013,26.42
25/11/2013,26.39
27/11/2013,26.34
28/11/2013,26.33
30/11/2013,26.26
02/12/2013,26.18
05/12/2013,26.09
06/12/2013,26.05
08/12/2013,25.99
10/12/2013,25.92
12/12/2013,25.84
13/12/2013,25.82
16/12/2013,25.71
17/12/2013,25.68
19/12/2013,25.6
20/12/2013,25.59
23/12/2013,25.48
24/12/2013,25.45
26/12/2013,25.58
28/12/2013,25.54
30/12/2013,25.48
