Fecha,Reserva
01/01/2013,51.11
02/01/2013,51.16
03/01/2013,51.21
06/01/2013,51.3
08/01/2013,51.4
10/01/2013,51.4
11/01/2013,50.48
12/01/2013,50.43
15/01/2013,50.58
17/01/2013,50.58
19/01/2013,50.87
20/01/2013,51.64
22/01/2013,52.33
23/01/2013,52.57
26/01/2013,53.12
27/01/2013,53.26
30/01/2013,53.71
31/01/2013,53.76
02/02/2013,53.91
03/02/2013,54.01
05/02/2013,54.11
07/02/2013,54.2
09/02/2013,54.3
12/02/2013,54.45
13/02/2013,54.45
14/02/2013,53.51
16/02/2013,53.36
19/02/2013,53.56
20/02/2013,54.95
22/02/2013,57.36
24/02/2013,57.57
26/02/2013,56.76
28/02/2013,56.76
01/03/2013,58.28
03/03/2013,58.02
05/03/2013,57.52
06/03/2013,59.55
09/03/2013,57.62
10/03/2013,57.06
13/03/2013,58.94
15/03/2013,57.77
16/03/2013,57.72
18/03/2013,57.57
20/03/2013,58.74
21/03/2013,57.92
24/03/2013,58.99
25/03/2013,57.62
27/03/2013,57.41
28/03/2013,57.41
31/03/2013,56.56
01/04/2013,56.56
03/04/2013,57.67
05/04/2013,59.25
07/04/2013,60.02
09/04/2013,59.86
10/04/2013,59.71
12/04/2013,60.38
15/04/2013,60.12
17/04/2013,60.48
18/04/2013,60.48
19/04/2013,60.48
21/04/2013,60.58
24/04/2013,60.68
26/04/2013,60.68
27/04/2013,60.74
29/04/2013,60.74
01/05/2013,61.05
02/05/2013,61.1
04/05/2013,61.05
07/05/2013,61.1
08/05/2013,60.94
10/05/2013,60.84
12/05/2013,60.68
14/05/2013,60.48
15/05/2013,60.43
17/05/2013,60.22
19/05/2013,60.22
21/05/2013,60.27
23/05/2013,60.07
24/05/2013,59.96
26/05/2013,59.86
28/05/2013,59.55
30/05/2013,59.3
01/06/2013,58.94
03/06/2013,58.63
05/06/2013,58.33
06/06/2013,58.12
08/06/2013,57.62
10/06/2013,57.11
12/06/2013,56.56
14/06/2013,56.06
15/06/2013,55.95
18/06/2013,55.95
20/06/2013,55.5
21/06/2013,55.37
22/06/2013,55.15
24/06/2013,54.98
26/06/2013,54.33
28/06/2013,53.84
30/06/2013,53.26
02/07/2013,52.77
04/07/2013,52.28
05/07/2013,52.22
07/07/2013,51.84
09/07/2013,51.56
11/07/2013,51.21
12/07/2013,51.02
14/07/2013,50.67
17/07/2013,50.25
18/07/2013,50.09
20/07/2013,49.8
22/07/2013,49.52
23/07/2013,49.37
25/07/2013,48.94
27/07/2013,48.61
30/07/2013,48.0
01/08/2013,47.9
02/08/2013,47.86
03/08/2013,47.9
06/08/2013,47.8
07/08/2013,47.8
10/08/2013,47.71
12/08/2013,47.71
13/08/2013,47.62
14/08/2013,47.57
16/08/2013,47.52
18/08/2013,47.48
20/08/2013,47.48
22/08/2013,47.43
24/08/2013,47.33
25/08/2013,47.33
27/08/2013,47.24
29/08/2013,47.24
01/09/2013,47.19
02/09/2013,47.15
04/09/2013,47.15
05/09/2013,47.1
07/09/2013,47.05
09/09/2013,47.05
12/09/2013,46.96
13/09/2013,46.96
15/09/2013,46.87
17/09/2013,46.91
18/09/2013,46.84
20/09/2013,46.77
22/09/2013,46.77
24/09/2013,46.73
26/09/2013,46.73
27/09/2013,46.68
29/09/2013,46.82
01/10/2013,46.82
03/10/2013,46.82
05/10/2013,46.82
06/10/2013,46.82
08/10/2013,46.82
10/10/2013,46.82
13/10/2013,46.82
14/10/2013,46.82
16/10/2013,46.77
18/10/2013,46.77
20/10/2013,46.73
22/10/2013,46.77
23/10/2013,47.19
25/10/2013,47.24
27/10/2013,47.57
28/10/2013,47.76
31/10/2013,47.76
01/11/2013,47.62
03/11/2013,47.62
05/11/2013,47.73
07/11/2013,47.71
09/11/2013,47.62
11/11/2013,47.6
13/11/2013,47.62
14/11/2013,47.71
16/11/2013,47.71
17/11/2013,47.71
19/11/2013,47.71
22/11/2013,47.71
24/11/2013,47.76
25/11/2013,47.7
27/11/2013,47.69
28/11/2013,47.71
01/12/2013,47.71
03/12/2013,47.69
04/12/2013,47.68
07/12/2013,47.76
08/12/2013,47.76
10/12/2013,47.76
11/12/2013,47.62
14/12/2013,47.71
15/12/2013,47.76
17/12/2013,47.61
19/12/2013,47.61
20/12/2013,47.85
23/12/2013,47.76
24/12/2013,47.9
26/12/2013,48.66
29/12/2013,48.94
30/12/2013,49.04
