Fecha,Reserva
01/01/2012,84.71
02/01/2012,84.7
04/01/2012,84.68
06/01/2012,84.77
07/01/2012,86.95
09/01/2012,86.61
11/01/2012,86.72
13/01/2012,86.77
15/01/2012,86.81
17/01/2012,86.92
19/01/2012,87.01
21/01/2012,87.05
22/01/2012,87.1
24/01/2012,87.22
26/01/2012,87.28
28/01/2012,87.36
29/01/2012,87.32
31/01/2012,87.57
03/02/2012,87.72
04/02/2012,87.68
05/02/2012,87.72
08/02/2012,87.7
10/02/2012,87.72
12/02/2012,87.72
14/02/2012,87.67
15/02/2012,87.67
16/02/2012,87.67
19/02/2012,87.67
21/02/2012,87.66
22/02/2012,87.72
25/02/2012,87.76
26/02/2012,87.74
27/02/2012,87.71
29/02/2012,87.79
02/03/2012,87.8
04/03/2012,87.88
06/03/2012,87.93
08/03/2012,87.96
09/03/2012,87.95
11/03/2012,87.95
13/03/2012,88.01
16/03/2012,87.99
17/03/2012,88.01
19/03/2012,87.99
21/03/2012,88.08
22/03/2012,88.1
25/03/2012,88.13
26/03/2012,88.18
28/03/2012,88.24
30/03/2012,88.27
01/04/2012,88.3
03/04/2012,88.3
04/04/2012,88.36
07/04/2012,88.36
08/04/2012,88.28
10/04/2012,88.22
12/04/2012,88.12
14/04/2012,88.06
15/04/2012,88.1
18/04/2012,88.03
19/04/2012,88.01
21/04/2012,88.0
22/04/2012,88.01
24/04/2012,87.85
27/04/2012,87.37
28/04/2012,87.64
30/04/2012,87.38
02/05/2012,87.44
04/05/2012,87.49
06/05/2012,87.49
07/05/2012,87.49
09/05/2012,87.78
11/05/2012,87.85
13/05/2012,88.01
15/05/2012,88.49
16/05/2012,88.71
18/05/2012,89.05
20/05/2012,89.22
22/05/2012,89.5
24/05/2012,89.62
25/05/2012,89.67
27/05/2012,89.46
29/05/2012,89.12
31/05/2012,89.03
03/06/2012,89.01
04/06/2012,88.98
05/06/2012,88.97
07/06/2012,88.91
10/06/2012,88.79
11/06/2012,88.68
13/06/2012,88.53
15/06/2012,88.41
17/06/2012,88.41
18/06/2012,88.41
20/06/2012,87.73
22/06/2012,87.4
24/06/2012,87.23
26/06/2012,86.96
28/06/2012,86.75
30/06/2012,86.59
01/07/2012,86.39
03/07/2012,86.17
06/07/2012,85.79
07/07/2012,85.69
09/07/2012,85.43
10/07/2012,85.33
12/07/2012,85.07
15/07/2012,84.7
16/07/2012,84.57
18/07/2012,84.06
20/07/2012,83.54
22/07/2012,83.22
23/07/2012,83.1
26/07/2012,82.66
27/07/2012,82.53
29/07/2012,82.22
31/07/2012,81.94
02/08/2012,81.62
03/08/2012,81.43
05/08/2012,81.11
07/08/2012,80.73
09/08/2012,80.44
11/08/2012,80.32
12/08/2012,80.32
14/08/2012,79.78
16/08/2012,79.04
18/08/2012,78.67
20/08/2012,78.27
21/08/2012,78.07
23/08/2012,77.7
25/08/2012,77.32
27/08/2012,76.92
29/08/2012,76.55
31/08/2012,76.16
01/09/2012,75.97
04/09/2012,75.36
06/09/2012,74.64
08/09/2012,74.18
09/09/2012,73.99
11/09/2012,73.54
13/09/2012,73.17
14/09/2012,72.96
17/09/2012,72.41
19/09/2012,71.75
20/09/2012,71.41
22/09/2012,71.03
23/09/2012,70.87
26/09/2012,70.27
28/09/2012,69.96
30/09/2012,70.32
01/10/2012,70.29
03/10/2012,69.85
05/10/2012,69.52
06/10/2012,69.29
09/10/2012,68.66
11/10/2012,68.11
12/10/2012,67.86
14/10/2012,67.38
16/10/2012,66.9
18/10/2012,66.4
20/10/2012,65.93
22/10/2012,65.54
23/10/2012,65.31
25/10/2012,64.93
27/10/2012,66.11
28/10/2012,66.34
30/10/2012,66.47
02/11/2012,67.31
04/11/2012,69.39
05/11/2012,72.63
07/11/2012,80.2
08/11/2012,83.36
10/11/2012,87.33
12/11/2012,89.99
14/11/2012,92.0
16/11/2012,93.61
18/11/2012,95.28
19/11/2012,96.15
22/11/2012,97.54
23/11/2012,97.69
25/11/2012,97.86
27/11/2012,98.0
28/11/2012,98.07
01/12/2012,98.03
03/12/2012,97.88
04/12/2012,97.79
07/12/2012,97.39
08/12/2012,97.28
10/12/2012,96.94
12/12/2012,96.66
14/12/2012,96.68
15/12/2012,96.69
17/12/2012,96.92
19/12/2012,97.04
20/12/2012,97.08
22/12/2012,97.09
25/12/2012,97.08
27/12/2012,97.11
29/12/2012,97.07
30/12/2012,97.04
