Fecha,Reserva
01/01/2013,112.52
02/01/2013,112.33
04/01/2013,111.97
05/01/2013,111.77
07/01/2013,111.33
10/01/2013,110.69
11/01/2013,110.49
13/01/2013,110.09
15/01/2013,109.63
17/01/2013,109.29
19/01/2013,109.41
20/01/2013,118.91
22/01/2013,121.96
23/01/2013,122.02
25/01/2013,121.44
28/01/2013,119.76
29/01/2013,119.47
31/01/2013,119.62
02/02/2013,119.62
04/02/2013,119.42
05/02/2013,119.33
07/02/2013,119.57
10/02/2013,119.79
11/02/2013,119.85
13/02/2013,119.52
15/02/2013,119.17
17/02/2013,119.31
18/02/2013,119.37
21/02/2013,118.91
23/02/2013,119.55
24/02/2013,113.06
25/02/2013,120.29
28/02/2013,120.31
01/03/2013,120.3
03/03/2013,118.33
05/03/2013,116.02
07/03/2013,114.03
08/03/2013,121.46
10/03/2013,127.28
13/03/2013,129.43
14/03/2013,109.79
16/03/2013,126.11
18/03/2013,124.25
19/03/2013,123.39
21/03/2013,124.1
23/03/2013,122.99
26/03/2013,120.73
27/03/2013,120.46
28/03/2013,122.21
31/03/2013,123.18
02/04/2013,129.18
03/04/2013,127.63
06/04/2013,127.66
07/04/2013,126.61
08/04/2013,126.61
10/04/2013,125.34
12/04/2013,123.63
15/04/2013,120.7
16/04/2013,119.68
18/04/2013,119.21
20/04/2013,118.69
22/04/2013,118.11
24/04/2013,117.5
26/04/2013,116.91
28/04/2013,116.4
29/04/2013,116.18
01/05/2013,115.83
03/05/2013,115.51
05/05/2013,115.09
07/05/2013,114.88
08/05/2013,114.42
10/05/2013,113.96
11/05/2013,113.72
14/05/2013,112.98
15/05/2013,112.84
17/05/2013,112.28
19/05/2013,111.89
21/05/2013,111.52
23/05/2013,111.09
25/05/2013,110.61
26/05/2013,110.4
29/05/2013,109.66
30/05/2013,109.4
01/06/2013,108.92
02/06/2013,108.67
05/06/2013,107.95
06/06/2013,107.58
09/06/2013,106.81
10/06/2013,106.58
12/06/2013,106.12
13/06/2013,105.92
15/06/2013,105.44
17/06/2013,104.94
19/06/2013,104.49
21/06/2013,103.97
23/06/2013,103.51
25/06/2013,103.02
27/06/2013,102.42
28/06/2013,102.11
30/06/2013,102.02
02/07/2013,101.47
04/07/2013,100.83
05/07/2013,100.55
07/07/2013,100.43
09/07/2013,99.85
11/07/2013,99.15
13/07/2013,98.46
14/07/2013,98.4
16/07/2013,97.85
19/07/2013,96.84
21/07/2013,96.74
22/07/2013,96.49
24/07/2013,95.81
26/07/2013,95.14
27/07/2013,94.79
29/07/2013,94.49
31/07/2013,93.82
02/08/2013,93.13
04/08/2013,93.04
05/08/2013,92.8
08/08/2013,91.72
10/08/2013,91.04
11/08/2013,91.0
13/08/2013,90.42
15/08/2013,89.73
16/08/2013,89.39
18/08/2013,89.29
20/08/2013,88.71
23/08/2013,87.67
24/08/2013,87.61
25/08/2013,87.56
28/08/2013,86.63
29/08/2013,86.32
01/09/2013,86.22
02/09/2013,86.0
04/09/2013,85.46
05/09/2013,85.21
07/09/2013,85.14
09/09/2013,85.03
11/09/2013,84.66
13/09/2013,84.24
14/09/2013,83.9
16/09/2013,83.68
19/09/2013,83.11
20/09/2013,83.08
22/09/2013,82.93
24/09/2013,82.56
26/09/2013,82.01
28/09/2013,81.93
29/09/2013,81.95
01/10/2013,81.94
04/10/2013,81.89
05/10/2013,81.83
07/10/2013,81.76
09/10/2013,81.61
11/10/2013,81.27
13/10/2013,81.19
15/10/2013,81.12
16/10/2013,80.99
18/10/2013,80.73
20/10/2013,80.68
22/10/2013,80.6
23/10/2013,80.65
26/10/2013,80.63
27/10/2013,80.61
29/10/2013,80.55
31/10/2013,80.46
01/11/2013,80.42
03/11/2013,80.39
05/11/2013,80.33
07/11/2013,80.28
09/11/2013,80.26
11/11/2013,80.2
12/11/2013,80.1
15/11/2013,79.63
16/11/2013,79.6
18/11/2013,79.57
20/11/2013,79.53
21/11/2013,79.49
23/11/2013,79.47
26/11/2013,79.38
27/11/2013,79.36
28/11/2013,79.37
30/11/2013,79.26
02/12/2013,79.25
04/12/2013,79.23
06/12/2013,79.17
08/12/2013,79.13
10/12/2013,79.11
12/12/2013,79.09
13/12/2013,79.06
16/12/2013,79.01
18/12/2013,79.02
19/12/2013,79.0
20/12/2013,79.13
23/12/2013,79.12
24/12/2013,79.11
26/12/2013,80.07
28/12/2013,80.41
30/12/2013,80.49
