Fecha,Reserva
01/01/2020,23.66
02/01/2020,23.69
04/01/2020,23.75
06/01/2020,23.79
07/01/2020,23.81
10/01/2020,23.84
11/01/2020,23.85
13/01/2020,23.86
15/01/2020,23.86
16/01/2020,23.85
19/01/2020,23.86
20/01/2020,23.85
22/01/2020,23.86
24/01/2020,23.86
26/01/2020,23.86
28/01/2020,23.87
30/01/2020,23.92
01/02/2020,23.96
02/02/2020,23.99
04/02/2020,24.01
05/02/2020,24.02
07/02/2020,24.02
10/02/2020,24.0
11/02/2020,24.0
13/02/2020,23.98
15/02/2020,23.96
16/02/2020,23.94
18/02/2020,23.92
21/02/2020,23.87
22/02/2020,23.86
24/02/2020,23.82
26/02/2020,23.79
28/02/2020,23.75
29/02/2020,23.73
03/03/2020,23.7
04/03/2020,23.67
06/03/2020,23.64
08/03/2020,23.6
10/03/2020,23.56
12/03/2020,23.53
14/03/2020,23.49
15/03/2020,23.48
18/03/2020,23.41
19/03/2020,23.4
21/03/2020,23.36
23/03/2020,23.35
25/03/2020,23.35
27/03/2020,23.37
29/03/2020,23.45
30/03/2020,23.51
31/03/2020,23.57
02/04/2020,23.85
04/04/2020,24.02
06/04/2020,24.11
09/04/2020,24.18
10/04/2020,24.21
12/04/2020,24.24
14/04/2020,24.26
16/04/2020,24.24
17/04/2020,24.23
19/04/2020,24.24
21/04/2020,24.24
22/04/2020,24.23
25/04/2020,24.26
26/04/2020,24.29
28/04/2020,24.62
30/04/2020,24.77
02/05/2020,24.84
04/05/2020,24.86
05/05/2020,24.86
08/05/2020,24.79
09/05/2020,24.78
12/05/2020,24.7
13/05/2020,24.7
14/05/2020,24.69
16/05/2020,24.69
19/05/2020,24.75
21/05/2020,24.75
22/05/2020,24.75
24/05/2020,24.7
25/05/2020,24.67
27/05/2020,24.55
29/05/2020,24.42
31/05/2020,24.3
03/06/2020,24.12
04/06/2020,24.05
06/06/2020,23.95
07/06/2020,23.9
10/06/2020,23.71
12/06/2020,23.6
13/06/2020,23.53
15/06/2020,23.42
17/06/2020,23.32
19/06/2020,23.19
20/06/2020,23.14
23/06/2020,22.96
24/06/2020,22.9
26/06/2020,22.77
27/06/2020,22.7
30/06/2020,22.51
02/07/2020,22.38
04/07/2020,22.24
05/07/2020,22.17
07/07/2020,22.02
09/07/2020,21.9
10/07/2020,21.83
13/07/2020,21.64
14/07/2020,21.57
16/07/2020,21.45
18/07/2020,21.34
20/07/2020,21.29
22/07/2020,21.15
24/07/2020,21.03
26/07/2020,20.89
27/07/2020,20.82
29/07/2020,20.69
30/07/2020,20.61
01/08/2020,20.46
04/08/2020,20.25
06/08/2020,20.1
08/08/2020,19.96
09/08/2020,19.9
11/08/2020,19.76
12/08/2020,19.71
14/08/2020,19.57
16/08/2020,19.41
19/08/2020,19.2
20/08/2020,19.15
21/08/2020,19.09
24/08/2020,18.88
26/08/2020,18.76
27/08/2020,18.69
29/08/2020,18.57
31/08/2020,18.43
01/09/2020,18.36
04/09/2020,18.17
06/09/2020,18.08
08/09/2020,17.98
09/09/2020,17.94
11/09/2020,17.85
12/09/2020,17.79
15/09/2020,17.64
17/09/2020,17.55
18/09/2020,17.52
20/09/2020,17.44
22/09/2020,17.36
24/09/2020,17.28
25/09/2020,17.23
27/09/2020,17.15
30/09/2020,17.0
01/10/2020,16.94
03/10/2020,16.94
04/10/2020,16.94
07/10/2020,16.94
08/10/2020,16.61
10/10/2020,16.53
13/10/2020,16.41
14/10/2020,16.36
16/10/2020,16.25
17/10/2020,16.21
20/10/2020,16.07
22/10/2020,15.99
23/10/2020,15.97
25/10/2020,15.92
27/10/2020,15.87
29/10/2020,15.81
30/10/2020,15.78
01/11/2020,15.77
03/11/2020,15.76
05/11/2020,15.73
06/11/2020,15.72
09/11/2020,15.72
10/11/2020,15.71
13/11/2020,15.7
14/11/2020,15.69
16/11/2020,15.68
17/11/2020,15.68
20/11/2020,15.66
21/11/2020,15.66
23/11/2020,15.64
25/11/2020,15.63
27/11/2020,15.64
28/11/2020,15.65
01/12/2020,15.64
02/12/2020,15.63
04/12/2020,15.62
07/12/2020,15.63
08/12/2020,15.64
10/12/2020,15.83
11/12/2020,15.99
13/12/2020,17.17
15/12/2020,17.45
17/12/2020,17.53
19/12/2020,17.56
20/12/2020,17.57
22/12/2020,17.57
25/12/2020,17.58
27/12/2020,17.56
28/12/2020,17.55
30/12/2020,17.56
